GEO_ID,B20017_001E,B20017_001M,B20017_002E,B20017_002M,B20017_003E,B20017_003M,B20017_004E,B20017_004M,B20017_005E,B20017_005M,B20017_006E,B20017_006M,B20017_007E,B20017_007M,NAME,B20017_001MA,B20017_001EA,B20017_002EA,B20017_002MA,B20017_003MA,B20017_003EA,B20017_004EA,B20017_004MA,B20017_005EA,B20017_005MA,B20017_006EA,B20017_006MA,B20017_007EA,B20017_007MA,state
0400000US01,26270,305,31765,375,42951,1145,9900,433,21289,341,31862,286,8962,305,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,34313,1839,41609,814,52379,3182,17323,1314,28380,1223,40550,1065,12168,707,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,27800,546,31310,417,42544,972,11052,320,24522,600,36048,466,10038,313,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,24667,418,28318,912,37488,914,9345,553,21255,393,30752,513,8996,494,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30255,109,33406,395,49281,441,12072,118,25791,196,41817,189,11073,95,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31166,263,36727,454,50987,354,11630,272,25448,411,40236,444,10491,257,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,36496,430,42705,1163,60705,596,11876,424,30685,427,47476,969,11717,280,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,32908,1188,39732,1405,50411,712,10528,737,27589,1210,40500,1144,9716,624,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,46112,1314,50419,2115,66760,2378,13970,1931,43055,2224,60332,2069,9970,1163,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,26577,183,30318,222,40951,255,10777,172,23730,323,33823,487,10520,158,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,27648,431,31685,279,43902,1054,10396,272,23772,456,35438,354,9461,270,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,31730,367,36570,746,45494,1191,13497,1454,27484,1219,37242,646,10624,499,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23192,561,29855,1098,41528,948,10004,659,17743,790,31238,644,8170,587,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,30794,154,36542,302,50746,268,10933,199,25295,250,39150,458,10394,149,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,27618,323,33392,537,45183,428,9692,384,22349,275,34023,421,9303,252,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,28438,488,33997,754,43624,737,8585,356,23132,425,33745,585,8805,393,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,27718,490,33719,795,43993,1068,9444,431,22435,412,33269,775,8729,348,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,25782,255,30722,349,41612,431,10095,338,21545,329,32684,676,9110,267,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,27029,327,35061,758,46313,731,10871,323,21408,346,31844,367,8793,301,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,26504,499,31390,629,43944,1214,10298,415,22784,719,34599,1066,10058,412,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,39098,708,43554,1112,56708,742,11612,377,33591,846,48748,855,11205,258,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,35508,340,42004,317,60264,398,11314,284,30103,352,46185,439,11691,216,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,26232,204,32074,296,50053,546,9626,239,21449,198,36931,315,9551,180,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,31509,197,36890,351,50580,309,10677,230,26545,332,40416,252,10668,197,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,25069,434,30616,434,40202,581,9063,445,20737,437,29548,754,8263,371,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,26935,269,32051,285,43146,780,10248,256,22379,305,33865,580,8671,231,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,23561,666,29250,1312,41635,842,10164,659,19614,811,31067,799,9606,583,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
