GEO_ID,C17010G_001E,C17010G_001M,C17010G_002E,C17010G_002M,C17010G_003E,C17010G_003M,C17010G_004E,C17010G_004M,C17010G_005E,C17010G_005M,C17010G_006E,C17010G_006M,C17010G_007E,C17010G_007M,C17010G_008E,C17010G_008M,C17010G_009E,C17010G_009M,C17010G_010E,C17010G_010M,C17010G_011E,C17010G_011M,C17010G_012E,C17010G_012M,C17010G_013E,C17010G_013M,C17010G_014E,C17010G_014M,C17010G_015E,C17010G_015M,C17010G_016E,C17010G_016M,C17010G_017E,C17010G_017M,NAME,C17010G_001MA,C17010G_001EA,C17010G_002MA,C17010G_002EA,C17010G_003EA,C17010G_003MA,C17010G_004EA,C17010G_004MA,C17010G_005EA,C17010G_005MA,C17010G_006MA,C17010G_006EA,C17010G_007MA,C17010G_007EA,C17010G_008EA,C17010G_008MA,C17010G_009EA,C17010G_009MA,C17010G_010EA,C17010G_010MA,C17010G_011MA,C17010G_011EA,C17010G_012MA,C17010G_012EA,C17010G_013EA,C17010G_013MA,C17010G_014EA,C17010G_014MA,C17010G_015EA,C17010G_015MA,C17010G_016EA,C17010G_016MA,C17010G_017MA,C17010G_017EA,state
0400000US01,9963,1515,2250,730,987,458,850,435,1263,528,323,311,323,311,940,422,721,380,7713,1293,6144,1088,3040,918,1569,501,528,373,98,129,1041,366,530,294,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,8819,1462,1010,623,167,207,155,207,843,577,50,45,44,44,793,570,793,570,7809,1196,4116,856,2828,787,3693,1087,1040,616,949,620,2653,849,2498,803,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,25575,2686,5248,1200,1315,531,999,429,3933,1110,700,436,360,279,3233,1028,2892,1013,20327,2544,15728,2226,9359,2029,4599,1357,1333,588,595,415,3266,1188,2380,1033,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,8329,1500,2137,647,636,310,472,309,1501,602,204,160,132,146,1297,606,1232,604,6192,1225,5140,1060,2166,796,1052,449,412,317,157,179,640,334,370,328,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,241195,8223,32296,3087,12776,1898,9222,1625,19520,2491,2848,817,2017,665,16672,2233,13421,2016,208899,7748,148055,6224,81681,4556,60844,4209,20701,2448,10093,1747,40143,3431,25083,2500,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,27495,2594,3687,927,1092,421,747,363,2595,894,137,163,137,163,2458,898,2194,856,23808,2551,16841,1883,8585,1599,6967,1821,1746,734,1057,536,5221,1673,3858,1628,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,13250,1733,2181,769,168,139,90,120,2013,755,282,335,42,71,1731,651,1433,565,11069,1637,7185,1211,3816,917,3884,996,798,418,503,359,3086,917,2062,824,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,60912,4722,9050,1866,3851,1629,2490,992,5199,1189,707,403,617,390,4492,1097,4099,1105,51862,4472,37627,3904,18483,2584,14235,2155,3820,1046,2039,907,10415,1797,6407,1407,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
