GEO_ID,C08012_001E,C08012_001M,C08012_002E,C08012_002M,C08012_003E,C08012_003M,C08012_004E,C08012_004M,C08012_005E,C08012_005M,C08012_006E,C08012_006M,C08012_007E,C08012_007M,C08012_008E,C08012_008M,C08012_009E,C08012_009M,C08012_010E,C08012_010M,C08012_011E,C08012_011M,C08012_012E,C08012_012M,C08012_013E,C08012_013M,C08012_014E,C08012_014M,C08012_015E,C08012_015M,C08012_016E,C08012_016M,C08012_017E,C08012_017M,C08012_018E,C08012_018M,C08012_019E,C08012_019M,C08012_020E,C08012_020M,C08012_021E,C08012_021M,C08012_022E,C08012_022M,C08012_023E,C08012_023M,C08012_024E,C08012_024M,C08012_025E,C08012_025M,C08012_026E,C08012_026M,C08012_027E,C08012_027M,C08012_028E,C08012_028M,C08012_029E,C08012_029M,C08012_030E,C08012_030M,NAME,C08012_001MA,C08012_001EA,C08012_002EA,C08012_002MA,C08012_003EA,C08012_003MA,C08012_004EA,C08012_004MA,C08012_005MA,C08012_005EA,C08012_006EA,C08012_006MA,C08012_007MA,C08012_007EA,C08012_008EA,C08012_008MA,C08012_009EA,C08012_009MA,C08012_010MA,C08012_010EA,C08012_011EA,C08012_011MA,C08012_012MA,C08012_012EA,C08012_013EA,C08012_013MA,C08012_014EA,C08012_014MA,C08012_015MA,C08012_015EA,C08012_016EA,C08012_016MA,C08012_017EA,C08012_017MA,C08012_018MA,C08012_018EA,C08012_019EA,C08012_019MA,C08012_020MA,C08012_020EA,C08012_021EA,C08012_021MA,C08012_022EA,C08012_022MA,C08012_023MA,C08012_023EA,C08012_024EA,C08012_024MA,C08012_025EA,C08012_025MA,C08012_026MA,C08012_026EA,C08012_027MA,C08012_027EA,C08012_028MA,C08012_028EA,C08012_029EA,C08012_029MA,C08012_030EA,C08012_030MA,state
0400000US01,1902148,17596,248278,10706,291613,8698,323855,9876,299421,8840,113676,5814,272544,8811,103521,5870,136717,6869,112523,5536,991175,11231,121597,6857,136558,5908,160470,6154,154379,6101,57900,3928,144403,7006,58137,4030,81241,5150,76490,4248,910973,12278,126681,6568,155055,5705,163385,7720,145042,6814,55776,3963,128141,5815,45384,3662,55476,4419,36033,3164,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,331902,5866,84027,4151,62277,3749,64205,5559,51326,4126,14893,2300,25472,2697,7429,1711,7774,1408,14499,2275,180450,3621,44960,2975,31979,2711,34040,3422,27847,2648,8593,1641,13512,1874,4308,1249,4532,957,10679,1703,151452,4460,39067,2573,30298,2621,30165,3474,23479,2566,6300,1318,11960,1787,3121,1049,3242,918,3820,960,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2504382,18865,307579,10706,353006,13712,380976,12989,383029,11147,173539,9095,391310,14205,181652,8060,182813,9908,150478,9174,1349535,14744,149503,7243,178710,8581,201847,8450,209708,8721,92730,6543,214173,10807,101174,6636,109154,7444,92536,7141,1154847,14836,158076,6794,174296,8846,179129,9472,173321,7834,80809,5348,177137,8883,80478,5616,73659,5277,57942,5593,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1175268,11745,232412,8796,211666,8270,197818,8078,164970,7664,62103,5606,131814,6297,53337,3686,62911,4498,58237,4679,620128,8319,118226,6296,109363,5542,99331,5412,83249,5065,31882,3432,73507,4646,28420,2706,36597,3087,39553,3634,555140,7952,114186,5577,102303,5866,98487,5344,81721,5231,30221,3389,58307,4236,24917,2780,26314,2679,18684,2404,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15189715,39684,1648728,22118,2079217,24014,2372041,32694,2222264,23561,843937,18336,2301629,27389,973877,22167,1217343,19132,1530679,24369,8310212,27983,822801,13831,1064513,16753,1242381,21468,1199679,16963,458668,15261,1302025,19929,551387,15615,707929,13338,960829,19777,6879503,28221,825927,16788,1014704,17363,1129660,20794,1022585,15743,385269,9965,999604,17807,422490,12166,509414,12727,569850,12775,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2322794,13842,329081,8719,336203,11554,381134,11178,353415,8484,147999,6560,321880,10375,142481,7040,156155,7084,154446,8769,1255248,9792,162418,6347,173394,8143,199034,7536,190294,6616,82113,4728,179691,6819,80169,5532,86418,5046,101717,6685,1067546,9517,166663,6673,162809,7094,182100,7529,163121,6362,65886,4212,142189,7277,62312,4202,69737,4309,52729,4263,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1638653,10927,217006,8778,245271,8833,264077,10287,258630,8666,106974,6184,207429,8081,103749,4610,109697,5417,125820,5966,847080,7900,96846,6523,119016,6343,132704,6674,128979,6227,53930,4103,114745,5939,58953,3358,62380,3719,79527,4423,791573,8091,120160,5157,126255,5036,131373,5763,129651,5288,53044,4086,92684,4500,44796,3361,47317,3747,46293,3268,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,400040,6068,46911,3610,56959,3912,69508,4410,71239,4183,23581,2569,47557,3611,22774,2508,28200,3220,33311,3253,204577,3822,24767,2430,24338,2375,34236,3170,35777,3427,12072,1716,25070,2506,12725,2012,15210,2221,20382,2200,195463,4338,22144,1970,32621,3023,35272,3105,35462,2607,11509,1892,22487,2126,10049,1566,12990,1900,12929,1990,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,292101,5492,17449,2458,20858,2377,34525,2576,45295,3179,21828,2548,63793,4082,27854,2900,33659,2755,26840,2702,143179,3698,9801,1662,10285,1919,14979,1812,24100,2119,10993,1411,31848,3265,14096,1824,15089,2151,11988,1805,148922,4344,7648,1403,10573,1457,19546,1996,21195,2220,10835,1994,31945,2865,13758,2035,18570,2236,14852,1970,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7623767,34639,753486,17230,983359,23006,1192341,21539,1269153,26600,527659,14872,1248760,19604,539953,15895,617742,16756,491314,15109,3933758,23616,365942,12058,475716,16063,588009,15927,653263,18232,265398,10916,660815,16433,287738,11517,342214,11886,294663,11334,3690009,24795,387544,12012,507643,12493,604332,14631,615890,16129,262261,10907,587945,14070,252215,9882,275528,9375,196651,8197,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3960828,27338,427178,15191,538052,12497,604548,16298,577432,17039,225073,9326,576494,16012,281714,11358,363156,12983,367181,13478,2087598,17565,208651,9367,267451,9922,297587,10821,290207,10869,113962,7512,320293,11950,157875,8043,205961,8837,225611,12025,1873230,18206,218527,9563,270601,9124,306961,9492,287225,10159,111111,5975,256201,9837,123839,8086,157195,8180,141570,6851,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,620470,8301,75829,4487,82263,4622,89588,5037,91972,4227,29466,2622,113080,5480,37395,3166,50283,3760,50594,4327,334051,5475,37405,3070,43298,3822,47779,3516,51933,3351,18259,2175,59368,3574,21986,2639,26348,2269,27675,3165,286419,5817,38424,2770,38965,3064,41809,3610,40039,2771,11207,1550,53712,3607,15409,1643,23935,2620,22919,2296,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
