GEO_ID,B25045_001E,B25045_001M,B25045_002E,B25045_002M,B25045_003E,B25045_003M,B25045_004E,B25045_004M,B25045_005E,B25045_005M,B25045_006E,B25045_006M,B25045_007E,B25045_007M,B25045_008E,B25045_008M,B25045_009E,B25045_009M,B25045_010E,B25045_010M,B25045_011E,B25045_011M,B25045_012E,B25045_012M,B25045_013E,B25045_013M,B25045_014E,B25045_014M,B25045_015E,B25045_015M,B25045_016E,B25045_016M,B25045_017E,B25045_017M,B25045_018E,B25045_018M,B25045_019E,B25045_019M,NAME,B25045_001MA,B25045_001EA,B25045_002EA,B25045_002MA,B25045_003EA,B25045_003MA,B25045_004EA,B25045_004MA,B25045_005MA,B25045_005EA,B25045_006MA,B25045_006EA,B25045_007EA,B25045_007MA,B25045_008EA,B25045_008MA,B25045_009EA,B25045_009MA,B25045_010EA,B25045_010MA,B25045_011MA,B25045_011EA,B25045_012MA,B25045_012EA,B25045_013EA,B25045_013MA,B25045_014EA,B25045_014MA,B25045_015EA,B25045_015MA,B25045_016EA,B25045_016MA,B25045_017MA,B25045_017EA,B25045_018MA,B25045_018EA,B25045_019EA,B25045_019MA,state
0400000US01,1844546,11416,1289217,12212,40439,2632,2534,918,17566,1753,20339,1900,1248778,11951,142322,5852,769072,8534,337384,5116,555329,9348,76895,4560,17774,2506,37193,3044,21928,2268,478434,9197,194898,6005,236383,6910,47153,3195,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,257330,3380,162312,3867,9221,881,668,188,5741,695,2812,440,153091,3915,23555,2334,102744,2918,26792,1544,95018,4471,15630,1747,4780,994,8087,1116,2763,780,79388,3969,35423,2485,39983,3040,3982,790,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2356055,12130,1501528,15067,41599,3551,3314,1093,17171,2074,21114,2462,1459929,15295,152625,6816,859814,13199,447490,6592,854527,15846,124764,6032,34227,3206,59320,4965,31217,3167,729763,14304,288506,9150,379737,11242,61520,4048,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1127621,7837,750984,9249,18232,1874,1009,496,6593,1393,10630,1202,732752,9087,89171,4633,430607,7891,212974,3657,376637,8537,52322,3299,14199,1929,26220,2608,11903,1495,324315,8566,130909,6199,158626,6434,34780,2565,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12468743,22250,6843369,25886,189541,6419,10611,1494,70437,3942,108493,4484,6653828,25149,557449,12887,4339090,24474,1757289,10785,5625374,23999,810097,13653,191335,7625,354483,10004,264279,8068,4815277,26051,1681131,20854,2724827,24767,409319,9363,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1975388,9057,1271804,10881,24665,2266,2042,789,10245,1462,12378,1491,1247139,11018,152833,5777,823548,8948,270758,4059,703584,11056,90644,4003,24278,2909,40757,3099,25609,2210,612940,11408,267859,7502,294100,8598,50981,3196,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1351643,7309,911059,6941,22807,1968,1341,599,7405,1174,14061,1528,888252,6678,69024,4094,596521,6363,222707,4321,440584,7734,103090,4604,23019,2729,49202,3781,30869,2283,337494,8129,116266,5572,177286,5842,43942,2960,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,333192,3426,238560,4816,5926,1101,453,315,2136,620,3337,828,232634,4743,20574,1858,147925,4084,64135,2420,94632,4248,13248,1477,2885,822,6190,1165,4173,939,81384,4170,32313,2577,39637,3207,9434,1511,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268670,3200,110625,3425,18759,1634,4123,1098,8221,1218,6415,957,91866,3421,10538,1585,58125,3077,23203,1423,158045,3930,84762,3787,36226,2394,35523,2809,13013,1651,73283,3585,33614,2280,33166,2599,6503,1089,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106283,31131,4741169,31771,165328,8156,5863,1340,55088,4023,104377,5878,4575841,30016,352668,10693,2670328,24205,1552845,14021,2365114,25972,355148,9294,74784,5492,165185,7804,115179,6169,2009966,24761,705535,14941,1094094,16964,210337,8543,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3494542,15336,2256703,18001,56086,3975,4596,1363,24720,2801,26770,2643,2200617,17549,248315,8653,1449989,15517,502313,7102,1237839,18123,182607,7359,46721,3532,95607,5925,40279,3362,1055232,16854,419543,10795,553312,13331,82377,4869,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,448563,5562,254700,5244,10016,1294,357,240,3234,612,6425,1146,244684,5191,16848,2041,149806,4207,78030,2406,193863,5082,30114,2904,5911,1572,13060,1826,11143,1449,163749,4890,58801,3178,88490,4167,16458,1705,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,580193,6204,398816,6649,7985,1494,217,306,3045,781,4723,1291,390831,6827,50798,3395,237773,5836,102260,2621,181377,6700,18094,2121,4741,1167,6780,1477,6573,1353,163283,6537,72488,4277,76355,5306,14440,1817,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4737208,12865,3190282,18062,125782,5492,9279,1509,47528,4244,68975,3762,3064500,17800,344959,8408,1973224,13777,746317,7459,1546926,16631,398079,8988,120006,5069,180569,7188,97504,4478,1148847,14868,460484,8730,574431,11957,113932,4845,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2467111,11107,1720062,14287,48108,2848,6121,1220,17713,1730,24274,1917,1671954,14707,207825,6499,1053129,9267,411000,5761,747049,12479,125238,6823,31819,2936,58209,4824,35210,2823,621811,11617,256948,7527,301161,8796,63702,3731,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1216765,7072,880368,8898,19177,1651,1865,737,7008,896,10304,1337,861191,8889,121224,4531,516502,5915,223465,3339,336397,7489,52640,3115,13229,1839,20539,2054,18872,1858,283757,7030,131125,4831,117607,5223,35025,1935,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
