GEO_ID,B05003D_001E,B05003D_001M,B05003D_002E,B05003D_002M,B05003D_003E,B05003D_003M,B05003D_004E,B05003D_004M,B05003D_005E,B05003D_005M,B05003D_006E,B05003D_006M,B05003D_007E,B05003D_007M,B05003D_008E,B05003D_008M,B05003D_009E,B05003D_009M,B05003D_010E,B05003D_010M,B05003D_011E,B05003D_011M,B05003D_012E,B05003D_012M,B05003D_013E,B05003D_013M,B05003D_014E,B05003D_014M,B05003D_015E,B05003D_015M,B05003D_016E,B05003D_016M,B05003D_017E,B05003D_017M,B05003D_018E,B05003D_018M,B05003D_019E,B05003D_019M,B05003D_020E,B05003D_020M,B05003D_021E,B05003D_021M,B05003D_022E,B05003D_022M,B05003D_023E,B05003D_023M,NAME,B05003D_001EA,B05003D_001MA,B05003D_002MA,B05003D_002EA,B05003D_003EA,B05003D_003MA,B05003D_004EA,B05003D_004MA,B05003D_005EA,B05003D_005MA,B05003D_006EA,B05003D_006MA,B05003D_007MA,B05003D_007EA,B05003D_008EA,B05003D_008MA,B05003D_009EA,B05003D_009MA,B05003D_010EA,B05003D_010MA,B05003D_011EA,B05003D_011MA,B05003D_012EA,B05003D_012MA,B05003D_013EA,B05003D_013MA,B05003D_014EA,B05003D_014MA,B05003D_015EA,B05003D_015MA,B05003D_016EA,B05003D_016MA,B05003D_017EA,B05003D_017MA,B05003D_018MA,B05003D_018EA,B05003D_019EA,B05003D_019MA,B05003D_020EA,B05003D_020MA,B05003D_021EA,B05003D_021MA,B05003D_022EA,B05003D_022MA,B05003D_023EA,B05003D_023MA,state
0400000US01,54259,2260,25036,1904,6232,1065,4404,970,1828,659,439,264,1389,579,18804,1387,3056,772,15748,1556,8291,1142,7457,1313,29223,1770,6762,827,5122,780,1640,745,767,613,873,425,22461,1481,2415,761,20046,1344,11633,1473,8413,1173,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37971,2083,16858,1239,4320,902,3449,905,871,409,369,260,502,306,12538,667,2536,625,10002,902,4802,808,5200,963,21113,1389,4338,756,3034,787,1304,512,443,249,861,447,16775,834,3340,863,13435,1006,8298,1081,5137,1030,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,177297,6178,82239,4215,19460,2818,14500,2770,4960,1469,1394,888,3566,1417,62779,2198,14616,2005,48163,2288,26796,2179,21367,2509,95058,3295,17721,1958,11869,1836,5852,1646,2912,1105,2940,1328,77337,2038,14084,2204,63253,2346,38775,2680,24478,2499,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,34342,2594,15969,1695,4622,1162,3688,1218,934,497,0,192,934,497,11347,1016,1172,692,10175,1123,3607,969,6568,1143,18373,1525,4439,961,3218,802,1221,575,504,407,717,469,13934,1085,2720,868,11214,1006,5340,1048,5874,1173,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4970627,17933,2354672,11166,511388,7108,433574,8131,77814,4730,21824,2171,55990,4636,1843284,7491,466921,10796,1376363,11539,901508,11630,474855,10857,2615955,10016,484014,6380,410181,6954,73833,4054,24083,2513,49750,3791,2131941,7650,465623,9851,1666318,11176,1091566,12859,574752,11826,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,143760,3834,63993,2586,16841,1834,12718,1616,4123,1170,1338,717,2785,1118,47152,1556,14384,1364,32768,1875,17715,1685,15053,1830,79767,2770,19192,1879,12077,1700,7115,1405,4260,1293,2855,968,60575,1642,13682,1760,46893,2077,26538,2299,20355,2041,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,141081,2409,66463,1732,18036,1102,13686,1173,4350,1059,1840,642,2510,793,48427,1214,7107,1406,41320,1808,21580,2099,19740,2083,74618,1649,18616,873,13526,1021,5090,825,2074,615,3016,787,56002,1347,7090,1278,48912,1785,25978,1802,22934,2077,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,29930,1168,14652,897,3842,517,3365,502,477,334,191,180,286,279,10810,745,887,513,9923,843,5333,880,4590,809,15278,653,3295,492,2518,539,777,427,336,328,441,310,11983,479,1010,496,10973,641,5779,878,5194,869,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22510,968,9123,656,630,352,361,254,269,236,114,140,155,193,8493,579,3690,1151,4803,1199,2269,761,2534,780,13387,727,999,486,394,350,605,476,72,123,533,465,12388,506,4382,838,8006,779,3898,905,4108,776,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,463164,8849,214255,5961,46091,3184,38606,3681,7485,1666,2592,983,4893,1285,168164,4001,27981,2807,140183,4114,84065,3817,56118,5287,248909,5283,47227,3219,36078,3203,11149,1855,6080,1380,5069,1614,201682,3686,30687,3217,170995,4425,107493,4149,63502,4514,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
