GEO_ID,C25093_001E,C25093_001M,C25093_002E,C25093_002M,C25093_003E,C25093_003M,C25093_004E,C25093_004M,C25093_005E,C25093_005M,C25093_006E,C25093_006M,C25093_007E,C25093_007M,C25093_008E,C25093_008M,C25093_009E,C25093_009M,C25093_010E,C25093_010M,C25093_011E,C25093_011M,C25093_012E,C25093_012M,C25093_013E,C25093_013M,C25093_014E,C25093_014M,C25093_015E,C25093_015M,C25093_016E,C25093_016M,C25093_017E,C25093_017M,NAME,C25093_001MA,C25093_001EA,C25093_002MA,C25093_002EA,C25093_003EA,C25093_003MA,C25093_004EA,C25093_004MA,C25093_005MA,C25093_005EA,C25093_006MA,C25093_006EA,C25093_007MA,C25093_007EA,C25093_008MA,C25093_008EA,C25093_009EA,C25093_009MA,C25093_010EA,C25093_010MA,C25093_011MA,C25093_011EA,C25093_012MA,C25093_012EA,C25093_013MA,C25093_013EA,C25093_014EA,C25093_014MA,C25093_015EA,C25093_015MA,C25093_016MA,C25093_016EA,C25093_017MA,C25093_017EA,state
0400000US01,1289217,12212,16671,2297,11141,1831,5259,1202,271,232,128185,5074,92458,4673,34647,2878,1080,567,786638,8589,586365,9556,192674,6733,7599,1282,357723,5218,268506,5062,86916,4128,2301,680,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,162312,3867,1777,626,1071,532,706,308,0,149,22446,2168,14746,1883,7656,1661,44,68,108485,2895,82686,2922,25716,2037,83,66,29604,1551,22546,1372,7005,961,53,68,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1501528,15067,16905,2292,9257,1601,6998,1697,650,422,139034,7161,93024,6056,44788,5224,1222,678,876985,13186,581153,11317,282988,9923,12844,2640,468604,6320,337324,6240,127181,5755,4099,1096,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,750984,9249,10765,1801,5629,1224,4389,1227,747,526,79415,4360,59842,3458,18826,2528,747,515,437200,7875,343113,7815,89268,4549,4819,1187,223604,3779,177892,3499,44219,2839,1493,507,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6843369,25886,46947,4001,21031,2481,24802,3092,1114,470,521113,12812,275989,8968,242948,8584,2176,995,4409527,24435,2512502,20408,1850213,20133,46812,3542,1865782,12083,1226033,12634,628426,9593,11323,1486,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1271804,10881,12277,1874,6465,1084,5317,1426,495,382,142598,5657,99286,4896,42293,3193,1019,662,833793,9091,585367,9998,242199,8470,6227,1542,283136,4111,199935,4196,81870,4052,1331,582,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,911059,6941,3543,889,1417,481,2038,671,88,170,66822,3998,41063,2788,25347,3106,412,369,603926,6639,394345,5905,205986,6121,3595,1035,236768,4134,139916,4042,95676,3707,1176,398,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,238560,4816,1730,733,659,386,1071,484,0,192,19297,1822,12101,1496,7099,1093,97,142,150061,4188,107162,3452,42216,2953,683,421,67472,2361,50553,2259,16614,1703,305,213,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110625,3425,322,236,107,146,215,187,0,200,14339,1760,8968,1340,5157,1256,214,211,66346,2866,46576,2399,19592,1840,178,188,29618,1446,20471,1468,8931,1212,216,161,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4741169,31771,32798,3516,14676,2142,15918,2687,2204,993,325733,9993,199304,8558,123056,6853,3373,1109,2725416,25037,1674556,22451,1013316,17993,37544,4270,1657222,14430,1100417,13959,538888,10914,17917,2326,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
