GEO_ID,C27001H_001E,C27001H_001M,C27001H_002E,C27001H_002M,C27001H_003E,C27001H_003M,C27001H_004E,C27001H_004M,C27001H_005E,C27001H_005M,C27001H_006E,C27001H_006M,C27001H_007E,C27001H_007M,C27001H_008E,C27001H_008M,C27001H_009E,C27001H_009M,C27001H_010E,C27001H_010M,NAME,C27001H_001EA,C27001H_001MA,C27001H_002EA,C27001H_002MA,C27001H_003MA,C27001H_003EA,C27001H_004MA,C27001H_004EA,C27001H_005MA,C27001H_005EA,C27001H_006EA,C27001H_006MA,C27001H_007EA,C27001H_007MA,C27001H_008MA,C27001H_008EA,C27001H_009MA,C27001H_009EA,C27001H_010MA,C27001H_010EA,state
0400000US01,3156182,3066,663937,1234,636352,4744,27585,4590,1971166,2338,1636591,12003,334575,11696,521079,1045,520248,1188,831,437,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,444477,1645,97819,293,89964,1459,7855,1431,304539,1607,243652,4509,60887,4549,42119,295,41865,366,254,213,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3664302,3312,668228,899,618695,6138,49533,6063,2246955,2786,1900558,13874,346397,13496,749119,769,745724,1428,3395,1217,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2147245,1783,459348,607,438460,2922,20888,2765,1323584,1602,1023354,11157,300230,10998,364313,1164,363509,1240,804,448,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14692607,9565,2491703,3025,2365854,9713,125849,9243,9565976,7536,8136541,27054,1429435,23862,2634928,2824,2624593,3475,10335,1818,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3509787,3572,703909,1234,659877,4850,44032,4604,2333892,3065,1983681,10843,350211,10691,471986,818,470693,956,1293,519,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2495657,3109,484223,1023,473990,2380,10233,2083,1582295,2525,1446221,7520,136074,6677,429139,1165,427993,1281,1146,703,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,582208,932,108181,109,103262,1593,4919,1586,367131,906,331670,3604,35461,3515,106896,487,106800,490,96,143,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,214969,527,20304,165,19507,1026,797,1029,173336,464,165773,1926,7563,1795,21329,254,21269,269,60,103,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10770477,7097,1802536,2476,1626479,13059,176057,12375,6442098,6099,5021790,25411,1420308,24878,2525843,2500,2515542,3467,10301,2434,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5352353,4238,1160658,1803,1081027,7867,79631,7553,3411968,4031,2737175,19361,674793,19962,779727,1518,778168,1620,1559,675,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,291137,1871,42036,160,39632,1154,2404,1142,200709,1853,178322,3371,22387,2709,48392,697,48179,696,213,129,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1308626,2556,325772,181,302077,3452,23695,3469,795802,2459,633048,8513,162754,8398,187052,867,186523,955,529,361,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8023512,5407,1626389,1716,1580733,5952,45656,5321,5146902,4416,4510038,17901,636864,16724,1250221,2028,1245578,2584,4643,1215,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5225891,3538,1174616,1608,1082698,7394,91918,7479,3301086,2515,2728662,13513,572424,13669,750189,1294,747409,1543,2780,1299,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2669187,1395,586963,376,564593,3436,22370,3447,1661346,1476,1478874,6277,182472,6401,420878,785,420001,950,877,434,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2190447,1853,490862,538,467857,3379,23005,3307,1367654,1713,1181336,7388,186318,7330,331931,864,330635,1217,1296,939,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3698444,3533,821761,1362,771547,5892,50214,5521,2345940,2780,1900229,12231,445711,11758,530743,901,529257,1064,1486,617,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2700216,2999,583880,804,552784,4705,31096,4835,1711896,2758,1377671,10805,334225,10561,404440,1086,402720,1276,1720,794,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1238847,696,241254,206,228274,2322,12980,2292,792736,819,675305,5463,117431,5562,204857,359,204526,414,331,202,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3116067,3181,617984,1578,598381,5080,19603,4672,2000559,2569,1818356,8834,182203,8696,497524,1348,496177,1376,1347,517,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4932959,6534,936440,2459,922027,3745,14413,2672,3212018,4653,3067012,9430,145006,8330,784501,1610,783565,1753,936,555,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7469666,2740,1567271,1313,1510715,5360,56556,5246,4734712,2301,4014661,14199,720051,14107,1167683,1276,1163896,1750,3787,1126,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4378122,2144,931624,690,887821,4017,43803,3942,2808771,1932,2554843,8508,253928,8449,637727,865,637073,886,654,239,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1688456,2157,367986,733,339533,4231,28453,4072,1043463,2240,828082,9442,215381,9285,277007,924,276339,1074,668,464,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4778328,4048,1046810,1684,980632,6469,66178,6354,2996151,3166,2493252,12975,502899,13047,735367,1343,733506,1585,1861,847,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,860817,889,176903,165,161399,2910,15504,2904,544437,866,423595,5875,120842,5883,139477,319,138650,495,827,501,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1484620,1817,330289,817,315948,2758,14341,2504,929800,1465,813661,5555,116139,5568,224531,657,224387,665,144,117,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
