B20005A_079M,B20005A_080E,B20005A_080M,B20005A_081E,B20005A_081M,B20005A_082E,B20005A_082M,B20005A_083E,B20005A_083M,B20005A_084E,B20005A_084M,B20005A_085E,B20005A_085M,B20005A_086E,B20005A_086M,B20005A_087E,B20005A_087M,B20005A_088E,B20005A_088M,B20005A_089E,B20005A_089M,B20005A_090E,B20005A_090M,B20005A_091E,B20005A_091M,B20005A_092E,B20005A_092M,B20005A_093E,B20005A_093M,B20005A_094E,B20005A_094M,B20005A_095E,B20005A_095M,GEO_ID,B20005A_001E,B20005A_001M,B20005A_002E,B20005A_002M,B20005A_003E,B20005A_003M,B20005A_004E,B20005A_004M,B20005A_005E,B20005A_005M,B20005A_006E,B20005A_006M,B20005A_007E,B20005A_007M,B20005A_008E,B20005A_008M,B20005A_009E,B20005A_009M,B20005A_010E,B20005A_010M,B20005A_011E,B20005A_011M,B20005A_012E,B20005A_012M,B20005A_013E,B20005A_013M,B20005A_014E,B20005A_014M,B20005A_015E,B20005A_015M,B20005A_016E,B20005A_016M,B20005A_017E,B20005A_017M,B20005A_018E,B20005A_018M,B20005A_019E,B20005A_019M,B20005A_020E,B20005A_020M,B20005A_021E,B20005A_021M,B20005A_022E,B20005A_022M,B20005A_023E,B20005A_023M,B20005A_024E,B20005A_024M,B20005A_025E,B20005A_025M,B20005A_026E,B20005A_026M,B20005A_027E,B20005A_027M,B20005A_028E,B20005A_028M,B20005A_029E,B20005A_029M,B20005A_030E,B20005A_030M,B20005A_031E,B20005A_031M,B20005A_032E,B20005A_032M,B20005A_033E,B20005A_033M,B20005A_034E,B20005A_034M,B20005A_035E,B20005A_035M,B20005A_036E,B20005A_036M,B20005A_037E,B20005A_037M,B20005A_038E,B20005A_038M,B20005A_039E,B20005A_039M,B20005A_040E,B20005A_040M,B20005A_041E,B20005A_041M,B20005A_042E,B20005A_042M,B20005A_043E,B20005A_043M,B20005A_044E,B20005A_044M,B20005A_045E,B20005A_045M,B20005A_046E,B20005A_046M,B20005A_047E,B20005A_047M,B20005A_048E,B20005A_048M,B20005A_049E,B20005A_049M,B20005A_050E,B20005A_050M,B20005A_051E,B20005A_051M,B20005A_052E,B20005A_052M,B20005A_053E,B20005A_053M,B20005A_054E,B20005A_054M,B20005A_055E,B20005A_055M,B20005A_056E,B20005A_056M,B20005A_057E,B20005A_057M,B20005A_058E,B20005A_058M,B20005A_059E,B20005A_059M,B20005A_060E,B20005A_060M,B20005A_061E,B20005A_061M,B20005A_062E,B20005A_062M,B20005A_063E,B20005A_063M,B20005A_064E,B20005A_064M,B20005A_065E,B20005A_065M,B20005A_066E,B20005A_066M,B20005A_067E,B20005A_067M,B20005A_068E,B20005A_068M,B20005A_069E,B20005A_069M,B20005A_070E,B20005A_070M,B20005A_071E,B20005A_071M,B20005A_072E,B20005A_072M,B20005A_073E,B20005A_073M,B20005A_074E,B20005A_074M,B20005A_075E,B20005A_075M,B20005A_076E,B20005A_076M,B20005A_077E,B20005A_077M,B20005A_078E,B20005A_078M,B20005A_079E,B20005A_079MA,B20005A_080MA,B20005A_080EA,B20005A_081MA,B20005A_081EA,B20005A_082EA,B20005A_082MA,B20005A_083MA,B20005A_083EA,B20005A_084EA,B20005A_084MA,B20005A_085MA,B20005A_085EA,B20005A_086EA,B20005A_086MA,B20005A_087EA,B20005A_087MA,B20005A_088EA,B20005A_088MA,B20005A_089EA,B20005A_089MA,B20005A_090MA,B20005A_090EA,B20005A_091EA,B20005A_091MA,B20005A_092EA,B20005A_092MA,B20005A_093EA,B20005A_093MA,B20005A_094EA,B20005A_094MA,B20005A_095EA,B20005A_095MA,NAME,B20005A_001MA,B20005A_001EA,B20005A_002MA,B20005A_002EA,B20005A_003MA,B20005A_003EA,B20005A_004MA,B20005A_004EA,B20005A_005EA,B20005A_005MA,B20005A_006MA,B20005A_006EA,B20005A_007MA,B20005A_007EA,B20005A_008MA,B20005A_008EA,B20005A_009MA,B20005A_009EA,B20005A_010EA,B20005A_010MA,B20005A_011MA,B20005A_011EA,B20005A_012MA,B20005A_012EA,B20005A_013MA,B20005A_013EA,B20005A_014MA,B20005A_014EA,B20005A_015EA,B20005A_015MA,B20005A_016MA,B20005A_016EA,B20005A_017MA,B20005A_017EA,B20005A_018MA,B20005A_018EA,B20005A_019MA,B20005A_019EA,B20005A_020EA,B20005A_020MA,B20005A_021EA,B20005A_021MA,B20005A_022MA,B20005A_022EA,B20005A_023MA,B20005A_023EA,B20005A_024MA,B20005A_024EA,B20005A_025EA,B20005A_025MA,B20005A_026EA,B20005A_026MA,B20005A_027EA,B20005A_027MA,B20005A_028EA,B20005A_028MA,B20005A_029EA,B20005A_029MA,B20005A_030MA,B20005A_030EA,B20005A_031EA,B20005A_031MA,B20005A_032EA,B20005A_032MA,B20005A_033EA,B20005A_033MA,B20005A_034EA,B20005A_034MA,B20005A_035MA,B20005A_035EA,B20005A_036EA,B20005A_036MA,B20005A_037EA,B20005A_037MA,B20005A_038EA,B20005A_038MA,B20005A_039EA,B20005A_039MA,B20005A_040EA,B20005A_040MA,B20005A_041EA,B20005A_041MA,B20005A_042EA,B20005A_042MA,B20005A_043EA,B20005A_043MA,B20005A_044EA,B20005A_044MA,B20005A_045MA,B20005A_045EA,B20005A_046MA,B20005A_046EA,B20005A_047EA,B20005A_047MA,B20005A_048EA,B20005A_048MA,B20005A_049EA,B20005A_049MA,B20005A_050MA,B20005A_050EA,B20005A_051MA,B20005A_051EA,B20005A_052EA,B20005A_052MA,B20005A_053EA,B20005A_053MA,B20005A_054EA,B20005A_054MA,B20005A_055EA,B20005A_055MA,B20005A_056MA,B20005A_056EA,B20005A_057MA,B20005A_057EA,B20005A_058EA,B20005A_058MA,B20005A_059EA,B20005A_059MA,B20005A_060EA,B20005A_060MA,B20005A_061MA,B20005A_061EA,B20005A_062MA,B20005A_062EA,B20005A_063EA,B20005A_063MA,B20005A_064EA,B20005A_064MA,B20005A_065MA,B20005A_065EA,B20005A_066MA,B20005A_066EA,B20005A_067MA,B20005A_067EA,B20005A_068MA,B20005A_068EA,B20005A_069EA,B20005A_069MA,B20005A_070MA,B20005A_070EA,B20005A_071MA,B20005A_071EA,B20005A_072MA,B20005A_072EA,B20005A_073MA,B20005A_073EA,B20005A_074EA,B20005A_074MA,B20005A_075EA,B20005A_075MA,B20005A_076MA,B20005A_076EA,B20005A_077EA,B20005A_077MA,B20005A_078MA,B20005A_078EA,B20005A_079EA,state
2692,42103,3821,15497,2113,16879,2150,9144,1862,14973,2308,5698,1361,10436,1808,9450,1612,7492,1548,6763,1296,3706,861,4985,1087,3513,834,1595,754,1773,660,1893,590,0400000US01,2688287,6554,1302240,5447,618242,10000,150,191,618092,9993,1423,484,1671,681,3968,1029,6414,1683,12963,2268,6840,1335,14634,1905,11137,1708,26279,2809,19048,2621,43329,3512,53065,4166,42690,3359,43079,3615,36645,3715,47270,3309,59717,4115,43895,3235,64732,3832,79293,4027,683998,11174,415417,7765,268581,7822,47286,3484,31570,2852,25292,2606,20245,2599,26340,2932,13366,2264,14934,2597,9925,1753,11873,1889,6737,1522,11563,2132,9549,1487,5225,1015,6645,1265,3563,1089,4698,1213,5284,1351,3000,947,5396,1243,6090,1092,1386047,3803,431108,9849,334,455,430774,9838,843,530,1226,487,4400,1407,6005,1214,14028,2067,11614,1952,23719,2814,21687,2623,26414,2690,23029,2649,44041,3758,40879,3693,37638,3237,38341,3635,28741,2910,25631,2333,29668,2736,17794,2308,19822,2109,15254,2060,954939,10029,631009,9847,323930,8338,61192,3510,39570,3614,37638,2873,29630,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
975,5569,1249,1594,497,2670,746,2341,846,3391,781,1593,612,4781,1040,2881,792,1803,652,1318,449,1248,507,1450,477,1878,572,1640,575,1370,574,700,324,0400000US02,388500,2148,204418,1410,107922,3686,0,149,107922,3686,175,157,133,133,777,429,300,212,1072,533,571,297,2283,869,995,465,2565,813,2753,653,4485,1021,6365,1584,4013,1088,9264,2179,5273,1277,8028,1517,10811,1914,10364,1738,17935,2244,19760,2335,96496,3775,38120,2367,58376,3401,5563,1124,3548,830,4233,982,2695,870,3690,1103,2324,811,2759,767,1163,416,3373,959,1208,544,2690,678,2124,714,2153,690,2379,731,1574,713,1818,739,2620,1055,2563,821,4135,983,5764,1491,184082,1211,71386,3642,202,278,71184,3644,207,275,0,149,226,178,918,504,1590,695,775,394,1963,720,1308,490,2669,804,2629,864,6260,1385,6467,1130,6069,1266,6242,1288,3613,820,5519,1109,7913,1626,5509,1188,7158,1334,4149,1359,112696,3826,51752,3113,60944,3477,9092,1454,5804,1183,6264,1158,3557,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
3699,55466,5381,27346,3430,29857,3932,13872,2503,21575,3162,12840,2084,22011,3299,18684,2716,13266,2234,10581,2025,5647,1071,7419,1482,6240,1475,4684,1298,4274,1310,3230,995,0400000US04,4096686,15927,2009993,9205,885408,14979,128,121,885280,14959,3189,999,1576,680,6671,1357,5338,1514,20359,4169,11376,2698,31033,4016,23159,4385,44212,4614,30167,3653,57075,6121,74408,7191,57072,4961,72670,6665,46820,4842,55066,4503,79694,5925,56616,4901,85167,5177,123612,6135,1124585,14861,683340,13694,441245,13642,75347,6334,48967,4492,43329,4105,28427,3280,44671,3378,22415,3488,30267,3946,18045,2939,19095,2583,8943,1820,20092,2819,17135,2921,8835,2385,11884,2119,7594,1837,6909,1644,7022,1408,4929,1149,8615,1862,8724,1949,2086693,9227,653136,13995,74,105,653062,13986,1506,680,1214,539,5725,1403,6312,1694,19435,2870,14356,2383,25291,3483,19727,2995,38470,4046,28488,4034,58521,4237,72534,6616,63308,6008,58333,5451,35821,3482,34936,3958,49462,4611,36695,4115,44297,3391,38631,4113,1433557,15527,934097,12601,499460,13548,84376,5946,56614,4930,59721,5257,41757,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
2620,27817,2929,12948,2179,12295,1509,5343,1189,7008,1494,4782,1141,7279,1364,5097,1164,2561,662,3408,877,2767,865,2678,805,3217,1075,937,451,1251,620,1376,775,0400000US05,1843590,5174,901888,3091,417331,9047,0,192,417331,9047,870,459,991,366,4438,1083,2865,829,10750,2177,6437,1445,13172,1995,12400,2087,26345,2859,21324,2923,36867,3465,37406,3488,34813,3192,32436,3052,20944,2481,28466,3029,33974,2926,20379,2481,30952,2601,41502,3732,484557,9122,295066,6100,189491,7097,31976,2679,27202,2734,22819,2427,13234,1962,18047,2134,10530,1963,9986,1519,4083,1289,8781,1754,5119,1429,7023,1358,5449,1241,5222,1280,2432,657,2117,671,3350,1205,4205,1399,1880,723,2626,849,3410,843,941702,3485,307788,6589,0,192,307788,6589,787,439,811,406,2964,867,3594,1046,12982,1894,11417,1894,19034,2745,15909,2375,24564,2678,18462,2228,31519,2832,28806,2691,26470,2757,24642,2455,18457,2131,15024,2159,19699,2131,12874,2033,11932,1798,7841,1303,633914,7591,418986,7043,214928,7410,39063,2835,30854,3513,25461,2854,18786,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
8442,283725,9303,125426,6019,149541,7062,89756,5339,120505,6589,72162,4949,106717,4660,101631,5334,63630,4674,61220,4555,42842,3196,42924,3740,60055,4063,43478,3319,72550,4079,48835,3179,0400000US06,18934984,44518,9394691,25962,4191807,28047,565,527,4191242,27865,15134,2358,6558,1447,29566,2674,25389,2852,85391,5811,61171,3931,129993,6390,106996,6749,176147,9591,138279,6723,243700,8915,263075,9875,228626,7576,245464,7906,192969,7349,243260,8815,331187,9010,269793,8480,492717,9983,905827,14309,5202884,28161,2860055,21450,2342829,23007,318262,9713,224559,8045,221007,9665,162063,7233,246102,8658,99774,6205,136984,5624,86166,6380,119229,6166,61131,4033,111090,6715,90819,5235,63386,4966,63317,4162,35408,2863,46086,3871,56684,3933,40922,3389,68389,4123,91451,5074,9540293,24974,2799455,28919,138,129,2799317,28917,4601,1007,6655,1446,24713,2720,19612,2282,67255,5105,59049,4389,101892,6120,83246,5809,126917,5928,109519,5799,198666,8181,228363,8699,196079,9099,205733,7821,157812,7155,174145,7271,236876,9069,188360,8124,292393,8321,317431,9149,6740838,30372,4104842,26778,2635996,28223,398740,11793,268274,9489,279985,8854,204000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
3303,54970,3892,25340,2725,27992,2777,18284,2267,25884,2203,16209,2022,25492,3267,20226,2297,12111,1629,11302,1912,6086,1272,8022,2026,9142,1540,5485,1560,4879,1039,6920,1730,0400000US08,3453660,11812,1721427,7235,878424,9862,41,48,878383,9870,2999,925,1726,831,5484,1173,5013,1435,16251,2213,7754,1372,15281,2307,15235,2231,30173,3292,22090,2797,49191,3460,66911,4493,53686,3853,61475,3605,48864,3947,67024,4809,78419,4461,64057,3628,106158,5416,160592,6040,843003,11922,400000,8598,443003,10569,64289,3994,52625,3802,41648,3915,30283,3081,44187,4834,16689,2388,24663,2798,15444,2191,21005,2283,10462,1778,19633,2683,20901,2480,14723,2404,12521,1892,7453,1330,9882,1835,9344,1551,6118,1274,7523,1433,13610,2123,1732233,6286,622390,11125,23,38,622367,11132,1721,639,2424,829,4487,1109,4967,1466,17452,2165,11704,1729,20059,2545,18221,2679,29305,3005,23901,2808,51659,4513,59716,4915,50885,3425,54917,4112,41249,3717,40779,3346,53466,3972,38112,3035,54532,3865,42811,4005,1109843,11436,579645,8293,530198,9470,90897,5264,63225,4410,59359,3610,38373,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1966,33875,2483,15843,1637,22236,2351,11571,1898,17349,1905,9827,1559,18673,2099,15570,2327,10084,1603,9788,1344,6737,1295,8550,1352,7998,1229,7355,1234,8585,1275,4624,885,0400000US09,2292614,7941,1103113,4972,547063,6438,0,198,547063,6438,717,481,792,383,2623,768,909,528,5428,1269,3788,962,5595,1293,4900,1138,11862,1836,6058,1392,24707,3049,25620,2357,27492,2781,38036,3522,28848,2909,36381,3020,53846,3470,45440,3088,83728,4242,140293,4995,556050,6648,291194,6598,264856,6751,43538,3191,28051,2556,26325,2307,16917,2291,20998,2229,9632,1503,13533,2568,7100,1290,12455,1590,5736,1313,12627,1750,12249,2028,6369,1128,8356,1397,4763,950,6568,1555,6416,1179,3943,1018,7161,1359,12119,1578,1189501,4409,401017,8531,0,198,401017,8531,237,209,1245,489,2251,780,1783,574,5777,1077,3669,1085,6456,1384,7025,1245,13351,1884,10269,1770,24569,2306,33482,2700,27486,2653,34062,2941,24179,2631,27802,2591,43596,2927,34610,2762,53779,3110,45389,3450,788484,8724,427805,6438,360679,7771,56787,3515,38687,2998,34697,2899,21843,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1699,6734,1303,3971,1055,3896,861,2442,832,3453,1085,1311,537,3618,800,2355,790,1857,554,1686,681,1258,519,965,484,1625,650,710,472,1294,483,619,446,0400000US10,527404,3122,254217,1920,124851,4466,0,192,124851,4466,347,323,236,188,356,225,177,133,1636,644,1203,597,2170,915,2059,971,2232,722,3099,973,6777,1450,7715,1326,10215,1614,10286,1761,9742,1705,11444,1739,11910,2087,8953,1482,14350,1550,19944,1861,129366,4303,72683,2911,56683,3543,9757,1616,6437,1187,6158,1321,4539,1046,4964,972,2324,651,2373,725,1356,461,2113,805,1680,856,2247,660,2226,655,1329,478,1367,702,1024,425,1684,680,1185,468,826,382,1057,476,2037,720,273187,1647,92558,3818,42,72,92516,3807,252,296,43,64,349,371,482,275,1170,464,1331,696,2904,869,2548,763,3984,1070,2705,1108,7764,1337,8831,1245,8731,1565,9923,1689,6328,1240,6280,1348,8177,1315,6652,1366,7924,1175,6138,1054,180629,4064,106862,3399,73767,3382,13185,1756,9578,1536,6941,1261,6269,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
806,2378,859,389,262,1685,654,465,302,1001,452,344,225,892,394,904,385,1051,482,1085,502,331,198,1015,540,679,381,526,334,1036,521,1274,565,0400000US11,222685,2741,111639,1875,70624,2832,0,200,70624,2832,0,200,0,200,239,350,131,133,207,169,32,53,119,154,215,250,1926,804,869,441,2148,853,2363,1215,1944,611,2713,773,1804,666,3550,906,7174,1445,6146,1737,7958,1312,31086,2133,41015,2945,17161,2119,23854,2710,2738,705,2915,1172,1054,443,547,271,2782,897,607,429,1211,599,431,296,1184,537,748,388,932,533,1747,809,614,338,1750,761,86,103,363,276,387,264,722,419,813,456,2223,621,111046,1430,59578,2734,0,200,59578,2734,140,177,0,200,33,56,132,164,189,158,32,52,790,536,156,141,442,275,464,384,1142,585,2062,753,2373,755,3466,798,3178,887,5735,1115,6350,1260,6212,1318,9782,1605,16900,1958,51468,2857,23327,2122,28141,2726,5609,1481,2935,988,2787,947,1755,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
7772,164595,9221,83971,5513,89860,6120,49114,4682,65664,5581,32813,3808,62598,4857,46132,4192,35302,3477,36061,3119,19040,2199,17044,2074,20719,2458,9545,1617,9434,1550,10202,1807,0400000US12,12167412,23840,5915544,13989,2484863,20925,221,180,2484642,20920,7244,1789,2968,981,21841,3623,16078,3064,58291,5311,44924,4832,84627,7299,72995,6349,128289,7184,93994,6757,189375,7629,221429,9456,171361,8580,179315,8766,126480,6696,168474,7506,208670,9235,136307,7580,217372,8664,334608,11372,3430681,22736,2182824,21038,1247857,21656,185442,7934,137512,7634,138256,7202,104340,7908,137395,6719,59375,5107,81723,6616,41496,4589,55456,5104,25715,2911,51894,4863,48625,4727,33548,4429,27592,3417,17315,2617,17256,2414,20595,2847,14585,2689,20924,2740,28813,3113,6251868,14981,1934647,21984,193,253,1934454,22001,3042,1117,4233,1656,15871,2268,20450,3569,65004,5831,52700,5118,85447,5495,75366,6132,131914,8051,86087,5506,195759,8758,206163,9490,171128,8250,169019,8204,113130,6720,109205,5607,141008,7948,83901,6168,106159,6742,98868,6492,4317221,23940,2905759,21590,1411462,21751,218681,10158,153518,6927,166124,8589,121045,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
