GEO_ID,C23002H_001E,C23002H_001M,C23002H_002E,C23002H_002M,C23002H_003E,C23002H_003M,C23002H_004E,C23002H_004M,C23002H_005E,C23002H_005M,C23002H_006E,C23002H_006M,C23002H_007E,C23002H_007M,C23002H_008E,C23002H_008M,C23002H_009E,C23002H_009M,C23002H_010E,C23002H_010M,C23002H_011E,C23002H_011M,C23002H_012E,C23002H_012M,C23002H_013E,C23002H_013M,C23002H_014E,C23002H_014M,C23002H_015E,C23002H_015M,C23002H_016E,C23002H_016M,C23002H_017E,C23002H_017M,C23002H_018E,C23002H_018M,C23002H_019E,C23002H_019M,C23002H_020E,C23002H_020M,C23002H_021E,C23002H_021M,C23002H_022E,C23002H_022M,C23002H_023E,C23002H_023M,C23002H_024E,C23002H_024M,C23002H_025E,C23002H_025M,C23002H_026E,C23002H_026M,C23002H_027E,C23002H_027M,NAME,C23002H_001EA,C23002H_001MA,C23002H_002MA,C23002H_002EA,C23002H_003MA,C23002H_003EA,C23002H_004MA,C23002H_004EA,C23002H_005MA,C23002H_005EA,C23002H_006EA,C23002H_006MA,C23002H_007EA,C23002H_007MA,C23002H_008EA,C23002H_008MA,C23002H_009MA,C23002H_009EA,C23002H_010MA,C23002H_010EA,C23002H_011MA,C23002H_011EA,C23002H_012EA,C23002H_012MA,C23002H_013EA,C23002H_013MA,C23002H_014MA,C23002H_014EA,C23002H_015MA,C23002H_015EA,C23002H_016MA,C23002H_016EA,C23002H_017EA,C23002H_017MA,C23002H_018EA,C23002H_018MA,C23002H_019EA,C23002H_019MA,C23002H_020MA,C23002H_020EA,C23002H_021MA,C23002H_021EA,C23002H_022MA,C23002H_022EA,C23002H_023EA,C23002H_023MA,C23002H_024MA,C23002H_024EA,C23002H_025EA,C23002H_025MA,C23002H_026MA,C23002H_026EA,C23002H_027EA,C23002H_027MA,state
0400000US01,2614501,3152,1262851,2482,1030153,2479,786715,7059,9451,1604,777264,7016,702794,8940,74470,4997,243438,7446,232698,213,45577,2587,42619,2524,2958,756,187121,2590,1351650,1954,1047273,1956,673376,8759,650,388,672726,8710,610256,9674,62470,4525,373897,9064,304377,70,35213,2729,33109,2553,2104,758,269164,2731,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,372710,1075,197238,762,175337,762,145871,2247,10506,1365,135365,2476,125792,2467,9573,1585,29466,2225,21901,6,5387,877,5263,856,124,163,16514,876,175472,748,154284,746,113589,3059,1622,561,111967,3170,104076,3453,7891,1333,40695,2922,21188,122,4398,868,4291,833,107,131,16790,891,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3124889,3480,1532733,2941,1182164,2966,920262,10025,10576,1503,909686,9999,819444,11441,90242,7559,261902,10087,350569,256,56127,3469,51584,3418,4543,1195,294442,3399,1592156,2246,1183688,2249,817484,9309,1276,570,816208,9404,748985,9491,67223,5216,366204,9804,408468,60,43766,3843,41095,3764,2671,872,364702,3851,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1771633,1819,861715,1531,694913,1546,525566,5915,4247,1088,521319,5954,476968,6461,44351,3496,169347,6078,166802,405,30352,2156,28620,2088,1732,675,136450,2156,909918,1564,698471,1650,458124,7022,32,55,458092,7023,424373,7050,33719,3446,240347,7150,211447,327,25750,1858,24926,1852,824,326,185697,1880,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12744698,8375,6315216,5673,5118199,5604,4034673,15149,70881,3790,3963792,15426,3514986,17614,448806,11629,1083526,15151,1197017,850,266265,6778,243771,6285,22494,2015,930752,6940,6429482,4265,4929297,4102,3435515,19558,8417,1619,3427098,19485,3092226,20547,334872,10515,1493782,19146,1500185,864,201906,5980,186577,5805,15329,1609,1298279,6009,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2938738,3103,1458527,2407,1241713,2374,1038286,5765,18530,2247,1019756,6312,935704,6838,84052,5051,203427,6711,216814,292,51527,2594,46055,2627,5472,1092,165287,2591,1480211,2119,1212038,2112,907474,7578,3216,904,904258,7599,837012,7578,67246,4327,304564,7735,268173,136,41393,2666,38877,2579,2516,658,226780,2692,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2109906,2775,1015379,1725,824570,1728,688975,4841,5791,1116,683184,5082,617346,5691,65838,4174,135595,4938,190809,120,49672,2305,45170,2201,4502,842,141137,2291,1094527,1936,836950,1944,641815,6454,580,397,641235,6493,590358,6339,50877,3913,195135,6663,257577,269,40047,2301,36808,2215,3239,700,217530,2331,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,495522,1028,237219,777,188622,778,151992,2380,1607,537,150385,2459,137916,2439,12469,1839,36630,2427,48597,11,10812,1293,10340,1297,472,267,37785,1294,258303,647,197013,647,140488,3469,252,193,140236,3466,131185,3369,9051,1258,56525,3566,61290,192,8488,1275,7969,1197,519,249,52802,1275,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,198664,411,98139,227,87945,219,74139,2021,1677,692,72462,1956,69745,2037,2717,899,13806,2047,10194,51,4121,597,3979,593,142,172,6073,591,100525,349,89002,342,69873,1933,172,110,69701,1950,67735,1982,1966,521,19129,1922,11523,58,2506,697,2381,683,125,147,9017,703,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9349805,6481,4548592,4464,3379743,4442,2587521,16515,30364,2868,2557157,16734,2262200,17356,294957,9214,792222,18012,1168849,582,204553,7089,182677,6749,21876,2309,964296,7001,4801213,4942,3397866,5030,2346494,17874,4338,1132,2342156,17761,2125635,18763,216521,8381,1051372,17513,1403347,1259,150162,4851,134625,5048,15537,2468,1253185,5024,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
