GEO_ID,C15002C_001E,C15002C_001M,C15002C_002E,C15002C_002M,C15002C_003E,C15002C_003M,C15002C_004E,C15002C_004M,C15002C_005E,C15002C_005M,C15002C_006E,C15002C_006M,C15002C_007E,C15002C_007M,C15002C_008E,C15002C_008M,C15002C_009E,C15002C_009M,C15002C_010E,C15002C_010M,C15002C_011E,C15002C_011M,NAME,C15002C_001EA,C15002C_001MA,C15002C_002EA,C15002C_002MA,C15002C_003MA,C15002C_003EA,C15002C_004EA,C15002C_004MA,C15002C_005EA,C15002C_005MA,C15002C_006EA,C15002C_006MA,C15002C_007EA,C15002C_007MA,C15002C_008MA,C15002C_008EA,C15002C_009MA,C15002C_009EA,C15002C_010EA,C15002C_010MA,C15002C_011EA,C15002C_011MA,state
0400000US01,16625,1896,7599,1340,1810,874,3069,946,1833,603,887,314,9026,1210,1344,465,2652,806,3634,830,1396,674,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,57521,2027,30055,1314,5765,653,13627,1244,8889,1192,1774,554,27466,1381,5136,615,9997,1017,9819,1174,2514,740,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,157098,3380,75308,2657,19867,2152,27877,2300,20677,2102,6887,1517,81790,1916,18579,1759,22799,2898,31582,2800,8830,1195,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,10800,1820,6029,1340,1079,582,2126,836,1895,785,929,437,4771,1007,852,448,1756,708,1822,751,341,212,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,183002,8857,88640,5094,21728,2758,25546,2588,30969,2583,10397,1585,94362,5337,23639,2981,23550,2808,33982,3110,13191,1976,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,29951,2510,15353,1858,3746,821,4973,1166,4774,1074,1860,599,14598,1491,2206,669,3422,791,6421,1177,2549,892,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,4453,1084,2004,700,616,383,487,289,304,226,597,386,2449,802,620,497,671,413,820,415,338,332,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,2136,673,1282,514,293,261,594,392,250,206,145,159,854,387,38,67,384,266,247,199,185,202,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,40813,4356,19644,2744,6010,1834,6098,1571,3868,1023,3668,1105,21169,2620,5889,1733,4761,1171,8281,1824,2238,832,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
