B27017_050M,B27017_051E,B27017_051M,B27017_052E,B27017_052M,B27017_053E,B27017_053M,B27017_054E,B27017_054M,B27017_055E,B27017_055M,B27017_056E,B27017_056M,B27017_057E,B27017_057M,B27017_058E,B27017_058M,B27017_059E,B27017_059M,B27017_060E,B27017_060M,B27017_061E,B27017_061M,B27017_062E,B27017_062M,B27017_063E,B27017_063M,B27017_064E,B27017_064M,B27017_065E,B27017_065M,B27017_066E,B27017_066M,B27017_067E,B27017_067M,B27017_068E,B27017_068M,B27017_069E,B27017_069M,B27017_070E,B27017_070M,B27017_071E,B27017_071M,B27017_072E,B27017_072M,B27017_073E,B27017_073M,B27017_074E,B27017_074M,B27017_075E,B27017_075M,B27017_076E,B27017_076M,B27017_077E,B27017_077M,B27017_078E,B27017_078M,B27017_079E,B27017_079M,B27017_080E,B27017_080M,B27017_081E,B27017_081M,B27017_082E,B27017_082M,B27017_083E,B27017_083M,B27017_084E,B27017_084M,B27017_085E,B27017_085M,B27017_086E,B27017_086M,B27017_087E,B27017_087M,B27017_088E,B27017_088M,B27017_089E,B27017_089M,B27017_090E,B27017_090M,B27017_091E,B27017_091M,GEO_ID,B27017_001E,B27017_001M,B27017_002E,B27017_002M,B27017_003E,B27017_003M,B27017_004E,B27017_004M,B27017_005E,B27017_005M,B27017_006E,B27017_006M,B27017_007E,B27017_007M,B27017_008E,B27017_008M,B27017_009E,B27017_009M,B27017_010E,B27017_010M,B27017_011E,B27017_011M,B27017_012E,B27017_012M,B27017_013E,B27017_013M,B27017_014E,B27017_014M,B27017_015E,B27017_015M,B27017_016E,B27017_016M,B27017_017E,B27017_017M,B27017_018E,B27017_018M,B27017_019E,B27017_019M,B27017_020E,B27017_020M,B27017_021E,B27017_021M,B27017_022E,B27017_022M,B27017_023E,B27017_023M,B27017_024E,B27017_024M,B27017_025E,B27017_025M,B27017_026E,B27017_026M,B27017_027E,B27017_027M,B27017_028E,B27017_028M,B27017_029E,B27017_029M,B27017_030E,B27017_030M,B27017_031E,B27017_031M,B27017_032E,B27017_032M,B27017_033E,B27017_033M,B27017_034E,B27017_034M,B27017_035E,B27017_035M,B27017_036E,B27017_036M,B27017_037E,B27017_037M,B27017_038E,B27017_038M,B27017_039E,B27017_039M,B27017_040E,B27017_040M,B27017_041E,B27017_041M,B27017_042E,B27017_042M,B27017_043E,B27017_043M,B27017_044E,B27017_044M,B27017_045E,B27017_045M,B27017_046E,B27017_046M,B27017_047E,B27017_047M,B27017_048E,B27017_048M,B27017_049E,B27017_049M,B27017_050E,B27017_050MA,B27017_051EA,B27017_051MA,B27017_052EA,B27017_052MA,B27017_053MA,B27017_053EA,B27017_054MA,B27017_054EA,B27017_055MA,B27017_055EA,B27017_056MA,B27017_056EA,B27017_057EA,B27017_057MA,B27017_058EA,B27017_058MA,B27017_059EA,B27017_059MA,B27017_060MA,B27017_060EA,B27017_061MA,B27017_061EA,B27017_062MA,B27017_062EA,B27017_063EA,B27017_063MA,B27017_064EA,B27017_064MA,B27017_065EA,B27017_065MA,B27017_066MA,B27017_066EA,B27017_067MA,B27017_067EA,B27017_068EA,B27017_068MA,B27017_069EA,B27017_069MA,B27017_070EA,B27017_070MA,B27017_071MA,B27017_071EA,B27017_072MA,B27017_072EA,B27017_073EA,B27017_073MA,B27017_074EA,B27017_074MA,B27017_075EA,B27017_075MA,B27017_076EA,B27017_076MA,B27017_077MA,B27017_077EA,B27017_078MA,B27017_078EA,B27017_079EA,B27017_079MA,B27017_080EA,B27017_080MA,B27017_081EA,B27017_081MA,B27017_082MA,B27017_082EA,B27017_083MA,B27017_083EA,B27017_084EA,B27017_084MA,B27017_085EA,B27017_085MA,B27017_086EA,B27017_086MA,B27017_087EA,B27017_087MA,B27017_088MA,B27017_088EA,B27017_089MA,B27017_089EA,B27017_090EA,B27017_090MA,B27017_091EA,B27017_091MA,NAME,B27017_001MA,B27017_001EA,B27017_002MA,B27017_002EA,B27017_003MA,B27017_003EA,B27017_004MA,B27017_004EA,B27017_005EA,B27017_005MA,B27017_006EA,B27017_006MA,B27017_007MA,B27017_007EA,B27017_008MA,B27017_008EA,B27017_009EA,B27017_009MA,B27017_010EA,B27017_010MA,B27017_011EA,B27017_011MA,B27017_012MA,B27017_012EA,B27017_013MA,B27017_013EA,B27017_014EA,B27017_014MA,B27017_015EA,B27017_015MA,B27017_016EA,B27017_016MA,B27017_017EA,B27017_017MA,B27017_018MA,B27017_018EA,B27017_019EA,B27017_019MA,B27017_020EA,B27017_020MA,B27017_021EA,B27017_021MA,B27017_022EA,B27017_022MA,B27017_023MA,B27017_023EA,B27017_024EA,B27017_024MA,B27017_025EA,B27017_025MA,B27017_026EA,B27017_026MA,B27017_027EA,B27017_027MA,B27017_028EA,B27017_028MA,B27017_029EA,B27017_029MA,B27017_030EA,B27017_030MA,B27017_031EA,B27017_031MA,B27017_032EA,B27017_032MA,B27017_033EA,B27017_033MA,B27017_034MA,B27017_034EA,B27017_035EA,B27017_035MA,B27017_036EA,B27017_036MA,B27017_037EA,B27017_037MA,B27017_038EA,B27017_038MA,B27017_039MA,B27017_039EA,B27017_040EA,B27017_040MA,B27017_041EA,B27017_041MA,B27017_042EA,B27017_042MA,B27017_043MA,B27017_043EA,B27017_044MA,B27017_044EA,B27017_045MA,B27017_045EA,B27017_046EA,B27017_046MA,B27017_047EA,B27017_047MA,B27017_048MA,B27017_048EA,B27017_049MA,B27017_049EA,B27017_050EA,state
3564,32801,2766,441477,19436,105796,8191,73846,6412,31950,4325,261249,12509,186607,10202,74642,6020,74432,4935,48432,3559,26000,2878,368201,14836,80746,6400,64018,5518,16728,3028,223852,9554,172568,8091,51284,4829,63603,3674,42658,3179,20945,2260,610284,19632,130830,7601,112830,6501,18000,2970,389498,13617,329635,12278,59863,5508,89956,4761,65644,3828,24312,2570,1351380,24365,223505,9283,209511,8848,13994,2656,935331,19237,863397,18750,71934,6996,192544,6189,154811,5473,37733,3619,0400000US01,4673858,3005,367246,15694,134329,8732,15958,3046,118371,8362,218138,10337,65883,5667,152255,7976,14779,2009,6446,1292,8333,1419,524725,19640,172644,10024,33561,5511,139083,8972,299386,11652,77351,5855,222035,9471,52695,3423,20032,2438,32663,2437,407791,16274,109223,8341,35680,5603,73543,6956,231825,9874,86274,6174,145551,6416,66743,4270,30597,2821,36146,3323,112145,9669,28694,4908,10079,2452,18615,3927,62646,5541,27604,3588,35042,3934,20805,2326,11050,1744,9755,1608,490609,18066,126361,7627,70404,5460,55957,5247,285887,13134,165769,7939,120118,8655,78361,4561,45560,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
646,4113,816,50233,5797,17803,3465,11767,2932,6036,1480,28119,2924,17002,2233,11117,1858,4311,1209,1702,528,2609,1125,46052,5676,12469,2463,8095,2121,4374,1325,30014,3743,17447,2968,12567,2412,3569,880,2076,645,1493,586,100513,8261,27284,3486,18287,3041,8997,2231,66277,5796,44148,4237,22129,3418,6952,1165,4883,901,2069,740,300493,10304,54552,4453,47487,4270,7065,1485,218423,7794,185916,7518,32507,3407,27518,2104,21915,2045,5603,1101,0400000US02,694928,2150,33460,4270,12856,2829,1951,886,10905,2716,19301,2171,2648,891,16653,2157,1303,504,213,171,1090,472,40221,4040,14085,2689,3127,1575,10958,2065,23877,2209,4667,1119,19210,2144,2259,688,1192,505,1067,409,41763,5728,14457,2708,4009,1096,10448,2527,23474,3314,5530,1025,17944,2922,3832,841,736,348,3096,736,16941,3520,7111,2243,2362,1213,4749,1733,8630,1715,2179,802,6451,1462,1200,437,267,151,933,419,65252,6496,24548,4421,10295,2321,14253,3826,34664,3321,15818,2851,18846,2702,6040,1128,1927,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
4354,48775,4252,573150,25986,142159,10689,92128,9218,50031,6473,333145,18380,197676,12443,135469,13043,97846,5586,56346,4419,41500,4212,543693,25994,134771,11457,103545,9890,31226,4941,326006,16439,222774,13427,103232,9388,82916,6344,52153,4716,30763,4173,846400,35480,187724,15062,160745,14012,26979,4732,522610,21003,397305,18416,125305,11085,136066,8757,91234,7407,44832,5076,1840051,30259,294055,10956,276226,10931,17829,3452,1225150,21318,1095466,22100,129684,10160,320846,9070,240796,8579,80050,6355,0400000US04,6326436,4595,551893,22706,196441,13118,24897,6139,171544,11607,329596,13854,71224,5022,258372,13084,25856,3060,9382,1893,16474,2246,651608,31913,238509,17862,32268,5312,206241,16661,361096,16260,66738,6641,294358,14090,52003,3896,15070,2491,36933,3507,548761,26086,178041,12685,51009,6886,127032,11103,301153,15503,92820,7623,208333,12258,69567,5802,27026,3307,42541,4917,151036,15588,44832,6653,17271,4103,27561,5437,81592,8439,31586,4611,50006,6643,24612,4270,9394,1793,15218,3712,619844,26808,181164,12327,90966,9646,90198,9790,337376,15738,164035,10354,173341,12169,101304,6261,52529,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
2560,22070,2407,265336,14998,60525,5944,37907,4500,22618,3334,160988,9993,100709,6784,60279,5125,43823,3114,25565,2614,18258,2117,237713,15335,57036,6387,42502,5752,14534,2593,142759,9488,101873,7703,40886,3895,37918,3145,22866,2190,15052,2230,378845,18149,72527,6436,56394,6207,16133,2614,244554,12733,188260,8990,56294,7753,61764,4618,45195,4139,16569,2102,731043,19385,126124,7484,118059,7348,8065,1574,496972,12920,451281,13179,45691,4586,107947,4960,86418,4634,21529,2284,0400000US05,2851802,2423,226213,10212,88384,6182,7904,2411,80480,6299,128898,6100,29449,3956,99449,5188,8931,1538,3590,930,5341,1280,329607,14607,108154,8193,10721,2431,97433,7902,187233,8416,41749,4071,145484,7425,34220,2712,12177,1575,22043,1951,276656,14914,78611,7467,16979,3166,61632,6945,147668,8366,51680,4637,95988,7261,50377,3111,20650,2141,29727,2312,86009,7070,25847,3287,7385,2233,18462,2797,44923,4388,19022,3087,25901,2739,15239,2002,8517,1589,6722,1311,320380,17140,82329,6786,32922,4458,49407,4738,185674,11756,95656,7100,90018,7427,52377,3548,30307,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
6810,246323,8996,3085913,56924,782743,22522,448940,17032,333803,14113,1910654,38393,1031006,25690,879648,22120,392516,11214,190231,6524,202285,9164,2647573,42417,624745,19532,444433,17781,180312,10666,1683228,29928,1099378,26038,583850,16614,339600,10821,183805,6800,155795,8006,4326159,70428,974654,28394,802925,26300,171729,10068,2808310,44895,2091373,37480,716937,21319,543195,11026,321416,8844,221779,7357,13059534,80007,2408369,31733,2263057,31376,145312,8853,8964774,54417,8071837,48406,892937,21556,1686391,19889,1176523,17931,509868,11339,0400000US06,36867154,9004,2656009,42026,868106,21566,127959,8772,740147,20481,1678301,27806,475000,15685,1203301,23078,109602,5321,39615,3244,69987,4678,3461433,62154,1216416,29938,175105,10531,1041311,27078,1922307,35871,385698,12498,1536609,32225,322710,9299,81112,4461,241598,8520,3094650,52677,960196,26362,255159,14846,705037,22423,1759783,31003,499773,15697,1260010,24428,374671,11160,114706,5485,259965,9586,908254,38483,268526,16011,84809,7132,183717,13080,530463,22337,177464,9888,352999,16931,109265,6102,39794,3245,69471,4737,3627629,52986,1023658,21414,466645,18364,557013,17792,2180066,33772,948751,23840,1231315,28972,423905,11098,177582,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
3160,24196,3020,399766,15787,105806,7404,71088,6621,34718,4191,237983,10160,150269,8692,87714,5562,55977,3931,34273,3049,21704,2532,385156,19335,96546,8311,74838,7723,21708,3183,241015,11449,175111,8998,65904,5475,47595,4447,30057,3034,17538,2634,659395,21940,156358,9478,137175,8845,19183,2713,424609,14503,343802,11416,80807,6842,78428,4952,54919,3696,23509,2584,1973759,26988,371677,12702,357047,12423,14630,2122,1381528,17293,1280094,17217,101434,5555,220554,5977,168001,6052,52553,3556,0400000US08,4982341,3771,304970,15930,98881,9320,18531,3291,80350,8461,192559,8798,72625,5750,119934,6537,13530,2082,7021,1412,6509,1478,369062,19542,118168,9795,18138,3690,100030,8651,220847,11247,60536,4960,160311,9337,30047,2243,12963,1481,17084,1850,349267,18325,104988,9194,33161,6076,71827,7231,201876,10744,71556,5416,130320,8506,42403,3056,20396,1974,22007,2396,99946,10881,32379,5260,9852,2469,22527,4595,54390,6253,19794,2716,34596,5190,13177,1641,5860,881,7317,1276,441020,21604,128876,11204,66125,8094,62751,7407,254623,11883,130492,9294,124131,9254,57521,4568,33325,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
2807,18634,2454,237066,13714,56646,5624,34093,4489,22553,3277,134812,8633,81578,6483,53234,4763,45608,3182,29231,2600,16377,1927,212543,13250,47020,5360,35105,4463,11915,2388,130594,8647,91231,6413,39363,4578,34929,2964,24219,2367,10710,1667,445928,17707,106374,7177,91239,6449,15135,2543,273678,11852,220123,10633,53555,5264,65876,4522,46355,3778,19521,2073,1731272,19711,342791,8148,330587,7932,12204,2559,1166475,13313,1092491,13222,73984,5240,222006,7144,172000,6737,50006,3623,0400000US09,3467152,1947,173018,11329,54304,6145,9991,2812,44313,5312,109302,6716,30038,4152,79264,5450,9412,1640,4592,961,4820,1286,204838,13860,64505,6973,11637,2205,52868,6400,115993,8075,27011,3351,88982,7037,24340,2436,9250,1621,15090,1861,177216,12882,50063,6424,13432,2826,36631,5571,94807,7273,23989,2790,70818,6332,32346,3067,15114,2138,17232,2332,56574,6298,14013,2900,4328,1469,9685,2167,31472,3981,8924,1650,22548,3448,11089,1750,5313,1175,5776,1190,228697,13945,59021,5643,27397,3394,31624,5104,122221,9139,58572,5555,63649,7125,47455,3619,28821,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
1846,6201,1588,61888,6159,17411,3138,11244,2540,6167,2025,33036,3606,20914,3028,12122,1996,11441,1859,8446,1603,2995,800,65431,8705,16341,3148,12407,2934,3934,1279,38849,5579,28527,4280,10322,2141,10241,1826,7459,1529,2782,885,133053,9296,26836,3574,22234,3000,4602,1564,85856,6681,70340,6018,15516,2363,20361,2357,15337,2159,5024,1182,362819,12387,59750,4806,56177,4986,3573,1181,247848,8731,224857,8493,22991,3228,55221,3261,46059,3071,9162,1391,0400000US10,879324,1571,50966,5724,17604,3381,2718,864,14886,3334,31102,3551,11064,2024,20038,2864,2260,596,745,371,1515,499,53728,6219,17612,3275,2649,1226,14963,2998,30940,3778,6649,1605,24291,3371,5176,1091,2025,650,3151,846,54459,6657,17010,3254,3248,1445,13762,3105,29815,3917,9525,2096,20290,3412,7634,1406,3594,932,4040,1116,16730,4639,5868,2652,2388,1679,3480,1879,7710,2102,3303,1142,4407,1307,3152,768,1586,558,1566,624,80250,7426,23159,3486,13348,2625,9811,2366,42517,4386,22515,2741,20002,3083,14574,1998,8373,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
891,1697,483,34442,5288,8409,2621,5269,2215,3140,1381,21968,3176,14182,2385,7786,1716,4065,857,2738,639,1327,552,29595,4327,5357,1630,3373,1244,1984,954,20135,3068,13454,2304,6681,1896,4103,1028,3449,930,654,397,60929,6651,9542,2203,6318,1960,3224,1166,44999,4604,34539,3667,10460,2030,6388,1182,4622,1023,1766,603,275865,7026,34810,2901,31691,2744,3119,1462,208142,5265,193011,5456,15131,2929,32913,1867,28411,1873,4502,1217,0400000US11,583595,383,60274,6558,17317,3410,1496,956,15821,3434,41072,4204,15204,2556,25868,3163,1885,560,1280,510,605,334,49089,6781,14452,3370,4062,1850,10390,3095,28083,4173,7845,1538,20238,3692,6554,1062,2673,663,3881,790,29706,4830,5551,1997,1495,1053,4056,1419,19153,3439,6571,1810,12582,2360,5002,964,2489,713,2513,746,8686,2501,2445,1314,632,469,1813,1257,5085,1428,1814,742,3271,1125,1156,411,579,266,577,282,35009,5284,6867,2003,2765,1378,4102,1390,22513,3357,12288,2089,10225,2303,5629,1017,3932,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
7509,207904,9941,1746513,42724,358103,20186,213710,15354,144393,10491,1027651,25009,580891,17841,446760,14513,360759,12252,192130,8517,168629,9082,1538057,46051,310921,19578,211857,15130,99064,10305,929587,27134,588971,18145,340616,17048,297549,13433,170816,9332,126733,7419,2501533,54289,455310,18041,361855,16449,93455,8208,1576332,37690,1169350,31972,406982,14859,469891,14919,299367,11793,170524,8746,5592478,56018,845631,22436,777363,22241,68268,7012,3662936,43022,3228814,42128,434122,20735,1083911,20677,770267,19491,313644,12245,0400000US12,18615924,5629,1403035,39352,425393,21382,46957,5733,378436,19571,885209,21731,207436,11532,677773,19357,92433,6841,37294,4038,55139,5536,1769679,47805,554609,24052,65938,6673,488671,22672,978940,28334,194751,9511,784189,25191,236130,10075,69546,5070,166584,9137,1609452,38573,420143,19714,107441,12466,312702,18203,913027,24346,260328,14978,652699,19631,276282,8881,103732,5863,172550,6952,473689,26694,111387,10390,36901,6439,74486,9251,270340,18259,91844,8670,178496,15033,91962,5917,38522,3639,53440,4901,1981488,45988,452494,19554,202858,14321,249636,14585,1141050,30563,518482,18867,622568,23574,387944,12750,180040,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
