GEO_ID,B13004_001E,B13004_001M,B13004_002E,B13004_002M,B13004_003E,B13004_003M,B13004_004E,B13004_004M,B13004_005E,B13004_005M,B13004_006E,B13004_006M,B13004_007E,B13004_007M,B13004_008E,B13004_008M,B13004_009E,B13004_009M,B13004_010E,B13004_010M,B13004_011E,B13004_011M,NAME,B13004_001MA,B13004_001EA,B13004_002EA,B13004_002MA,B13004_003EA,B13004_003MA,B13004_004EA,B13004_004MA,B13004_005MA,B13004_005EA,B13004_006MA,B13004_006EA,B13004_007EA,B13004_007MA,B13004_008EA,B13004_008MA,B13004_009EA,B13004_009MA,B13004_010EA,B13004_010MA,B13004_011MA,B13004_011EA,state
0400000US01,1148236,4249,70339,4989,42216,4264,28123,2835,5296,1315,22827,2660,1077897,6604,499393,10945,578504,11089,48664,4224,529840,10872,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,174993,2172,12820,2108,8295,1801,4525,1130,2017,626,2508,938,162173,3021,77700,3218,84473,3752,15562,1843,68911,3882,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1506943,5189,84322,6465,51095,4765,33227,4021,8688,2016,24539,3147,1422621,8151,619252,13255,803369,14989,110586,6543,692783,14716,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,674493,4157,35864,3753,23186,2877,12678,2085,3044,1049,9634,2016,638629,5388,316577,7215,322052,6946,36039,3087,286013,6969,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9373761,11374,514466,12663,341640,10092,172826,7467,50355,3786,122471,6451,8859295,18402,3907942,29156,4951353,31519,594180,13671,4357173,29745,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1233592,4519,75261,5050,53281,4296,21980,2730,6030,1337,15950,2413,1158331,6730,552399,9498,605932,11275,86431,5662,519501,12179,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,834405,3545,39464,3122,24571,2179,14893,2308,3001,1086,11892,2163,794941,4835,360388,6666,434553,6348,55056,4086,379497,7625,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,213388,2022,10007,1542,5946,1151,4061,1103,1305,657,2756,872,203381,2407,84041,3160,119340,3184,16235,2128,103105,3496,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,172467,1703,7023,1527,3479,967,3544,1135,811,489,2733,966,165444,2396,36941,2525,128503,3099,13818,1713,114685,3313,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4340371,9550,204459,9837,123559,7301,80900,6667,22352,3719,58548,5262,4135912,13356,1756870,22311,2379042,20500,284520,10852,2094522,22846,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2462015,8363,134715,6766,83384,5355,51331,4220,12201,2092,39130,3774,2327300,10890,1044036,15270,1283264,15004,129594,7705,1153670,15752,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,310936,2365,22152,2277,16051,1994,6101,1388,2288,908,3813,911,288784,3407,139186,4556,149598,4485,19278,2397,130320,4840,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,362162,3273,27032,3076,19031,2693,8001,1779,2030,907,5971,1706,335130,4598,174274,5331,160856,5673,22073,2372,138783,5905,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3116427,6302,160437,7099,102684,4996,57753,4604,16297,2222,41456,3773,2955990,9151,1287683,12319,1668307,13800,189215,8010,1479092,15667,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1514188,5249,87856,4300,53486,3677,34370,2717,8961,1682,25409,2491,1426332,7439,658201,9645,768131,9374,113168,5116,654963,10514,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,682273,3471,37362,2966,25774,2355,11588,1789,4819,1038,6769,1513,644911,4574,315583,6516,329328,7130,55796,3711,273532,7273,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,656170,3337,43319,3262,30204,2924,13115,1794,4662,1022,8453,1459,612851,4641,297627,7353,315224,6714,43714,2822,271510,6798,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1016013,4423,55576,3743,34463,3007,21113,2735,6502,1482,14611,1998,960437,5592,469566,9164,490871,8834,66695,4433,424176,9328,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
