GEO_ID,B14007A_001E,B14007A_001M,B14007A_002E,B14007A_002M,B14007A_003E,B14007A_003M,B14007A_004E,B14007A_004M,B14007A_005E,B14007A_005M,B14007A_006E,B14007A_006M,B14007A_007E,B14007A_007M,B14007A_008E,B14007A_008M,B14007A_009E,B14007A_009M,B14007A_010E,B14007A_010M,B14007A_011E,B14007A_011M,B14007A_012E,B14007A_012M,B14007A_013E,B14007A_013M,B14007A_014E,B14007A_014M,B14007A_015E,B14007A_015M,B14007A_016E,B14007A_016M,B14007A_017E,B14007A_017M,B14007A_018E,B14007A_018M,B14007A_019E,B14007A_019M,NAME,B14007A_001EA,B14007A_001MA,B14007A_002EA,B14007A_002MA,B14007A_003EA,B14007A_003MA,B14007A_004MA,B14007A_004EA,B14007A_005MA,B14007A_005EA,B14007A_006EA,B14007A_006MA,B14007A_007EA,B14007A_007MA,B14007A_008EA,B14007A_008MA,B14007A_009MA,B14007A_009EA,B14007A_010MA,B14007A_010EA,B14007A_011MA,B14007A_011EA,B14007A_012EA,B14007A_012MA,B14007A_013EA,B14007A_013MA,B14007A_014EA,B14007A_014MA,B14007A_015MA,B14007A_015EA,B14007A_016MA,B14007A_016EA,B14007A_017EA,B14007A_017MA,B14007A_018EA,B14007A_018MA,B14007A_019EA,B14007A_019MA,state
0400000US01,3210437,8808,787075,8994,40817,3043,40353,3664,41863,3439,38816,3307,39711,3335,41296,3709,38964,3686,41519,2840,44726,3132,43626,3234,40888,3109,40709,2869,38172,2888,39967,3094,185318,6412,30330,2910,2423362,9161,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,463578,2773,117721,4034,3840,863,5201,926,6340,1095,4855,1117,5746,1218,6141,1199,4725,1139,5877,1114,6432,1454,6233,1273,6535,1218,5783,941,5761,1233,5980,1098,28690,2987,9582,1576,345857,4318,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4951783,21853,1300138,18173,56668,4966,60063,5154,69766,5895,65794,4883,70878,5007,66236,5339,63712,4939,68393,5308,59140,5077,65474,6090,65919,4977,64837,3789,69318,4723,64666,4599,327575,13169,61699,5619,3651645,20551,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2216466,7201,536287,7266,36072,3036,26557,3107,26129,2918,27433,2652,29735,2722,28410,2588,26474,2710,28564,2725,27681,2352,30850,2818,28286,2577,28360,2237,26629,1968,27158,2598,117641,5599,20308,2504,1680179,7337,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22856931,62148,6183920,39136,344365,9000,297768,9667,291933,9911,298320,8612,293759,8846,296845,10204,296950,9554,307341,9278,301627,10038,310257,9854,309986,8959,312487,8880,329361,8378,377297,9301,1519976,20590,295648,7963,16673011,41647,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4162872,16489,1104574,11935,72166,4320,52573,3567,55176,4346,52689,4081,58801,4395,54214,3789,54303,3673,52975,3433,52112,4096,52861,3457,52918,3860,55282,3612,53908,3687,52694,3723,269686,8013,62216,3530,3058298,15105,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2717204,10725,678501,8473,43808,2959,30496,2304,29964,2757,32983,2907,33275,2416,33130,2900,33816,2767,31667,2851,34943,2917,30944,2600,38717,2945,36359,2504,34904,2718,42038,2952,150368,4452,41089,3380,2038703,9603,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,618793,4469,147085,3718,7932,1144,8784,1022,5851,1158,6833,1016,7116,1314,6455,1188,8464,1676,6728,1365,6824,1351,6295,1173,7589,1207,7632,1251,5559,879,8017,1649,38344,2935,8662,1366,471708,4831,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,239515,3517,57716,3970,3824,724,1763,665,883,391,1066,417,1186,431,1326,430,1400,761,926,499,958,455,1074,499,824,422,463,269,692,351,1352,1014,25095,2832,14884,2093,181799,3677,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14127982,32126,3181992,25323,199227,8210,146479,6027,157664,8079,139719,6779,148265,7410,150748,6805,140289,7035,154748,7564,154461,7569,172669,8042,152207,7783,159238,6327,154832,6083,162407,7242,831063,18176,157976,8463,10945990,26489,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
