GEO_ID,B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M,NAME,B16005I_001EA,B16005I_001MA,B16005I_002EA,B16005I_002MA,B16005I_003EA,B16005I_003MA,B16005I_004MA,B16005I_004EA,B16005I_005MA,B16005I_005EA,B16005I_006EA,B16005I_006MA,B16005I_007EA,B16005I_007MA,B16005I_008EA,B16005I_008MA,B16005I_009MA,B16005I_009EA,B16005I_010EA,B16005I_010MA,B16005I_011MA,B16005I_011EA,state
0400000US01,162881,2340,78396,5573,35887,5051,42509,5317,30851,4705,11658,3030,84485,5189,6206,1705,78279,5562,18918,3441,59361,4602,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,37212,279,29379,1612,17483,1932,11896,1729,10619,1749,1277,555,7833,1572,1243,787,6590,1424,2828,1254,3762,1038,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1747954,1496,1191848,15572,546436,18580,645412,19407,549882,17937,95530,7529,556106,15486,29255,4578,526851,14557,191600,9505,335251,12379,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,163630,2048,82462,5014,32446,4476,50016,3976,34732,4049,15284,2897,81168,4767,4113,1400,77055,4930,25809,4132,51246,4236,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12999104,863,7665422,42457,3015079,46063,4650343,37620,3921831,37894,728512,18091,5333682,42323,191265,9951,5142417,41370,1398412,22531,3744005,35052,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,956959,1098,686429,11355,431616,14542,254813,9860,212724,9102,42089,3796,270530,11550,12284,2152,258246,11702,83915,6525,174331,8484,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,447384,641,320487,7064,101920,5393,218567,8325,154805,7301,63762,4720,126897,6981,4291,1134,122606,6815,34513,3330,88093,6817,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,67062,-555555555,42062,2688,16456,2626,25606,3039,19028,2374,6578,1674,25000,2688,1780,677,23220,2773,7706,1777,15514,2397,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,53297,-555555555,22980,2311,9103,2029,13877,1992,12944,1954,933,493,30317,2311,8422,2366,21895,2672,10260,2053,11635,2073,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4036658,2888,1933485,25938,539520,18087,1393965,27917,1116645,25902,277320,14654,2103173,25746,90518,7825,2012655,25449,695567,17559,1317088,24159,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,772442,4670,361549,11761,124031,9704,237518,10433,189984,10679,47534,5105,410893,10980,15426,2741,395467,11864,118440,9242,277027,13017,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
