GEO_ID,C01001H_001E,C01001H_001M,C01001H_002E,C01001H_002M,C01001H_003E,C01001H_003M,C01001H_004E,C01001H_004M,C01001H_005E,C01001H_005M,C01001H_006E,C01001H_006M,C01001H_007E,C01001H_007M,C01001H_008E,C01001H_008M,C01001H_009E,C01001H_009M,NAME,C01001H_001EA,C01001H_001MA,C01001H_002EA,C01001H_002MA,C01001H_003EA,C01001H_003MA,C01001H_004EA,C01001H_004MA,C01001H_005MA,C01001H_005EA,C01001H_006MA,C01001H_006EA,C01001H_007EA,C01001H_007MA,C01001H_008EA,C01001H_008MA,C01001H_009EA,C01001H_009MA,state
0400000US38,605465,273,305807,411,62343,411,201809,58,41655,14,299658,406,60082,407,185832,12,53744,9,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,9341867,2443,4570608,1876,1023342,1282,2920169,1138,627097,175,4771259,1517,972962,1148,2959716,792,838581,297,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2584748,1092,1269883,1057,266574,961,809986,574,193323,89,1314865,1144,252837,1027,815403,378,246625,141,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3016321,3305,1482500,1850,289896,1064,964024,1138,228580,414,1533821,1859,273535,1085,978444,894,281842,426,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,10075797,4364,4910993,3192,998028,1317,3158993,2701,753972,445,5164804,2020,948835,1090,3192046,1143,1023923,336,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,797346,2174,383368,1394,71103,870,253946,790,58319,181,413978,1097,67109,647,264590,832,82279,113,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,2990361,2458,1463303,1858,305850,1490,929594,1122,227859,7,1527058,2062,289244,1779,954432,623,283382,111,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,696791,1186,346940,1175,78054,798,219174,808,49712,33,349851,725,75121,658,211468,254,63262,11,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,4823953,1719,2352514,1811,514874,1734,1501057,864,336583,163,2471439,1921,489332,1794,1547640,519,434467,189,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,11484230,6080,5675818,4596,1192029,3112,3677001,3222,806788,818,5808412,4928,1125430,4140,3678775,1909,1004207,826,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2250227,2586,1124561,1866,337629,1275,678166,799,108766,14,1125666,1163,321102,728,674751,797,129813,28,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,589122,522,290187,299,58527,224,190624,202,41036,4,298935,344,55451,189,192475,280,51009,3,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,5209830,2940,2569649,2952,535497,2724,1684659,1364,349493,347,2640181,2979,504806,2688,1691979,945,443396,754,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,4913649,3263,2444370,1682,485261,1023,1617005,918,342104,201,2469279,2138,460730,1282,1592327,1301,416222,252,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1726474,1280,848254,1952,178941,1726,541803,1176,127510,182,878220,1994,168659,1873,547495,524,162066,399,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,4741024,1854,2347640,1090,497690,465,1522465,880,327485,105,2393384,1061,473153,526,1500032,736,420199,45,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,486070,758,246562,834,54060,799,160967,207,31535,6,239508,868,51880,850,151867,141,35761,166,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,28436,3837,15816,2442,3417,1336,10715,1833,1684,531,12620,2213,2097,865,9162,1602,1361,503,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
