GEO_ID,C27001_001E,C27001_001M,C27001_002E,C27001_002M,C27001_003E,C27001_003M,C27001_004E,C27001_004M,C27001_005E,C27001_005M,C27001_006E,C27001_006M,C27001_007E,C27001_007M,C27001_008E,C27001_008M,C27001_009E,C27001_009M,C27001_010E,C27001_010M,C27001_011E,C27001_011M,C27001_012E,C27001_012M,C27001_013E,C27001_013M,C27001_014E,C27001_014M,C27001_015E,C27001_015M,C27001_016E,C27001_016M,C27001_017E,C27001_017M,C27001_018E,C27001_018M,C27001_019E,C27001_019M,C27001_020E,C27001_020M,C27001_021E,C27001_021M,NAME,C27001_001MA,C27001_001EA,C27001_002EA,C27001_002MA,C27001_003EA,C27001_003MA,C27001_004EA,C27001_004MA,C27001_005MA,C27001_005EA,C27001_006MA,C27001_006EA,C27001_007MA,C27001_007EA,C27001_008EA,C27001_008MA,C27001_009EA,C27001_009MA,C27001_010MA,C27001_010EA,C27001_011MA,C27001_011EA,C27001_012MA,C27001_012EA,C27001_013EA,C27001_013MA,C27001_014EA,C27001_014MA,C27001_015EA,C27001_015MA,C27001_016MA,C27001_016EA,C27001_017MA,C27001_017EA,C27001_018MA,C27001_018EA,C27001_019EA,C27001_019MA,C27001_020EA,C27001_020MA,C27001_021MA,C27001_021EA,state
0400000US01,4720067,2155,2262898,5633,569107,4176,539307,6059,29800,4041,1414698,4262,1095789,10340,318909,10455,279093,1597,277721,1724,1372,700,2457169,5482,553018,4336,523757,6029,29261,4411,1529326,3226,1235553,9572,293773,9084,374825,1967,373976,2005,849,466,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,699272,1868,353412,2409,95685,1288,84027,2127,11658,1394,229987,2044,163732,3968,66255,3828,27740,691,27369,744,371,230,345860,1555,92023,1337,81572,1789,10451,1659,224593,1324,173360,3018,51233,2954,29244,918,28552,978,692,437,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6378280,1787,3141397,5192,830120,3869,715257,7542,114863,7176,1892465,3160,1409084,14824,483381,14742,418812,1439,414621,1852,4191,1210,3236883,4797,791710,3468,698154,8387,93556,7561,1952969,2665,1559448,12932,393521,12874,492204,1546,486706,1920,5498,1337,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2885212,1095,1412433,4390,366713,3444,345014,4091,21699,3520,864243,2843,629078,8700,235165,8579,181477,1394,180980,1441,497,282,1472779,4226,342175,3336,323924,4129,18251,2821,899485,2675,683199,7940,216286,7579,231119,1618,230707,1630,412,366,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37161789,5236,18337173,8165,4731653,4465,4347994,13786,383659,13812,11716855,6623,8470817,28037,3246038,27277,1888665,2997,1857508,4721,31157,3477,18824616,6478,4520813,4109,4159675,12856,361138,11918,11890613,4441,9230236,27668,2660377,27011,2413190,2783,2369955,4813,43235,3769,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5024885,2530,2498871,4767,630047,3241,569045,6275,61002,5223,1618210,3693,1257654,11824,360556,11966,250614,1187,248849,1378,1765,818,2526014,4098,596781,3604,542057,5292,54724,4645,1620615,3014,1340835,8327,279780,7502,308618,1578,306826,1605,1792,544,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3522709,1144,1707415,2399,410533,1411,398282,2612,12251,2400,1084991,1817,918523,6738,166468,6455,211891,1346,210495,1420,1396,778,1815294,2210,391817,1419,380691,2637,11126,2213,1142307,1643,1027473,5844,114834,5430,281170,1372,278300,1633,2870,1016,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,892132,847,428892,1281,104294,951,99717,1481,4577,1293,267093,1107,224875,3692,42218,3539,57505,652,57380,647,125,113,463240,1136,100001,916,95199,1637,4802,1423,290684,969,258960,3405,31724,3240,72555,728,72006,840,549,507,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,608165,325,285171,863,53456,450,51624,1362,1832,1225,204647,794,183098,2734,21549,2554,27068,387,26913,427,155,165,322994,788,51856,427,49555,1372,2301,1282,230511,708,214686,2432,15825,2344,40627,548,40282,588,345,312,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18752294,3756,9088985,8711,2040086,5645,1799659,13387,240427,12553,5576083,6738,3764372,24195,1811711,23389,1472816,3748,1454094,4499,18722,2762,9663309,8195,1946860,6048,1712175,11760,234685,11075,5892404,5507,4315809,27164,1576595,26674,1824045,4157,1794804,5407,29241,3920,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
