GEO_ID,C08105G_001E,C08105G_001M,C08105G_002E,C08105G_002M,C08105G_003E,C08105G_003M,C08105G_004E,C08105G_004M,C08105G_005E,C08105G_005M,C08105G_006E,C08105G_006M,NAME,C08105G_001EA,C08105G_001MA,C08105G_002EA,C08105G_002MA,C08105G_003MA,C08105G_003EA,C08105G_004EA,C08105G_004MA,C08105G_005MA,C08105G_005EA,C08105G_006EA,C08105G_006MA,state
0400000US01,16345,2038,13817,1980,1627,575,19,40,215,183,667,260,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,19278,2291,13543,1794,2628,790,491,381,2022,496,594,430,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,54347,4596,39445,3707,7642,1782,1487,632,3602,1148,2171,948,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,15938,2512,12383,2234,1979,758,126,161,928,529,522,421,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,494323,16276,353428,12890,59802,5263,29214,3135,26331,3101,25548,2972,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,55233,4266,39918,3619,6333,1384,2130,620,3579,894,3273,1048,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,28795,3384,20901,2738,3129,863,1301,663,2851,1131,613,341,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,6355,1235,1520,667,551,328,2796,830,1075,506,413,245,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,126270,7722,93577,6593,16473,2767,3230,1168,6755,1669,6235,1496,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,51006,4845,37576,3905,7634,2312,1183,806,2478,1041,2135,679,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
