GEO_ID,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M,NAME,B19001_001EA,B19001_001MA,B19001_002EA,B19001_002MA,B19001_003MA,B19001_003EA,B19001_004EA,B19001_004MA,B19001_005EA,B19001_005MA,B19001_006EA,B19001_006MA,B19001_007EA,B19001_007MA,B19001_008MA,B19001_008EA,B19001_009MA,B19001_009EA,B19001_010EA,B19001_010MA,B19001_011EA,B19001_011MA,B19001_012EA,B19001_012MA,B19001_013EA,B19001_013MA,B19001_014EA,B19001_014MA,B19001_015EA,B19001_015MA,B19001_016EA,B19001_016MA,B19001_017EA,B19001_017MA,state
0400000US01,1844546,11416,190357,7832,138695,6217,126092,6556,128817,5500,113174,5717,102532,5475,92020,4935,93174,4927,81617,4748,143016,6019,172984,6935,193457,6444,117395,5633,56992,3661,50765,3631,43459,3141,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,257330,3380,10654,1325,9834,1523,8639,1340,9867,1472,10073,1541,10721,1664,10482,1651,12509,1718,9313,1630,20407,2148,30905,2725,39608,2920,27606,2304,16897,1963,19164,2398,10651,1577,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2356055,12130,199310,9713,133717,6658,138447,6643,150227,7814,134418,7344,134685,7958,124008,6187,126216,6555,104087,6914,196212,7902,237864,8459,263676,9096,163794,7830,93047,6044,84334,5618,72013,5062,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1127621,7837,117175,5167,93398,4676,84017,4663,82100,4725,71512,4265,67320,3861,61324,3384,58755,3975,51438,4191,91553,4818,100822,4906,109274,4779,60565,3612,31387,2626,26723,2795,20258,2403,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12468743,22250,782975,14260,679109,14675,641871,13922,660842,13919,575820,12487,595505,12593,539446,11933,546398,12758,502188,12002,914099,18720,1198278,18376,1488173,20849,1102795,17857,665286,13326,771568,14133,804390,12046,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1975388,9057,134112,5931,92225,4523,95517,4359,102838,5204,87282,4899,102590,5400,94945,5527,96483,5232,84353,4814,165199,7269,205166,7829,245102,8028,169540,5713,98781,5450,107969,5319,93286,4338,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1351643,7309,82288,4024,59299,4058,62268,3812,57206,3376,53054,3630,56771,3992,47454,3611,58574,3655,48238,3452,96715,4204,128330,5445,179185,6991,127846,5389,82854,3968,99410,4038,112151,4373,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,333192,3426,18800,2079,14752,1812,15994,2085,14597,1916,15471,2185,15417,1867,14769,1960,16728,1973,15186,1928,27661,2682,34812,2918,46551,3561,32519,3065,17894,1857,16654,1915,15387,1800,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268670,3200,29641,2532,11462,1724,9328,1490,11712,1965,8510,1200,9057,1271,9746,1896,11409,1576,8108,1415,18168,2098,23404,2712,29481,2814,25792,2455,14631,1896,17878,1756,30343,1964,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106283,31131,593446,12105,447984,13813,455142,10608,473543,12095,445014,12014,423304,13225,390297,10434,368462,11954,317265,10535,588346,15193,695503,17559,746683,16941,449410,11042,240529,9328,235660,8261,235695,9151,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3494542,15336,335789,9050,216455,8390,208015,7862,213851,8928,186177,8753,197425,8661,181650,7434,172793,8210,152218,7462,285744,9906,348850,10976,374424,10137,238104,9293,137124,7410,129279,6902,116644,5891,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,448563,5562,28105,2951,18743,1982,14685,1910,18198,2031,16951,2089,20758,2597,18605,2067,21660,2343,20756,2129,36498,2713,48441,3614,62686,3230,46599,3356,28439,2461,26733,2783,20706,1792,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,580193,6204,44174,3656,35099,3023,41072,3576,36326,3006,40671,3750,36547,3550,33052,3052,31149,2852,29941,2702,48828,3763,61706,4163,63348,4133,38756,3770,16366,2176,13466,2131,9692,1674,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
