GEO_ID,C20005I_001E,C20005I_001M,C20005I_002E,C20005I_002M,C20005I_003E,C20005I_003M,C20005I_004E,C20005I_004M,C20005I_005E,C20005I_005M,C20005I_006E,C20005I_006M,C20005I_007E,C20005I_007M,C20005I_008E,C20005I_008M,C20005I_009E,C20005I_009M,C20005I_010E,C20005I_010M,C20005I_011E,C20005I_011M,C20005I_012E,C20005I_012M,C20005I_013E,C20005I_013M,C20005I_014E,C20005I_014M,C20005I_015E,C20005I_015M,C20005I_016E,C20005I_016M,C20005I_017E,C20005I_017M,C20005I_018E,C20005I_018M,C20005I_019E,C20005I_019M,C20005I_020E,C20005I_020M,C20005I_021E,C20005I_021M,C20005I_022E,C20005I_022M,C20005I_023E,C20005I_023M,C20005I_024E,C20005I_024M,C20005I_025E,C20005I_025M,C20005I_026E,C20005I_026M,C20005I_027E,C20005I_027M,C20005I_028E,C20005I_028M,C20005I_029E,C20005I_029M,C20005I_030E,C20005I_030M,C20005I_031E,C20005I_031M,C20005I_032E,C20005I_032M,C20005I_033E,C20005I_033M,C20005I_034E,C20005I_034M,C20005I_035E,C20005I_035M,C20005I_036E,C20005I_036M,C20005I_037E,C20005I_037M,C20005I_038E,C20005I_038M,C20005I_039E,C20005I_039M,NAME,C20005I_001MA,C20005I_001EA,C20005I_002EA,C20005I_002MA,C20005I_003EA,C20005I_003MA,C20005I_004EA,C20005I_004MA,C20005I_005EA,C20005I_005MA,C20005I_006EA,C20005I_006MA,C20005I_007MA,C20005I_007EA,C20005I_008EA,C20005I_008MA,C20005I_009EA,C20005I_009MA,C20005I_010EA,C20005I_010MA,C20005I_011EA,C20005I_011MA,C20005I_012MA,C20005I_012EA,C20005I_013MA,C20005I_013EA,C20005I_014MA,C20005I_014EA,C20005I_015MA,C20005I_015EA,C20005I_016EA,C20005I_016MA,C20005I_017MA,C20005I_017EA,C20005I_018MA,C20005I_018EA,C20005I_019MA,C20005I_019EA,C20005I_020MA,C20005I_020EA,C20005I_021EA,C20005I_021MA,C20005I_022MA,C20005I_022EA,C20005I_023MA,C20005I_023EA,C20005I_024MA,C20005I_024EA,C20005I_025MA,C20005I_025EA,C20005I_026EA,C20005I_026MA,C20005I_027MA,C20005I_027EA,C20005I_028MA,C20005I_028EA,C20005I_029MA,C20005I_029EA,C20005I_030MA,C20005I_030EA,C20005I_031EA,C20005I_031MA,C20005I_032MA,C20005I_032EA,C20005I_033MA,C20005I_033EA,C20005I_034MA,C20005I_034EA,C20005I_035MA,C20005I_035EA,C20005I_036EA,C20005I_036MA,C20005I_037EA,C20005I_037MA,C20005I_038MA,C20005I_038EA,C20005I_039MA,C20005I_039EA,state
0400000US01,124219,2369,70202,2821,42621,3550,0,190,42621,3550,2882,1347,12262,2282,13918,2512,7691,1702,2678,784,3190,1243,27581,2881,10526,1813,17055,2432,9539,1622,4973,1380,1805,903,692,889,0,190,46,79,54017,3041,15938,2476,0,190,15938,2476,972,691,4141,1183,4489,1314,3924,1162,1924,1170,488,405,38079,3268,23629,2752,14450,2422,9446,2087,2938,1188,1504,704,516,516,46,77,0,190,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,28192,568,13904,544,7941,835,0,149,7941,835,33,57,1065,563,1358,585,2348,875,1624,715,1513,531,5963,1014,1828,565,4135,928,1565,609,769,525,501,378,561,472,518,369,221,286,14288,575,5820,893,0,149,5820,893,287,276,1039,481,1317,566,1499,629,1485,653,193,179,8468,985,3025,808,5443,1030,1855,648,1530,567,1252,678,296,238,462,257,48,62,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1318817,2878,661235,1968,302010,8139,53,70,301957,8135,7902,1712,58133,5449,74616,6266,101851,6664,36327,3983,23128,3445,359225,8488,197169,6923,162056,8512,76529,5941,51725,4951,18372,2801,10164,2470,2460,985,2806,1315,657582,2612,202849,9412,0,229,202849,9412,8484,1791,45876,4139,56019,5740,62804,6315,20209,3344,9457,2494,454733,9313,302162,8735,152571,7689,86022,5455,44218,4235,11668,2139,7476,1580,1999,701,1188,987,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,119487,1830,65703,1862,35565,2182,0,192,35565,2182,750,432,11141,2315,12738,2195,7415,1804,1924,867,1597,670,30138,2563,12436,2019,17702,2188,8378,1639,6756,1453,1794,917,540,461,74,120,160,192,53784,1443,16858,2384,0,192,16858,2384,1551,835,4926,1550,5448,1221,3984,1458,510,327,439,279,36926,2546,21542,2157,15384,1901,9069,1906,4391,1094,1486,740,438,309,0,192,0,192,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10124063,7707,5098506,6156,2310286,19354,256,414,2310030,19258,56463,4639,460576,13281,536651,12471,670647,12544,346724,11599,238969,9153,2788220,20468,1391768,17749,1396452,19107,595386,13239,438102,12534,189099,8775,117606,6940,36633,3893,19626,2854,5025557,5082,1413577,20856,0,208,1413577,20856,41298,3777,323664,9239,342809,10425,406281,12134,194768,8753,104757,5920,3611980,21529,2204340,19192,1407640,19332,729976,14729,417630,13798,134977,6087,80970,4285,28293,3033,15794,2301,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,725276,2842,370842,2263,168914,4807,0,201,168914,4807,5278,1796,20506,2233,35948,3149,58470,4187,31276,2690,17436,2258,201928,4865,91422,4179,110506,5254,49357,3903,31599,3410,14222,2191,11707,1965,2149,729,1472,629,354434,2140,114511,5238,0,201,114511,5238,4497,1405,21922,3304,31729,3214,38102,4191,12160,1872,6101,1411,239923,5360,134557,5302,105366,5393,57453,3990,27825,2865,10661,1811,6457,1367,1686,938,1284,776,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,349548,1143,173360,897,76314,3900,0,198,76314,3900,905,475,10715,1963,16659,2854,25136,2474,12071,1967,10828,1745,97046,3830,45390,3137,51656,3730,25063,2509,16313,2654,4622,1193,3432,1076,1784,730,442,330,176188,1088,54595,3706,0,198,54595,3706,1038,574,8664,1776,13343,2040,17526,2296,10143,1692,3881,974,121593,3979,67231,3338,54362,3408,25684,2433,16324,2651,8011,1613,3208,998,600,310,535,301,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,50438,460,26269,505,14468,1474,0,192,14468,1474,43,69,1974,721,3962,1123,4959,1277,1522,580,2008,650,11801,1587,4287,1130,7514,1519,3011,1050,2297,964,1291,683,272,249,425,413,218,202,24169,394,8572,1408,0,192,8572,1408,52,70,2120,826,2024,790,3118,1191,684,401,574,449,15597,1492,8156,1205,7441,1319,5287,1123,1294,629,491,334,369,294,0,192,0,192,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,46264,371,24264,375,14192,1679,0,200,14192,1679,271,353,624,559,2436,1061,4124,1165,2025,670,4712,1352,10072,1705,5166,1426,4906,1025,1842,691,1390,614,707,407,669,398,176,233,122,126,22000,167,8929,1240,0,200,8929,1240,101,164,920,577,2064,668,1885,564,1942,725,2017,649,13071,1269,6040,1115,7031,1433,3441,992,2085,764,662,444,390,292,225,347,228,251,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3362438,4256,1651069,4191,764932,12566,0,238,764932,12566,18308,3292,157167,9933,182560,9485,210609,10107,108165,7434,88123,5464,886137,12724,500948,11873,385189,12980,176033,8738,119491,8807,42408,4427,31010,3655,10884,2373,5363,1290,1711369,3691,573550,12726,0,238,573550,12726,18355,2920,144930,8695,145989,9073,157411,7157,71484,4830,35381,3586,1137819,12787,738717,12362,399102,10710,196094,8194,129332,7405,37255,3824,25947,3555,8059,1900,2415,731,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
