GEO_ID,B15002F_001E,B15002F_001M,B15002F_002E,B15002F_002M,B15002F_003E,B15002F_003M,B15002F_004E,B15002F_004M,B15002F_005E,B15002F_005M,B15002F_006E,B15002F_006M,B15002F_007E,B15002F_007M,B15002F_008E,B15002F_008M,B15002F_009E,B15002F_009M,B15002F_010E,B15002F_010M,B15002F_011E,B15002F_011M,B15002F_012E,B15002F_012M,B15002F_013E,B15002F_013M,B15002F_014E,B15002F_014M,B15002F_015E,B15002F_015M,B15002F_016E,B15002F_016M,B15002F_017E,B15002F_017M,B15002F_018E,B15002F_018M,B15002F_019E,B15002F_019M,NAME,B15002F_001MA,B15002F_001EA,B15002F_002EA,B15002F_002MA,B15002F_003EA,B15002F_003MA,B15002F_004EA,B15002F_004MA,B15002F_005MA,B15002F_005EA,B15002F_006MA,B15002F_006EA,B15002F_007EA,B15002F_007MA,B15002F_008EA,B15002F_008MA,B15002F_009EA,B15002F_009MA,B15002F_010MA,B15002F_010EA,B15002F_011MA,B15002F_011EA,B15002F_012MA,B15002F_012EA,B15002F_013EA,B15002F_013MA,B15002F_014EA,B15002F_014MA,B15002F_015EA,B15002F_015MA,B15002F_016MA,B15002F_016EA,B15002F_017MA,B15002F_017EA,B15002F_018EA,B15002F_018MA,B15002F_019EA,B15002F_019MA,state
0400000US01,32518,4515,18767,3013,6778,1923,3783,1163,4632,1813,177,203,1835,682,1042,453,317,338,203,205,13751,2641,4260,1316,2125,1358,4482,1331,407,490,1123,476,408,319,868,650,78,119,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,4443,1341,2083,831,107,109,43,77,850,483,207,168,631,505,53,74,119,110,73,72,2360,799,315,298,100,122,748,409,0,149,347,203,195,205,655,563,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,216408,11775,114243,6997,22070,2772,17841,2778,26440,3252,6490,1461,26974,4350,4053,1127,7577,1713,2798,1131,102165,6468,21196,3043,15759,2052,26917,3427,4489,1326,18622,3130,6499,1660,5362,1294,3321,1240,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30306,3621,16089,2173,6529,1848,3367,1386,3103,1127,715,401,1572,846,94,121,645,405,64,120,14217,2192,4176,1230,3000,928,3924,1359,552,565,1121,440,281,291,1076,764,87,130,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2618808,34083,1336484,20363,359796,11938,245264,8916,332107,12726,37703,2854,207591,9244,53344,4032,75632,4975,25047,2954,1282324,17654,354355,10648,206871,8762,287621,10583,27637,2860,228999,9550,59777,4521,88082,6630,28982,2850,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,121882,7858,63434,4479,14390,2674,10960,1846,15320,2545,4274,1078,11265,1910,2018,573,2995,855,2212,837,58448,4448,12566,2243,11966,1820,14431,2170,2778,781,10068,1562,2437,752,2536,925,1666,637,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,107178,5718,56047,3433,12353,2355,9498,1726,18376,2618,2802,731,6035,1498,1840,856,3751,1212,1392,649,51131,3215,9248,1655,8922,1635,11778,1680,3140,1166,8462,1617,3655,1213,4042,1169,1884,746,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11044,2426,5165,1493,2268,1103,655,394,1406,735,119,182,311,222,113,131,276,273,17,20,5879,1327,1622,728,486,328,1325,710,0,192,390,262,1096,683,957,478,3,8,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,14016,2215,6669,1402,1929,836,480,362,990,586,337,323,1220,872,79,145,892,539,742,441,7347,1298,1494,658,1561,558,1040,564,422,453,1048,626,0,200,427,292,1355,638,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,291191,14902,147311,8604,35023,4880,17987,3003,34702,4101,5590,1236,25809,3952,10579,2344,11984,2485,5637,1565,143880,9662,26929,3416,12725,2624,38263,5361,4415,1250,26889,4688,11908,2149,16281,2961,6470,1715,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,143813,10252,81110,6451,29469,4584,15522,3317,17050,2777,2105,912,9287,2564,2092,750,4210,1409,1375,864,62703,5425,21027,3347,12638,2609,11379,2386,922,544,7885,1907,2447,936,4521,1545,1884,1203,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
