GEO_ID,B24092_001E,B24092_001M,B24092_002E,B24092_002M,B24092_003E,B24092_003M,B24092_004E,B24092_004M,B24092_005E,B24092_005M,B24092_006E,B24092_006M,B24092_007E,B24092_007M,B24092_008E,B24092_008M,B24092_009E,B24092_009M,B24092_010E,B24092_010M,B24092_011E,B24092_011M,B24092_012E,B24092_012M,B24092_013E,B24092_013M,B24092_014E,B24092_014M,B24092_015E,B24092_015M,B24092_016E,B24092_016M,B24092_017E,B24092_017M,B24092_018E,B24092_018M,NAME,B24092_001EA,B24092_001MA,B24092_002EA,B24092_002MA,B24092_003MA,B24092_003EA,B24092_004MA,B24092_004EA,B24092_005MA,B24092_005EA,B24092_006EA,B24092_006MA,B24092_007EA,B24092_007MA,B24092_008MA,B24092_008EA,B24092_009MA,B24092_009EA,B24092_010MA,B24092_010EA,B24092_011EA,B24092_011MA,B24092_012EA,B24092_012MA,B24092_013MA,B24092_013EA,B24092_014MA,B24092_014EA,B24092_015MA,B24092_015EA,B24092_016MA,B24092_016EA,B24092_017EA,B24092_017MA,B24092_018MA,B24092_018EA,state
0400000US01,43063,1156,41912,553,41323,580,61408,4511,46153,2670,41652,1293,49388,2974,66056,2758,31858,1428,31891,283,29687,602,29528,595,36726,9872,34408,2392,40624,1180,41334,978,50370,2444,21240,3710,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,55669,3757,51265,1225,51059,1203,61893,12378,52866,10965,65111,3995,63415,3389,62071,7242,47969,15052,40463,1169,35471,1954,35590,1769,29100,9389,40989,1057,46926,8740,49160,5502,48580,6089,25528,5545,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,42976,1129,42212,617,41675,592,61306,3084,45283,5355,47308,2233,44037,3704,55754,2243,31374,1120,36077,463,34933,714,34657,820,41664,3785,40071,1952,40230,976,38337,2102,46394,5419,21709,2044,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,37723,1075,37293,686,36788,598,52613,3957,41399,2638,36965,2865,41844,2524,50858,3038,30921,2449,30807,513,28228,954,27869,974,38741,7361,32144,1990,35819,1845,36083,1021,49595,7407,17066,4244,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,50001,317,46551,327,45548,349,72067,1700,52000,923,68455,2399,62841,2172,61013,1011,37617,2273,41907,188,38891,538,38447,544,51084,983,48470,1303,53914,1215,51339,950,55399,1193,28932,2241,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,51327,360,50910,464,50609,491,60003,4671,51649,2683,52308,1659,51827,1286,66995,3852,40598,4646,40289,441,37452,819,37292,703,42364,6673,42468,1627,43047,1845,45537,1666,52037,2464,26945,4777,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,60945,592,61421,804,60738,819,80038,7467,52788,2793,65164,2833,66991,4607,61213,1684,46054,6388,47519,1009,45319,635,45234,655,50384,5782,47304,2331,55889,2666,63428,2270,55789,2259,35046,6633,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,50703,700,50420,957,50370,1018,51221,11293,52308,8899,54149,5797,46886,5002,56783,2405,47529,12950,40564,1139,39742,2023,39725,2046,40350,17166,42565,2867,45301,3635,39990,4052,47392,4717,26830,4392,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,67683,3861,61918,4305,61492,3326,74900,14861,61575,3948,57743,6604,57696,15676,98550,8224,37500,24756,60545,1689,56676,3908,55742,3213,104115,43181,54778,2868,56098,8746,56589,7280,71884,4288,27199,12442,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,40997,261,40203,332,38723,770,51400,907,44037,3075,47521,1567,43957,2774,57075,2482,30501,1340,33875,487,31789,278,31601,281,38444,3547,37355,1029,40325,479,38470,1319,51997,1552,21709,965,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
