GEO_ID,C25116_001E,C25116_001M,C25116_002E,C25116_002M,C25116_003E,C25116_003M,C25116_004E,C25116_004M,C25116_005E,C25116_005M,C25116_006E,C25116_006M,C25116_007E,C25116_007M,C25116_008E,C25116_008M,C25116_009E,C25116_009M,C25116_010E,C25116_010M,C25116_011E,C25116_011M,C25116_012E,C25116_012M,C25116_013E,C25116_013M,C25116_014E,C25116_014M,C25116_015E,C25116_015M,NAME,C25116_001EA,C25116_001MA,C25116_002EA,C25116_002MA,C25116_003EA,C25116_003MA,C25116_004MA,C25116_004EA,C25116_005MA,C25116_005EA,C25116_006EA,C25116_006MA,C25116_007EA,C25116_007MA,C25116_008EA,C25116_008MA,C25116_009MA,C25116_009EA,C25116_010MA,C25116_010EA,C25116_011EA,C25116_011MA,C25116_012EA,C25116_012MA,C25116_013MA,C25116_013EA,C25116_014MA,C25116_014EA,C25116_015MA,C25116_015EA,state
0400000US01,1844546,11416,1289217,12212,312996,7879,177118,6133,135878,5078,976221,11405,754376,10629,221845,3989,555329,9348,207245,8057,160346,7447,46899,2811,348084,9351,325902,9225,22182,2227,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,257330,3380,162312,3867,33888,2663,23985,2412,9903,1324,128424,4055,108723,3966,19701,1238,95018,4471,30958,2892,25997,2754,4961,929,64060,3810,62276,3784,1784,512,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2356055,12130,1501528,15067,357627,10373,195388,9907,162239,6192,1143901,14387,837536,13699,306365,6004,854527,15846,292985,10915,230710,9955,62275,4332,561542,13513,531080,13745,30462,3193,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1127621,7837,750984,9249,175700,6105,93489,5169,82211,3512,575284,8330,433891,8278,141393,2997,376637,8537,140651,6159,109132,5451,31519,2567,235986,7835,220822,7546,15164,1672,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12468743,22250,6843369,25886,1385446,14144,738753,10931,646693,10762,5457923,27245,4238834,25003,1219089,10915,5625374,23999,1664726,20682,1251402,19556,413324,9432,3960648,25793,3700374,25018,260274,6699,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1975388,9057,1271804,10881,299105,8799,193973,7868,105132,3839,972699,10410,794695,9633,178004,3850,703584,11056,269858,7859,216230,7331,53628,3222,433726,9035,410764,9173,22962,2277,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1351643,7309,911059,6941,206234,6244,116567,5049,89667,3530,704825,7313,557724,6556,147101,4391,440584,7734,177901,6164,121830,5673,56071,2976,262683,8188,243943,7598,18740,2031,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,333192,3426,238560,4816,53960,3589,29959,2672,24001,2246,184600,3621,141129,3750,43471,1898,94632,4248,30227,2585,20662,2208,9565,1484,64405,3513,60363,3567,4042,1086,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268670,3200,110625,3425,41724,2401,29694,2238,12030,1205,68901,3051,51313,2962,17588,1346,158045,3930,79798,3819,65549,3497,14249,1546,78247,3641,72980,3550,5267,1100,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106283,31131,4741169,31771,1241981,19027,620239,13012,621742,12809,3499188,28600,2463708,23837,1035480,13173,2365114,25972,836303,16708,624598,14664,211705,6965,1528811,22886,1415000,21511,113811,6224,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
