GEO_ID,C24010I_001E,C24010I_001M,C24010I_002E,C24010I_002M,C24010I_003E,C24010I_003M,C24010I_004E,C24010I_004M,C24010I_005E,C24010I_005M,C24010I_006E,C24010I_006M,C24010I_007E,C24010I_007M,C24010I_008E,C24010I_008M,C24010I_009E,C24010I_009M,C24010I_010E,C24010I_010M,C24010I_011E,C24010I_011M,C24010I_012E,C24010I_012M,C24010I_013E,C24010I_013M,NAME,C24010I_001EA,C24010I_001MA,C24010I_002EA,C24010I_002MA,C24010I_003EA,C24010I_003MA,C24010I_004MA,C24010I_004EA,C24010I_005EA,C24010I_005MA,C24010I_006EA,C24010I_006MA,C24010I_007EA,C24010I_007MA,C24010I_008MA,C24010I_008EA,C24010I_009MA,C24010I_009EA,C24010I_010EA,C24010I_010MA,C24010I_011EA,C24010I_011MA,C24010I_012EA,C24010I_012MA,C24010I_013EA,C24010I_013MA,state
0400000US01,78100,3654,53009,3640,5377,1383,10526,2404,4557,1296,19510,2529,13039,2880,25091,2995,5426,1735,9211,1674,5460,1587,476,462,4518,1343,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,19104,1404,8962,1204,2287,691,2690,1403,1622,752,1425,634,938,441,10142,922,3536,949,2864,756,2989,759,20,37,733,497,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,721367,11490,405446,6829,59961,5772,104427,7321,69015,5012,102440,6560,69603,5459,315921,9308,75094,6110,101147,6370,111827,6818,4257,945,23596,3597,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,75828,3000,48132,2024,4907,1208,8517,2093,3825,1366,14027,2693,16856,2277,27696,2521,4025,1059,8799,2049,5926,1384,1682,955,7264,1589,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5782803,26420,3294888,17997,468333,13082,729049,16989,529179,11272,813778,14709,754549,14960,2487915,19213,575089,11035,763467,15224,815570,13577,75538,4554,258251,9604,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,434471,7169,242780,5012,40621,3289,57027,4706,32302,3014,67005,4597,45825,3617,191691,5020,44841,3264,68190,4913,60862,4460,1936,705,15862,2456,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,210625,4955,112997,3332,16442,2165,34907,3623,17900,2134,22385,3305,21363,2683,97628,3445,24383,2425,34058,2873,28806,2455,638,289,9743,1671,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,32382,2169,19364,1335,2513,763,3503,944,2059,985,3630,1013,7659,1379,13018,1409,3587,992,4206,895,3183,1198,194,174,1848,760,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,31024,1839,17692,1452,5726,1167,5124,1381,2017,759,4062,1442,763,571,13332,1113,4816,945,5299,1125,2722,909,158,196,337,373,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1911634,17316,1035298,13570,208285,9669,232034,11699,204906,10407,230562,11690,159511,7951,876336,12752,247606,7892,245320,11192,316477,10542,14801,3132,52132,4877,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,369628,7572,238417,5553,25858,3431,49215,5824,25212,3422,87343,6814,50789,4685,131211,5692,28170,3564,43727,4318,34732,4383,4627,1332,19955,2561,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,44847,2397,22720,1672,5691,1267,6225,1588,3914,972,4498,1182,2392,859,22127,1668,6037,1228,6184,1266,7734,1388,497,282,1675,796,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
