GEO_ID,B06009_001E,B06009_001M,B06009_002E,B06009_002M,B06009_003E,B06009_003M,B06009_004E,B06009_004M,B06009_005E,B06009_005M,B06009_006E,B06009_006M,B06009_007E,B06009_007M,B06009_008E,B06009_008M,B06009_009E,B06009_009M,B06009_010E,B06009_010M,B06009_011E,B06009_011M,B06009_012E,B06009_012M,B06009_013E,B06009_013M,B06009_014E,B06009_014M,B06009_015E,B06009_015M,B06009_016E,B06009_016M,B06009_017E,B06009_017M,B06009_018E,B06009_018M,B06009_019E,B06009_019M,B06009_020E,B06009_020M,B06009_021E,B06009_021M,B06009_022E,B06009_022M,B06009_023E,B06009_023M,B06009_024E,B06009_024M,B06009_025E,B06009_025M,B06009_026E,B06009_026M,B06009_027E,B06009_027M,B06009_028E,B06009_028M,B06009_029E,B06009_029M,B06009_030E,B06009_030M,NAME,B06009_001EA,B06009_001MA,B06009_002MA,B06009_002EA,B06009_003MA,B06009_003EA,B06009_004MA,B06009_004EA,B06009_005MA,B06009_005EA,B06009_006EA,B06009_006MA,B06009_007EA,B06009_007MA,B06009_008MA,B06009_008EA,B06009_009MA,B06009_009EA,B06009_010EA,B06009_010MA,B06009_011EA,B06009_011MA,B06009_012EA,B06009_012MA,B06009_013MA,B06009_013EA,B06009_014MA,B06009_014EA,B06009_015EA,B06009_015MA,B06009_016EA,B06009_016MA,B06009_017EA,B06009_017MA,B06009_018EA,B06009_018MA,B06009_019MA,B06009_019EA,B06009_020MA,B06009_020EA,B06009_021EA,B06009_021MA,B06009_022MA,B06009_022EA,B06009_023EA,B06009_023MA,B06009_024MA,B06009_024EA,B06009_025EA,B06009_025MA,B06009_026EA,B06009_026MA,B06009_027MA,B06009_027EA,B06009_028EA,B06009_028MA,B06009_029EA,B06009_029MA,B06009_030EA,B06009_030MA,state
0400000US01,3193078,4624,551746,14373,985450,12657,945350,13152,443488,11458,267044,8962,2107269,16149,400557,11233,695564,12386,617517,11476,253766,8397,139865,6871,925853,14926,102739,5703,251262,9122,295867,8929,167867,7570,108118,5406,28223,3174,4144,1269,4064,1264,10976,1882,6000,1397,3039,878,131733,5503,44306,3782,34560,4317,20990,2123,15855,2253,16022,2352,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,456862,1804,37621,2878,128373,4664,170407,5688,77153,3956,43308,3306,112647,4500,13881,1253,40729,2962,40432,2453,13113,1821,4492,869,292862,4488,14225,1909,73249,3564,114549,4698,55786,3196,35053,3139,10063,1576,560,334,2942,876,4016,1079,1958,732,587,257,41290,2809,8955,1659,11453,1690,11410,1622,6296,1163,3176,864,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4211223,3828,602097,14551,1036587,20711,1453341,22959,719546,14987,399652,11714,922595,19353,131658,7881,256016,10778,356246,11206,123605,7019,55070,4657,2494931,20771,178645,7282,602522,15859,927962,19186,503212,12571,282590,10024,55828,4768,6457,1819,11689,2752,22152,3203,10437,2093,5093,1303,737869,14526,285337,11291,166360,9861,146981,8545,82292,5662,56899,4996,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1943427,3997,315541,10594,693216,14689,539850,12564,254903,7605,139917,6993,1067343,13174,174758,8133,409286,11290,290924,8681,128423,5353,63952,4133,762542,12476,95556,4832,255705,10105,230835,8820,113552,5455,66894,5064,13025,1867,938,597,4281,1226,4659,1089,2215,657,932,561,100517,4331,44289,3867,23944,3082,13432,1898,10713,1823,8139,1666,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,24443872,5625,4622091,38750,5150994,40373,7264467,36266,4697422,39369,2708898,28692,9379571,38846,836392,19301,2283480,24467,3594719,30874,1802873,23496,862107,17763,5789854,33296,440713,12100,1079179,19294,1908732,19300,1389342,23267,971888,15531,313699,10154,42571,3622,56535,4792,103543,6597,70215,4797,40835,3475,8960748,43220,3302415,38269,1731800,27092,1657473,21526,1434992,23296,834068,15746,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3387310,3216,331285,9330,757700,13160,1055233,15452,789859,16005,453233,11279,1005517,16299,93070,5155,291402,10331,350037,10148,187702,7412,83306,4769,1932970,15142,96624,5389,368891,9340,617635,11795,529765,14599,320055,8821,48789,3986,3222,1275,9545,1933,16104,2602,12695,1595,7223,1353,400034,11060,138369,6778,87862,5951,71457,4909,59697,4916,42649,3651,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2444403,1883,266694,8473,676513,12158,617137,11801,500103,9320,383956,10540,1152396,13234,92617,5827,381282,10503,329566,8079,216105,6946,132826,5903,780187,12189,45870,3041,160640,6831,187328,6239,206045,5794,180304,6805,104493,5373,39713,3466,31688,3653,18669,2263,7773,1637,6650,1559,407327,9709,88494,6130,102903,5609,81574,4790,70180,4630,64176,4130,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,611120,929,79516,4724,192931,6829,162430,6150,104599,4415,71644,5051,214619,6712,29558,2979,85771,4729,57124,4091,28708,2878,13458,1768,320221,7404,30421,2648,91862,4735,92095,4723,61313,3587,44530,3555,11436,2356,2621,974,3077,1007,2624,938,1727,628,1387,1243,64844,4052,16916,2542,12221,2133,10587,1851,12851,1991,12269,1803,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,428261,167,54690,3958,75897,4546,72910,4020,99622,3700,125142,3892,128359,5115,21747,2509,41566,3928,34998,3280,16392,1989,13656,1729,221548,4840,16478,2158,23610,2356,26898,2351,66918,3550,87644,3514,8443,1466,767,537,831,617,980,682,2075,599,3790,992,69911,4196,15698,2489,9890,2379,10034,1905,14237,1818,20052,2710,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13267581,9014,1867802,24625,4033074,39265,3937476,37708,2190780,26016,1238449,20554,2760624,36622,383834,11829,925177,17894,869478,19986,397774,12994,184361,9219,6826103,34660,607389,12165,2065594,30647,2171932,27950,1244195,21448,736993,14875,467228,14584,86160,6319,133571,9314,146130,9038,68234,5299,33133,3672,3213626,27564,790419,16707,908732,21635,749936,18065,480577,15987,283962,13568,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
