GEO_ID,B25098_001E,B25098_001M,B25098_002E,B25098_002M,B25098_003E,B25098_003M,B25098_004E,B25098_004M,B25098_005E,B25098_005M,B25098_006E,B25098_006M,B25098_007E,B25098_007M,B25098_008E,B25098_008M,B25098_009E,B25098_009M,B25098_010E,B25098_010M,B25098_011E,B25098_011M,B25098_012E,B25098_012M,B25098_013E,B25098_013M,B25098_014E,B25098_014M,B25098_015E,B25098_015M,B25098_016E,B25098_016M,B25098_017E,B25098_017M,B25098_018E,B25098_018M,B25098_019E,B25098_019M,NAME,B25098_001EA,B25098_001MA,B25098_002MA,B25098_002EA,B25098_003MA,B25098_003EA,B25098_004MA,B25098_004EA,B25098_005EA,B25098_005MA,B25098_006EA,B25098_006MA,B25098_007EA,B25098_007MA,B25098_008EA,B25098_008MA,B25098_009MA,B25098_009EA,B25098_010EA,B25098_010MA,B25098_011EA,B25098_011MA,B25098_012EA,B25098_012MA,B25098_013MA,B25098_013EA,B25098_014MA,B25098_014EA,B25098_015MA,B25098_015EA,B25098_016EA,B25098_016MA,B25098_017EA,B25098_017MA,B25098_018MA,B25098_018EA,B25098_019MA,B25098_019EA,state
0400000US01,1289217,12212,769984,10852,24372,2848,80699,4433,66198,4643,108210,5727,167223,5374,130349,5699,126029,5474,66904,3840,519233,10290,50266,3560,135039,6010,72952,3844,82429,3935,83211,4874,39279,2436,34308,3096,21749,1947,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,162312,3867,105715,4095,607,288,3921,793,3212,814,9105,1696,18937,1966,20814,2152,27807,2487,21312,2323,56597,2674,3565,879,8164,1202,5597,1000,6524,1058,12843,1746,6712,1186,8215,1274,4977,865,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1501528,15067,1032658,16346,33815,4354,97023,6471,84410,6219,146274,7811,218277,8794,159777,7915,180166,6746,112916,6162,468870,10367,41212,3588,103793,5626,67543,4988,75727,5081,78270,4983,40890,3414,35257,3228,26178,3041,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,750984,9249,441581,7763,15349,2096,48557,3315,40103,3030,71069,3902,99791,4578,67023,3531,66959,3700,32730,2936,309403,7087,25290,2176,83489,3832,43597,2698,50236,2677,51681,3228,27443,2413,16479,1725,11188,1537,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6843369,25886,5102167,26938,118302,5971,303637,7748,270372,10071,501220,11461,882455,16726,782945,14703,1103405,17022,1139831,16876,1741202,18648,99845,4383,344286,7796,206756,6018,250945,6829,293483,6988,181107,5529,188345,6296,176435,7158,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1271804,10881,954994,11508,23464,2429,56488,3900,56075,3738,110997,5921,195061,7511,158076,6005,203100,7184,151733,5846,316810,6526,18935,1773,61066,2968,39573,2690,47068,2975,57774,3676,30975,2456,31153,2404,30266,2709,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,911059,6941,644372,7533,11458,1672,24030,2619,29061,2811,54243,3282,107518,4626,110124,4722,149947,5368,157991,5498,266687,5457,10796,1425,41455,2442,28227,2424,35784,2692,45338,2506,32643,2281,33994,2459,38450,2691,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,238560,4816,166538,4740,3756,921,9267,1371,9878,1604,19225,1690,33528,2813,30738,2948,35666,3319,24480,2397,72022,3318,3320,755,13465,1557,8093,1290,11422,1287,13909,1593,8718,1352,7921,1177,5174,966,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110625,3425,87297,3574,2140,614,3536,818,3113,885,6306,1319,12535,1622,11393,1747,17844,1661,30430,1863,23328,1822,1023,357,3306,748,1602,414,2681,629,3326,777,2139,536,3849,952,5402,971,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4741169,31771,2975808,26290,109314,6229,315396,10417,278473,9952,416903,11933,630774,16327,442514,13375,461906,10630,320528,9852,1765361,19804,139792,6151,414999,10788,238978,9322,282097,8123,295525,9916,153879,6003,132631,5695,107460,5166,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2256703,18001,1565587,17156,50187,4226,142329,6659,122449,5713,201523,8984,336624,10375,246019,7462,278178,9976,188278,7477,691116,12765,60797,4337,159035,6207,88810,4857,108819,4861,120868,5669,60519,3823,52572,3626,39696,3341,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
