GEO_ID,C08011_001E,C08011_001M,C08011_002E,C08011_002M,C08011_003E,C08011_003M,C08011_004E,C08011_004M,C08011_005E,C08011_005M,C08011_006E,C08011_006M,C08011_007E,C08011_007M,C08011_008E,C08011_008M,C08011_009E,C08011_009M,C08011_010E,C08011_010M,C08011_011E,C08011_011M,C08011_012E,C08011_012M,C08011_013E,C08011_013M,C08011_014E,C08011_014M,C08011_015E,C08011_015M,C08011_016E,C08011_016M,C08011_017E,C08011_017M,C08011_018E,C08011_018M,C08011_019E,C08011_019M,C08011_020E,C08011_020M,C08011_021E,C08011_021M,C08011_022E,C08011_022M,C08011_023E,C08011_023M,C08011_024E,C08011_024M,C08011_025E,C08011_025M,C08011_026E,C08011_026M,C08011_027E,C08011_027M,C08011_028E,C08011_028M,C08011_029E,C08011_029M,C08011_030E,C08011_030M,C08011_031E,C08011_031M,C08011_032E,C08011_032M,C08011_033E,C08011_033M,NAME,C08011_001MA,C08011_001EA,C08011_002EA,C08011_002MA,C08011_003EA,C08011_003MA,C08011_004MA,C08011_004EA,C08011_005EA,C08011_005MA,C08011_006EA,C08011_006MA,C08011_007MA,C08011_007EA,C08011_008EA,C08011_008MA,C08011_009MA,C08011_009EA,C08011_010MA,C08011_010EA,C08011_011MA,C08011_011EA,C08011_012MA,C08011_012EA,C08011_013EA,C08011_013MA,C08011_014EA,C08011_014MA,C08011_015MA,C08011_015EA,C08011_016MA,C08011_016EA,C08011_017MA,C08011_017EA,C08011_018EA,C08011_018MA,C08011_019EA,C08011_019MA,C08011_020EA,C08011_020MA,C08011_021EA,C08011_021MA,C08011_022MA,C08011_022EA,C08011_023MA,C08011_023EA,C08011_024EA,C08011_024MA,C08011_025EA,C08011_025MA,C08011_026EA,C08011_026MA,C08011_027MA,C08011_027EA,C08011_028MA,C08011_028EA,C08011_029MA,C08011_029EA,C08011_030EA,C08011_030MA,C08011_031EA,C08011_031MA,C08011_032EA,C08011_032MA,C08011_033MA,C08011_033EA,state
0400000US01,1902148,17596,112238,5199,93753,5131,111421,5848,191836,8326,226055,9319,305378,8732,241904,9264,147685,6494,69702,5222,402176,10948,991175,11231,79749,4644,69064,4527,75047,5448,123993,6160,122830,6553,136500,6073,97670,5867,67356,4482,28100,3212,190866,7500,910973,12278,32489,2982,24689,2408,36374,3333,67843,4329,103225,5130,168878,5987,144234,6433,80329,4454,41602,3766,211310,8549,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,331902,5866,14738,1943,10482,1630,18447,2342,23103,2869,28235,2732,37544,2595,55512,3639,38607,2606,21141,2123,84093,3739,180450,3621,10225,1633,7955,1469,12212,1843,15807,2244,16692,2078,19809,1984,25437,2622,19211,2106,9365,1272,43737,2867,151452,4460,4513,1178,2527,817,6235,1486,7296,1518,11543,1751,17735,2094,30075,2472,19396,1686,11776,1507,40356,2786,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2504382,18865,165535,9919,128563,8021,148400,8922,247519,10388,233697,10267,364808,12169,273762,10531,248536,10713,102247,6408,591315,14748,1349535,14744,119061,7754,93059,7123,92175,5682,153700,7786,120349,6968,184680,8652,119580,7243,120311,7699,44447,3740,302173,11778,1154847,14836,46474,4910,35504,3741,56225,6223,93819,6955,113348,7350,180128,8401,154182,7400,128225,7880,57800,4686,289142,9318,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1175268,11745,52938,4414,44455,3963,61105,4527,108055,5864,138113,6474,211464,8963,178983,6877,95188,5142,40203,3997,244764,8540,620128,8319,36878,3410,30885,3164,37983,3594,66277,4169,85107,5437,101615,5699,76567,4929,44615,3622,16369,2746,123832,6073,555140,7952,16060,2275,13570,2471,23122,2404,41778,3313,53006,3071,109849,5877,102416,4605,50573,3324,23834,2693,120932,5644,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15189715,39684,819841,16664,638718,16028,707429,15793,1292251,22399,1313615,20726,2100590,26074,1675906,19922,1820075,25066,892169,15112,3929121,38585,8310212,27983,591528,13010,467062,13296,482600,13549,844402,17278,744037,16129,1098042,16686,756791,15863,905350,19498,411587,10188,2008813,25980,6879503,28221,228313,9510,171656,7673,224829,8447,447849,12525,569578,11381,1002548,18582,919115,14638,914725,16909,480582,10155,1920308,24097,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2322794,13842,93635,4818,81620,4645,115174,6455,190679,8375,247261,8137,348243,10379,307509,8104,251937,9385,135387,7266,551349,13259,1255248,9792,66246,4053,56594,3627,78103,5332,125005,6834,140725,6227,181348,7012,147059,5740,129881,6764,61391,4514,268896,8295,1067546,9517,27389,2900,25026,2701,37071,3269,65674,4653,106536,5086,166895,6997,160450,5865,122056,5833,73996,4807,282453,8091,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1638653,10927,40953,3217,42791,2976,62534,3847,133096,6731,170687,7669,249299,7861,225538,6445,227736,7583,110920,4790,375099,9603,847080,7900,28508,2778,31284,2514,41880,3327,87850,5380,94335,5502,134689,5780,107024,4484,102025,5264,43234,3171,176251,6897,791573,8091,12445,1768,11507,1572,20654,2244,45246,3973,76352,4344,114610,5606,118514,5131,125711,5174,67686,3638,198848,6535,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,400040,6068,18722,2865,8797,1508,18771,2322,32966,3071,43075,3603,61688,4182,52486,4121,46431,3920,20699,2151,96405,4345,204577,3822,13044,2431,5650,1113,11512,1736,20486,2695,24277,2464,31352,2823,22866,2453,20585,2723,8630,1501,46175,3297,195463,4338,5678,1588,3147,901,7259,1557,12480,1496,18798,2285,30336,2254,29620,2816,25846,2316,12069,1468,50230,2908,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,292101,5492,5154,1206,6209,1170,7034,1224,15237,2171,16389,2673,36052,3480,33687,3447,56924,4291,44106,3536,71309,4479,143179,3698,2975,987,3606,1124,3564,1037,8452,1575,8548,1861,17145,2035,14606,2257,27493,2847,19852,2667,36938,3196,148922,4344,2179,757,2603,778,3470,982,6785,1576,7841,1642,18907,2682,19081,2129,29431,2847,24254,2287,34371,2863,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7623767,34639,262606,10337,219758,9088,265720,11225,630296,16455,696990,15222,1180432,21726,949870,19811,1004694,24318,470961,13735,1942440,28804,3933758,23616,173444,8434,153121,7327,172105,8601,402220,14489,382183,11133,590211,15086,420619,12183,474704,17420,212956,9988,952195,21293,3690009,24795,89162,7074,66637,5187,93615,6368,228076,9900,314807,10881,590221,16108,529251,15322,529990,13655,258005,8418,990245,17374,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
