GEO_ID,C27001F_001E,C27001F_001M,C27001F_002E,C27001F_002M,C27001F_003E,C27001F_003M,C27001F_004E,C27001F_004M,C27001F_005E,C27001F_005M,C27001F_006E,C27001F_006M,C27001F_007E,C27001F_007M,C27001F_008E,C27001F_008M,C27001F_009E,C27001F_009M,C27001F_010E,C27001F_010M,NAME,C27001F_001MA,C27001F_001EA,C27001F_002MA,C27001F_002EA,C27001F_003MA,C27001F_003EA,C27001F_004EA,C27001F_004MA,C27001F_005EA,C27001F_005MA,C27001F_006MA,C27001F_006EA,C27001F_007MA,C27001F_007EA,C27001F_008MA,C27001F_008EA,C27001F_009EA,C27001F_009MA,C27001F_010EA,C27001F_010MA,state
0400000US01,57643,7063,17303,2868,13268,2776,4035,1193,39085,5060,12921,2930,26164,4549,1255,1000,991,794,264,409,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7912,1846,1981,642,1919,671,62,124,5832,1482,4723,1285,1109,583,99,86,99,86,0,149,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,394538,21376,135810,10609,111025,9230,24785,4492,237890,13137,151173,10868,86717,7872,20838,2984,20456,3030,382,439,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,62379,7415,25139,3514,22226,3199,2913,1618,36483,4431,17822,3750,18661,2999,757,569,673,553,84,139,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4672723,66387,1485740,30638,1294506,28320,191234,11148,2981828,39850,1692291,29075,1289537,29468,205155,8210,189963,8416,15192,2460,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,219176,15781,72709,7506,59133,6465,13576,3456,134045,9211,75073,6186,58972,6513,12422,2208,11992,2227,430,457,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,189455,10711,60021,5280,56371,5102,3650,1172,123691,6679,78097,5940,45594,6151,5743,1266,4890,1114,853,529,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19572,4492,6351,2105,5908,2070,443,331,12956,2861,6662,1801,6294,2384,265,221,265,221,0,192,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24192,3717,7115,1510,6060,1553,1055,957,15781,2636,13168,2437,2613,1146,1296,560,1209,576,87,147,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,506518,27511,147566,13259,122036,12489,25530,4937,334468,18846,156323,12152,178145,14740,24484,3455,22194,3371,2290,975,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
