GEO_ID,B10052_001E,B10052_001M,B10052_002E,B10052_002M,B10052_003E,B10052_003M,B10052_004E,B10052_004M,B10052_005E,B10052_005M,B10052_006E,B10052_006M,B10052_007E,B10052_007M,B10052_008E,B10052_008M,B10052_009E,B10052_009M,B10052_010E,B10052_010M,B10052_011E,B10052_011M,NAME,B10052_001MA,B10052_001EA,B10052_002MA,B10052_002EA,B10052_003MA,B10052_003EA,B10052_004EA,B10052_004MA,B10052_005EA,B10052_005MA,B10052_006MA,B10052_006EA,B10052_007MA,B10052_007EA,B10052_008MA,B10052_008EA,B10052_009EA,B10052_009MA,B10052_010EA,B10052_010MA,B10052_011MA,B10052_011EA,state
0400000US01,119920,5419,39674,2940,22232,2045,12809,1758,9423,1454,17442,2178,80246,5045,44346,3448,32105,3108,12241,1739,35900,4015,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15039,1933,4413,856,1803,504,742,242,1061,412,2610,757,10626,1887,4244,870,2518,702,1726,570,6382,1561,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,167085,9266,39991,4050,13520,1824,6618,1313,6902,1594,26471,3676,127094,7960,50488,4585,35870,3753,14618,2539,76606,7124,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66271,5143,19671,2410,9171,1518,4900,1166,4271,893,10500,1751,46600,4209,27221,2679,19062,2186,8159,1488,19379,3424,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1117144,21486,254350,8515,59286,4471,29822,3504,29464,2541,195064,7794,862794,18168,257043,11338,175584,9331,81459,5402,605751,15114,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,92458,6543,22256,3071,7467,1801,5115,1486,2352,772,14789,2474,70202,5754,29722,3711,20540,3181,9182,1966,40480,3885,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,62737,4835,14517,1963,4509,1022,2444,793,2065,631,10008,1857,48220,4324,16935,2623,11067,1823,5868,1524,31285,3525,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22515,2980,5712,1301,2195,694,978,437,1217,589,3517,1002,16803,2469,6185,1419,4293,1027,1892,640,10618,2068,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10592,1468,2538,735,868,388,576,354,292,219,1670,628,8054,1364,3316,913,2121,777,1195,483,4738,1189,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,450253,17476,112491,7965,34633,3603,15426,2345,19207,2462,77858,7614,337762,14157,130198,7874,88529,6400,41669,4412,207564,12019,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,264671,12515,70769,5818,28323,3325,15952,2449,12371,1895,42446,4610,193902,9863,88827,6662,60801,5707,28026,3210,105075,7875,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,55358,4183,13277,2089,3079,862,1486,617,1593,567,10198,1855,42081,3787,10409,2014,5408,1340,5001,1269,31672,3038,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,28322,2910,8418,1581,2599,1009,1685,878,914,506,5819,1406,19904,2486,8911,1618,6128,1376,2783,944,10993,2277,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,273075,9312,63031,3577,20555,2006,11221,1490,9334,1488,42476,3408,210044,8215,78013,5768,53104,4204,24909,2879,132031,6825,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,135610,7386,34531,3330,16940,2025,10582,1628,6358,1243,17591,2435,101079,6147,50815,4331,36918,3488,13897,2025,50264,4293,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,36181,2855,10309,1721,3621,974,1838,777,1783,504,6688,1508,25872,2387,11880,1981,8171,1728,3709,863,13992,1538,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,46018,3822,12026,1839,4809,945,2961,788,1848,464,7217,1580,33992,3137,14607,1621,10506,1590,4101,938,19385,2406,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
