GEO_ID,B21001G_001E,B21001G_001M,B21001G_002E,B21001G_002M,B21001G_003E,B21001G_003M,B21001G_004E,B21001G_004M,B21001G_005E,B21001G_005M,B21001G_006E,B21001G_006M,B21001G_007E,B21001G_007M,B21001G_008E,B21001G_008M,B21001G_009E,B21001G_009M,B21001G_010E,B21001G_010M,B21001G_011E,B21001G_011M,B21001G_012E,B21001G_012M,B21001G_013E,B21001G_013M,B21001G_014E,B21001G_014M,B21001G_015E,B21001G_015M,B21001G_016E,B21001G_016M,B21001G_017E,B21001G_017M,B21001G_018E,B21001G_018M,B21001G_019E,B21001G_019M,B21001G_020E,B21001G_020M,B21001G_021E,B21001G_021M,B21001G_022E,B21001G_022M,B21001G_023E,B21001G_023M,B21001G_024E,B21001G_024M,B21001G_025E,B21001G_025M,B21001G_026E,B21001G_026M,B21001G_027E,B21001G_027M,B21001G_028E,B21001G_028M,B21001G_029E,B21001G_029M,B21001G_030E,B21001G_030M,B21001G_031E,B21001G_031M,B21001G_032E,B21001G_032M,B21001G_033E,B21001G_033M,NAME,B21001G_001EA,B21001G_001MA,B21001G_002MA,B21001G_002EA,B21001G_003EA,B21001G_003MA,B21001G_004EA,B21001G_004MA,B21001G_005MA,B21001G_005EA,B21001G_006EA,B21001G_006MA,B21001G_007MA,B21001G_007EA,B21001G_008MA,B21001G_008EA,B21001G_009MA,B21001G_009EA,B21001G_010MA,B21001G_010EA,B21001G_011EA,B21001G_011MA,B21001G_012EA,B21001G_012MA,B21001G_013MA,B21001G_013EA,B21001G_014MA,B21001G_014EA,B21001G_015MA,B21001G_015EA,B21001G_016EA,B21001G_016MA,B21001G_017EA,B21001G_017MA,B21001G_018EA,B21001G_018MA,B21001G_019EA,B21001G_019MA,B21001G_020MA,B21001G_020EA,B21001G_021MA,B21001G_021EA,B21001G_022EA,B21001G_022MA,B21001G_023EA,B21001G_023MA,B21001G_024EA,B21001G_024MA,B21001G_025MA,B21001G_025EA,B21001G_026MA,B21001G_026EA,B21001G_027EA,B21001G_027MA,B21001G_028EA,B21001G_028MA,B21001G_029EA,B21001G_029MA,B21001G_030EA,B21001G_030MA,B21001G_031MA,B21001G_031EA,B21001G_032MA,B21001G_032EA,B21001G_033EA,B21001G_033MA,state
0400000US01,35034,3211,16647,2094,5070,1205,268,190,4802,1180,6296,1254,1012,510,5284,1092,3488,976,1307,626,2181,764,1328,494,689,351,639,343,465,287,288,228,177,153,18387,2315,7552,1477,97,99,7455,1472,6681,1193,401,324,6280,1299,2015,506,108,97,1907,500,1080,494,0,190,1080,494,1059,416,0,190,1059,416,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,27622,2816,12468,1530,7100,1117,603,417,6497,1140,4169,1026,586,346,3583,1052,786,270,192,108,594,261,215,129,186,125,29,26,198,123,157,120,41,40,15154,2041,6249,1362,408,396,5841,1270,6763,1164,309,304,6454,1154,1553,520,0,149,1553,520,420,317,0,149,420,317,169,127,0,149,169,127,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,97183,7316,49099,4626,23464,2896,1069,690,22395,2842,15636,2374,1930,732,13706,2248,5540,1256,2261,781,3279,1073,3256,833,1138,486,2118,727,1203,509,575,395,628,355,48084,4784,22181,2975,408,403,21773,2851,17600,2965,204,260,17396,2977,5372,1458,254,236,5118,1423,1945,553,0,229,1945,553,986,649,178,285,808,543,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,31535,3557,15980,2324,6779,1657,706,481,6073,1517,5257,1345,1219,619,4038,1219,2218,624,904,422,1314,549,1085,438,631,354,454,296,641,293,476,230,165,162,15555,2157,4668,1282,50,53,4618,1273,5594,1067,109,133,5485,1045,2516,901,65,101,2451,893,1223,472,0,192,1223,472,1554,577,0,192,1554,577,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,887652,22739,443193,15023,209511,10582,6723,1635,202788,10354,149151,6681,13114,1859,136037,6288,50450,3839,12065,2282,38385,3178,21423,2140,6892,1233,14531,1833,12658,1655,5680,1070,6978,1240,444459,12711,199468,8368,1801,595,197667,8461,153074,6170,2232,844,150842,5968,50401,3304,327,196,50074,3316,24197,2257,321,257,23876,2230,17319,1663,346,312,16973,1710,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,90974,5415,44561,3775,21090,2477,1183,627,19907,2612,15195,2036,2602,758,12593,1908,5700,1085,1933,567,3767,919,1519,592,807,345,712,489,1057,492,476,270,581,409,46413,3571,21182,1992,844,581,20338,1997,16492,2029,441,258,16051,2011,4628,914,85,82,4543,907,2404,765,163,216,2241,776,1707,567,0,201,1707,567,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,47523,4165,22368,2694,11362,2005,477,318,10885,1970,6179,1225,671,366,5508,1154,2832,755,538,336,2294,690,1885,750,673,427,1212,593,110,116,88,106,22,41,25155,2663,11011,1707,354,325,10657,1718,9320,1494,34,41,9286,1484,2179,829,42,72,2137,829,1657,575,171,236,1486,529,988,430,0,198,988,430,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,228388,12123,112322,7066,48843,5068,2607,1077,46236,4979,38799,4370,6056,1512,32743,4240,13249,1981,3715,1145,9534,1538,6918,1529,1491,578,5427,1478,4513,1141,2186,847,2327,742,116066,7667,49085,4384,601,522,48484,4396,40644,4010,1382,832,39262,3979,13303,1939,427,291,12876,1944,7215,1357,22,38,7193,1358,5819,1397,47,82,5772,1381,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
