GEO_ID,B25102_001E,B25102_001M,B25102_002E,B25102_002M,B25102_003E,B25102_003M,B25102_004E,B25102_004M,B25102_005E,B25102_005M,B25102_006E,B25102_006M,B25102_007E,B25102_007M,B25102_008E,B25102_008M,B25102_009E,B25102_009M,B25102_010E,B25102_010M,B25102_011E,B25102_011M,B25102_012E,B25102_012M,B25102_013E,B25102_013M,B25102_014E,B25102_014M,B25102_015E,B25102_015M,NAME,B25102_001MA,B25102_001EA,B25102_002EA,B25102_002MA,B25102_003EA,B25102_003MA,B25102_004MA,B25102_004EA,B25102_005EA,B25102_005MA,B25102_006MA,B25102_006EA,B25102_007EA,B25102_007MA,B25102_008MA,B25102_008EA,B25102_009MA,B25102_009EA,B25102_010MA,B25102_010EA,B25102_011MA,B25102_011EA,B25102_012MA,B25102_012EA,B25102_013MA,B25102_013EA,B25102_014EA,B25102_014MA,B25102_015EA,B25102_015MA,state
0400000US01,1289217,12212,769984,10852,461970,10561,145986,6354,38791,2911,27176,2784,22511,2453,73550,4394,519233,10290,289140,7701,52409,2995,13428,2076,10979,1569,10365,1420,142912,4932,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,162312,3867,105715,4095,4720,1178,11434,1399,7867,1370,22780,2578,49803,3098,9111,1299,56597,2674,9136,1794,7428,1220,3157,569,6371,1310,13799,1792,16706,1375,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1501528,15067,1032658,16346,162775,7039,382312,11575,188986,9063,167792,8795,110967,5171,19826,2657,468870,10367,147964,5748,121171,5791,49536,4342,55770,3808,40403,3570,54026,4289,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,750984,9249,441581,7763,228513,6355,109496,4541,35917,3031,24744,2528,23094,2580,19817,2226,309403,7087,191260,5375,57795,3673,12730,1822,9323,1537,7480,1449,30815,2216,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6843369,25886,5102167,26938,256357,7230,648512,14481,473604,11805,920392,14068,2752478,19638,50824,3560,1741202,18648,328719,8897,393703,8251,170575,6757,254762,8280,474861,11917,118582,4674,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1271804,10881,954994,11508,139439,5930,323754,7754,167584,6722,167678,5958,148000,5332,8539,1522,316810,6526,83999,3699,93342,4085,48631,3535,46274,3195,38529,2908,6035,987,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,911059,6941,644372,7533,9153,1161,11754,1789,13979,1778,55254,3547,550841,6328,3391,895,266687,5457,10365,1502,7294,1017,6160,1042,24288,1567,215213,5211,3367,667,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,238560,4816,166538,4740,41269,3084,58526,3673,26008,2769,23707,2119,14607,1626,2421,777,72022,3318,31701,2395,17768,1802,6519,1062,5572,913,5811,930,4651,975,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110625,3425,87297,3574,9201,1162,15955,1764,8870,1568,14043,1615,36834,2507,2394,779,23328,1822,4854,789,6351,1069,1245,465,2790,697,7309,1085,779,327,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4741169,31771,2975808,26290,457434,12693,704880,14311,383906,11649,552819,13959,811566,15199,65203,4443,1765361,19804,479050,11421,387175,10936,169583,7084,236401,8463,329632,8869,163520,5290,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
