GEO_ID,C27001I_001E,C27001I_001M,C27001I_002E,C27001I_002M,C27001I_003E,C27001I_003M,C27001I_004E,C27001I_004M,C27001I_005E,C27001I_005M,C27001I_006E,C27001I_006M,C27001I_007E,C27001I_007M,C27001I_008E,C27001I_008M,C27001I_009E,C27001I_009M,C27001I_010E,C27001I_010M,NAME,C27001I_001EA,C27001I_001MA,C27001I_002EA,C27001I_002MA,C27001I_003EA,C27001I_003MA,C27001I_004MA,C27001I_004EA,C27001I_005MA,C27001I_005EA,C27001I_006MA,C27001I_006EA,C27001I_007EA,C27001I_007MA,C27001I_008EA,C27001I_008MA,C27001I_009MA,C27001I_009EA,C27001I_010MA,C27001I_010EA,state
0400000US01,182653,1773,67294,1952,53940,3484,13354,2890,108714,2752,46924,4232,61790,4928,6645,1621,5962,1496,683,551,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39551,825,14854,80,13366,894,1488,903,23405,869,16604,1499,6801,1442,1292,323,1228,333,64,89,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1915826,2127,705883,292,579027,8767,126856,8721,1106921,2182,705142,13577,401779,13992,103022,1216,98944,1746,4078,1247,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,187080,1563,76044,1190,66769,2956,9275,2797,107314,1665,49686,4977,57628,5154,3722,963,3638,946,84,139,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14198572,5032,4779366,791,4269040,15798,510326,15932,8638728,4808,5241725,30150,3397003,29737,780478,2192,739005,4557,41473,3935,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1051033,1886,380294,1153,322867,6005,57427,5916,615466,2199,387924,9133,227542,9191,55273,1409,53600,1585,1673,829,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,485938,1118,161964,153,153994,1967,7970,1963,300963,1158,211570,6788,89393,6788,23011,628,21460,897,1551,714,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,75778,197,28001,6,25755,865,2246,866,44932,429,26838,2165,18094,2250,2845,449,2803,447,42,66,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,58394,320,13461,15,12190,987,1271,986,41894,321,35674,1618,6220,1645,3039,5,2952,147,87,147,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4311893,2609,1119572,1010,950259,13353,169313,13212,2741721,3833,1510180,23725,1231541,24014,450600,2974,427989,4671,22611,3440,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,862265,4036,323421,3164,256247,6306,67174,6293,519562,5253,201250,11019,318312,11027,19282,2469,16406,2369,2876,1004,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,120712,1173,46187,10,44735,1035,1452,1036,67635,1238,58484,1913,9151,1714,6890,534,6531,614,359,361,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,178946,785,74002,413,62030,2850,11972,2758,98893,1049,52447,2835,46446,2797,6051,791,6030,787,21,39,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2062677,2638,730916,1059,695934,4212,34982,3924,1243460,2872,746810,15460,496650,15489,88301,1301,80466,2597,7835,2226,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,395373,2001,157475,1844,138800,3526,18675,2782,226118,2333,124689,6531,101429,5934,11780,1194,10921,1210,859,592,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,151947,975,63061,1108,57745,1678,5316,1533,83685,1297,51266,2940,32419,2794,5201,860,4340,717,861,487,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,301331,1597,123383,731,107114,2536,16269,2492,167829,1410,98248,5346,69581,4935,10119,1035,8613,1320,1506,610,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,127008,2464,51516,1958,46228,2436,5288,1436,70451,1929,35980,3542,34471,3263,5041,1060,4945,1040,96,164,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,191506,1558,55726,1060,48094,2457,7632,2314,123167,1822,57965,4453,65202,4483,12613,1186,12127,1133,486,568,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,17783,614,6649,504,6413,512,236,188,10113,561,8256,952,1857,712,1021,447,1021,447,0,157,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,483786,1158,155795,833,141340,2271,14455,2233,309043,1729,173774,6910,135269,7049,18948,1267,16915,1409,2033,975,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,641067,1051,212781,251,207635,1874,5146,1841,399708,1361,346215,4848,53493,4676,28578,737,27990,846,588,336,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,443033,1164,172603,1178,160716,2836,11887,2746,251092,1691,172683,5089,78409,4504,19338,1212,18945,1216,393,309,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,253235,1222,103978,1048,87632,3094,16346,2913,143986,1701,85349,3856,58637,3860,5271,572,5126,575,145,142,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,73629,3005,27561,2067,22567,2180,4994,1522,43082,2087,18060,2712,25022,2300,2986,895,2743,920,243,286,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
