GEO_ID,B18140_001E,B18140_001M,B18140_002E,B18140_002M,B18140_003E,B18140_003M,B18140_004E,B18140_004M,B18140_005E,B18140_005M,B18140_006E,B18140_006M,B18140_007E,B18140_007M,NAME,B18140_001EA,B18140_001MA,B18140_002EA,B18140_002MA,B18140_003MA,B18140_003EA,B18140_004MA,B18140_004EA,B18140_005EA,B18140_005MA,B18140_006EA,B18140_006MA,B18140_007EA,B18140_007MA,state
0400000US01,26281,315,19384,1143,23714,2418,15734,972,26792,321,32316,458,21692,352,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,34308,1869,28237,4193,38373,7450,16718,10267,34986,1541,42246,1318,28795,1347,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,28000,544,19073,1910,19542,2439,18028,3120,28725,528,32034,410,24954,569,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,24710,418,17051,839,20854,1382,14904,1333,25460,402,29604,916,21889,408,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30308,109,20716,531,23418,834,17267,725,30671,111,34655,413,26217,194,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,31247,269,20336,1312,23900,2366,16899,1597,31768,282,37906,1037,26072,410,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,36674,428,22474,1568,24794,2887,20750,2283,37348,495,45243,855,31104,459,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,33002,1253,22521,2845,27891,4942,20306,3647,34436,1456,40761,787,28463,1439,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,46207,1350,29453,5001,31782,8363,28182,4556,47216,1649,51395,1546,44410,2381,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,26603,183,19174,940,20864,845,17081,864,27005,200,30822,239,24168,335,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
