GEO_ID,B18101I_001E,B18101I_001M,B18101I_002E,B18101I_002M,B18101I_003E,B18101I_003M,B18101I_004E,B18101I_004M,B18101I_005E,B18101I_005M,B18101I_006E,B18101I_006M,B18101I_007E,B18101I_007M,B18101I_008E,B18101I_008M,B18101I_009E,B18101I_009M,B18101I_010E,B18101I_010M,NAME,B18101I_001MA,B18101I_001EA,B18101I_002MA,B18101I_002EA,B18101I_003MA,B18101I_003EA,B18101I_004EA,B18101I_004MA,B18101I_005EA,B18101I_005MA,B18101I_006MA,B18101I_006EA,B18101I_007MA,B18101I_007EA,B18101I_008MA,B18101I_008EA,B18101I_009MA,B18101I_009EA,B18101I_010EA,B18101I_010MA,state
0400000US01,182653,1773,67294,1952,2298,946,64996,2037,108714,2752,5529,1604,103185,3514,6645,1621,2146,843,4499,1276,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,39551,825,14854,80,893,536,13961,551,23405,869,1444,636,21961,1117,1292,323,482,246,810,292,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1915826,2127,705883,292,22220,3369,683663,3458,1106921,2182,88080,6782,1018841,6726,103022,1216,40807,2424,62215,2569,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,187080,1563,76044,1190,2843,911,73201,1376,107314,1665,5689,1614,101625,2263,3722,963,1969,613,1753,800,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14198572,5032,4779366,791,148746,7213,4630620,7243,8638728,4808,607730,14043,8030998,14174,780478,2192,314054,8224,466424,8128,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1051033,1886,380294,1153,15959,2892,364335,3100,615466,2199,57371,3723,558095,4347,55273,1409,22213,1739,33060,2213,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,485938,1118,161964,153,8717,1431,153247,1439,300963,1158,31844,2946,269119,3133,23011,628,9199,1207,13812,1266,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,75778,197,28001,6,1147,591,26854,591,44932,429,3268,857,41664,856,2845,449,1013,425,1832,474,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,58394,320,13461,15,934,645,12527,646,41894,321,3056,962,38838,1016,3039,5,1070,429,1969,429,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4311893,2609,1119572,1010,39314,3764,1080258,3891,2741721,3833,209518,9977,2532203,10361,450600,2974,172057,5968,278543,6260,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
