GEO_ID,C21001G_001E,C21001G_001M,C21001G_002E,C21001G_002M,C21001G_003E,C21001G_003M,C21001G_004E,C21001G_004M,C21001G_005E,C21001G_005M,C21001G_006E,C21001G_006M,C21001G_007E,C21001G_007M,C21001G_008E,C21001G_008M,C21001G_009E,C21001G_009M,C21001G_010E,C21001G_010M,C21001G_011E,C21001G_011M,C21001G_012E,C21001G_012M,C21001G_013E,C21001G_013M,C21001G_014E,C21001G_014M,C21001G_015E,C21001G_015M,NAME,C21001G_001EA,C21001G_001MA,C21001G_002EA,C21001G_002MA,C21001G_003EA,C21001G_003MA,C21001G_004MA,C21001G_004EA,C21001G_005EA,C21001G_005MA,C21001G_006EA,C21001G_006MA,C21001G_007EA,C21001G_007MA,C21001G_008MA,C21001G_008EA,C21001G_009MA,C21001G_009EA,C21001G_010EA,C21001G_010MA,C21001G_011EA,C21001G_011MA,C21001G_012EA,C21001G_012MA,C21001G_013EA,C21001G_013MA,C21001G_014MA,C21001G_014EA,C21001G_015MA,C21001G_015EA,state
0400000US01,35034,3211,16647,2094,14854,1995,2587,788,12267,1862,1793,650,977,423,816,431,18387,2315,16248,2171,606,360,15642,2308,2139,696,0,190,2139,696,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,27622,2816,12468,1530,12055,1527,1381,579,10674,1543,413,162,343,158,70,46,15154,2041,14565,2046,717,500,13848,2003,589,323,0,149,589,323,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,97183,7316,49099,4626,44640,4351,5260,1310,39380,4108,4459,1037,1713,653,2746,797,48084,4784,45153,4745,866,501,44287,4668,2931,846,178,285,2753,750,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,31535,3557,15980,2324,14254,2269,2829,914,11425,2019,1726,488,1107,408,619,325,15555,2157,12778,2054,224,169,12554,2057,2777,782,0,192,2777,782,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,887652,22739,443193,15023,409112,14912,31902,3449,377210,14289,34081,2811,12572,1505,21509,2233,444459,12711,402943,12477,4360,1054,398583,12347,41516,2871,667,466,40849,2909,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,90974,5415,44561,3775,41985,3586,5718,1129,36267,3608,2576,749,1283,405,1293,649,46413,3571,42302,3312,1370,648,40932,3314,4111,867,163,216,3948,872,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,47523,4165,22368,2694,20373,2524,1686,572,18687,2403,1995,755,761,433,1234,600,25155,2663,22510,2441,430,328,22080,2457,2645,698,171,236,2474,643,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,10630,1850,4702,1254,4290,1172,687,361,3603,1101,412,327,281,295,131,115,5928,1173,5531,1136,336,397,5195,1079,397,275,0,192,397,275,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8983,1329,4119,979,3778,1010,179,158,3599,992,341,234,39,64,302,228,4864,1005,4421,977,90,114,4331,963,443,210,23,39,420,194,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,228388,12123,112322,7066,100891,6565,12378,1885,88513,6302,11431,1936,3677,1026,7754,1718,116066,7667,103032,6840,2410,918,100622,6911,13034,2059,69,88,12965,2050,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,88101,6211,39796,4296,37798,4185,4789,1267,33009,4016,1998,739,1223,693,775,361,48305,3978,44369,3743,853,580,43516,3722,3936,1060,178,179,3758,1060,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,202178,9064,100077,5093,90889,4614,9204,1424,81685,4525,9188,1352,3876,753,5312,1036,102101,5138,91700,4708,1137,533,90563,4556,10401,1205,132,116,10269,1199,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20753,2647,11161,2215,9812,2146,1075,515,8737,2087,1349,679,795,517,554,456,9592,1422,8465,1207,343,307,8122,1186,1127,598,86,129,1041,571,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,132971,7608,66293,5203,62295,5098,5728,1276,56567,4701,3998,1163,1181,514,2817,1063,66678,4512,59516,4413,1149,866,58367,4390,7162,1093,42,76,7120,1098,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,65979,4141,32965,2708,31297,2642,3590,770,27707,2617,1668,549,539,289,1129,464,33014,2936,29946,3054,536,307,29410,3099,3068,762,45,85,3023,774,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
