GEO_ID,C11001F_001E,C11001F_001M,C11001F_002E,C11001F_002M,C11001F_003E,C11001F_003M,C11001F_004E,C11001F_004M,C11001F_005E,C11001F_005M,NAME,C11001F_001EA,C11001F_001MA,C11001F_002EA,C11001F_002MA,C11001F_003EA,C11001F_003MA,C11001F_004MA,C11001F_004EA,C11001F_005EA,C11001F_005MA,state
0400000US01,15176,2097,11584,1909,7246,1545,4338,1284,3592,1215,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,2930,839,2429,803,1512,681,917,423,501,384,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,109906,5857,85463,5539,52460,4173,33003,3123,24443,3162,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,17603,2264,12911,2000,8754,1793,4157,1371,4692,1432,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1135764,16593,940832,13883,572583,14376,368249,11596,194932,8124,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,64237,4695,49607,3988,32091,3001,17516,2481,14630,2440,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,55915,3469,40667,2615,18036,2073,22631,2162,15248,1950,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,5158,1183,4118,1082,2135,747,1983,864,1040,503,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7982,1357,4763,1133,2444,860,2319,955,3219,1013,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,134231,8397,103063,7415,63458,5658,39605,4073,31168,4018,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,65907,5437,49816,4774,33710,3979,16106,2942,16091,2766,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,5229,1232,3949,1003,2575,865,1374,627,1280,659,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,7896,1502,6663,1420,4045,1018,2618,1057,1233,439,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,189323,6551,159182,6428,99518,5580,59664,4156,30141,2614,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,41301,2893,31264,2417,18817,1973,12447,2100,10037,1805,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,13204,1714,9423,1348,5246,1157,4177,936,3781,998,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,19428,1771,15080,1583,9116,1454,5964,1134,4348,897,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,9053,1482,6822,1290,4272,1160,2550,919,2231,889,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,14113,1841,9252,1618,5960,1188,3292,1050,4861,1177,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,997,402,366,258,334,259,32,39,631,338,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,43597,3140,34095,2955,20112,2549,13983,1901,9502,1618,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,88451,4059,66987,3426,26458,2173,40529,3076,21464,2405,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
0400000US26,29451,2475,23067,2234,14897,1902,8170,1479,6384,1375,Michigan,null,null,null,null,null,null,null,null,null,null,26
0400000US27,19461,1945,15375,1680,8699,1385,6676,1271,4086,975,Minnesota,null,null,null,null,null,null,null,null,null,null,27
0400000US28,4364,1266,3170,992,2310,879,860,541,1194,739,Mississippi,null,null,null,null,null,null,null,null,null,null,28
0400000US29,15854,2095,12161,1785,7840,1348,4321,1199,3693,910,Missouri,null,null,null,null,null,null,null,null,null,null,29
0400000US30,1127,474,529,326,349,230,180,192,598,381,Montana,null,null,null,null,null,null,null,null,null,null,30
