GEO_ID,B23008_001E,B23008_001M,B23008_002E,B23008_002M,B23008_003E,B23008_003M,B23008_004E,B23008_004M,B23008_005E,B23008_005M,B23008_006E,B23008_006M,B23008_007E,B23008_007M,B23008_008E,B23008_008M,B23008_009E,B23008_009M,B23008_010E,B23008_010M,B23008_011E,B23008_011M,B23008_012E,B23008_012M,B23008_013E,B23008_013M,B23008_014E,B23008_014M,B23008_015E,B23008_015M,B23008_016E,B23008_016M,B23008_017E,B23008_017M,B23008_018E,B23008_018M,B23008_019E,B23008_019M,B23008_020E,B23008_020M,B23008_021E,B23008_021M,B23008_022E,B23008_022M,B23008_023E,B23008_023M,B23008_024E,B23008_024M,B23008_025E,B23008_025M,B23008_026E,B23008_026M,B23008_027E,B23008_027M,NAME,B23008_001MA,B23008_001EA,B23008_002MA,B23008_002EA,B23008_003MA,B23008_003EA,B23008_004EA,B23008_004MA,B23008_005MA,B23008_005EA,B23008_006MA,B23008_006EA,B23008_007MA,B23008_007EA,B23008_008MA,B23008_008EA,B23008_009EA,B23008_009MA,B23008_010EA,B23008_010MA,B23008_011MA,B23008_011EA,B23008_012MA,B23008_012EA,B23008_013MA,B23008_013EA,B23008_014EA,B23008_014MA,B23008_015EA,B23008_015MA,B23008_016MA,B23008_016EA,B23008_017MA,B23008_017EA,B23008_018MA,B23008_018EA,B23008_019EA,B23008_019MA,B23008_020EA,B23008_020MA,B23008_021EA,B23008_021MA,B23008_022MA,B23008_022EA,B23008_023MA,B23008_023EA,B23008_024EA,B23008_024MA,B23008_025MA,B23008_025EA,B23008_026EA,B23008_026MA,B23008_027MA,B23008_027EA,state
0400000US01,1058901,5317,344333,5693,199387,6485,115755,7008,76416,5868,5197,1576,2019,890,144946,6525,22235,3199,17591,2926,4644,1578,122711,6228,89890,5899,32821,3573,714568,6822,442870,9199,282001,9944,129999,7281,19121,3404,11749,2377,271698,10506,45062,5240,36559,4967,8503,1941,226636,9387,177382,7814,49254,5371,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,181091,1362,62859,1415,40272,2763,21693,2337,15922,2038,1617,586,1040,591,22587,2392,7135,1380,6463,1326,672,287,15452,1867,11579,1694,3873,1003,118232,1681,77352,3642,47144,3715,23343,2842,5000,1261,1865,735,40880,3738,12842,1976,9189,1874,3653,1643,28038,3463,23431,3097,4607,1273,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1542548,7629,520440,7523,309562,10925,157248,10311,135867,8195,10744,2606,5703,1956,210878,11328,52078,5868,45635,5452,6443,2126,158800,9731,111873,8508,46927,5519,1022108,9782,618930,13959,360745,13819,216274,12408,28710,6050,13201,3423,403178,14869,90065,8428,79411,8374,10654,2872,313113,13917,243342,13248,69771,8852,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,666051,4356,223235,4394,137164,5966,76726,5425,51392,4341,5492,1663,3554,1367,86071,5793,17350,3256,14876,3066,2474,1020,68721,5086,50198,4905,18523,2397,442816,4851,274422,8295,176394,8427,74328,6151,14867,2470,8833,2060,168394,8004,32248,4132,27424,3788,4824,1428,136146,7150,110002,6747,26144,3829,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8830346,13244,2943221,15683,1889861,20929,1040260,19157,760276,18513,52429,5946,36896,5391,1053360,18612,272639,12439,243340,12005,29299,4076,780721,17018,526668,14266,254053,11509,5887125,15919,3899565,35727,2324286,29343,1332705,28945,149759,8647,92815,7624,1987560,32323,479061,18814,427540,16969,51521,7140,1508499,29995,1171598,24767,336901,15500,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1179069,4921,398085,4782,275173,6360,154667,6882,106798,6146,9998,2161,3710,1264,122912,5969,31599,3923,28573,3482,3026,1525,91313,5085,67558,4345,23755,3148,780984,5714,556477,10630,363452,10797,166163,9003,18188,3601,8674,3166,224507,9652,57202,5659,51737,5489,5465,1544,167305,8773,138181,8402,29124,3958,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,778282,2829,231588,3000,152228,4335,97737,4896,49808,3786,3961,1427,722,473,79360,3786,13813,2566,12069,2455,1744,749,65547,3965,51254,3733,14293,2157,546694,3280,378654,6878,268858,8079,95572,6342,10508,2833,3716,1374,168040,6404,29575,3535,27321,3453,2254,967,138465,6045,117491,5797,20974,3025,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,191327,2500,62436,2193,35779,2899,21880,2422,12293,2176,945,807,661,415,26657,2074,5964,1509,5746,1516,218,219,20693,2115,17705,1994,2988,1184,128891,2472,77915,4690,54833,4387,17909,2531,3268,1335,1905,1120,50976,4121,11569,2829,11242,2811,327,245,39407,4505,32579,4192,6828,2030,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,99355,1866,41391,1271,18091,1390,14029,1749,3348,1040,449,342,265,385,23300,1811,3739,1302,2925,1254,814,889,19561,1914,12502,1898,7059,1709,57964,1973,18036,2159,13035,2304,3573,1330,644,383,784,1006,39928,2240,5687,1699,4832,1752,855,572,34241,2607,26060,2697,8181,2181,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3791541,11485,1247835,11464,732006,15324,442024,16049,254058,12297,24973,3440,10951,2860,515829,17627,116555,8829,102428,7822,14127,3279,399274,15746,299686,13002,99588,7579,2543706,14051,1566768,25366,1014916,26656,436044,18107,79596,8305,36212,4844,976938,21447,189477,12089,165822,11521,23655,4324,787461,20084,652623,19452,134838,9053,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
