GEO_ID,C17020G_001E,C17020G_001M,C17020G_002E,C17020G_002M,C17020G_003E,C17020G_003M,C17020G_004E,C17020G_004M,C17020G_005E,C17020G_005M,C17020G_006E,C17020G_006M,C17020G_007E,C17020G_007M,C17020G_008E,C17020G_008M,C17020G_009E,C17020G_009M,NAME,C17020G_001EA,C17020G_001MA,C17020G_002MA,C17020G_002EA,C17020G_003MA,C17020G_003EA,C17020G_004MA,C17020G_004EA,C17020G_005MA,C17020G_005EA,C17020G_006EA,C17020G_006MA,C17020G_007MA,C17020G_007EA,C17020G_008MA,C17020G_008EA,C17020G_009MA,C17020G_009EA,state
0400000US01,62473,5127,17370,2884,10195,2227,6687,1278,488,318,45103,4829,18572,2888,23087,2957,3444,839,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,58461,4487,8485,2619,5098,2046,3351,1088,36,41,49976,4341,25944,2720,23109,2577,923,363,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,189801,11474,41354,5485,20119,3529,20078,2999,1157,494,148447,10878,75219,6638,67037,6493,6191,1379,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,55722,5584,17714,3243,10381,2323,6800,1488,533,333,38008,4727,14459,2642,19736,3093,3813,871,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1555230,33819,258106,14004,114816,7226,132680,8470,10610,1528,1297124,29940,575536,16553,658047,20358,63541,4305,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,165174,9547,31052,4711,15042,3045,14824,2431,1186,740,134122,8536,64573,5384,64670,4828,4879,934,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,83888,5752,14187,2750,6740,1823,6637,1521,810,370,69701,5312,32482,3558,33389,3761,3830,1061,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23905,3387,6293,1809,4609,1509,1567,662,117,188,17612,2846,8709,1909,8274,1708,629,383,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12477,1733,1304,548,125,151,1068,453,111,118,11173,1608,3586,765,6914,1246,673,310,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,411380,19982,83627,9330,46549,6235,33470,4137,3608,1042,327753,15892,143851,10267,163318,9394,20584,2789,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,185237,12491,40850,7099,24160,5172,15692,3244,998,469,144387,9918,75890,7633,63561,5310,4936,1082,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,324489,12876,54475,7714,26310,4763,26312,3731,1853,704,270014,12082,98803,6305,153485,7492,17726,2099,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,37892,4229,10916,2687,4858,1473,5597,1670,461,440,26976,3278,13500,2801,11566,1768,1910,646,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,255477,12303,53296,6216,29750,4751,21628,2941,1918,906,202181,10604,97247,6292,96029,6969,8905,1326,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,134367,7296,34439,3901,21462,2982,12422,1875,555,409,99928,7526,53748,5269,42394,4092,3786,839,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
