GEO_ID,C19001_001E,C19001_001M,C19001_002E,C19001_002M,C19001_003E,C19001_003M,C19001_004E,C19001_004M,C19001_005E,C19001_005M,C19001_006E,C19001_006M,C19001_007E,C19001_007M,C19001_008E,C19001_008M,C19001_009E,C19001_009M,C19001_010E,C19001_010M,C19001_011E,C19001_011M,NAME,C19001_001MA,C19001_001EA,C19001_002EA,C19001_002MA,C19001_003EA,C19001_003MA,C19001_004EA,C19001_004MA,C19001_005MA,C19001_005EA,C19001_006MA,C19001_006EA,C19001_007EA,C19001_007MA,C19001_008EA,C19001_008MA,C19001_009EA,C19001_009MA,C19001_010MA,C19001_010EA,C19001_011MA,C19001_011EA,state
0400000US01,1844546,11416,190357,7832,138695,6217,254909,9132,215706,7997,266811,7047,316000,8022,193457,6444,174387,5782,50765,3631,43459,3141,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,257330,3380,10654,1325,9834,1523,18506,2018,20794,2226,32304,2918,51312,3608,39608,2920,44503,2611,19164,2398,10651,1577,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2356055,12130,199310,9713,133717,6658,288674,9555,269103,9531,354311,11001,434076,11458,263676,9096,256841,8755,84334,5618,72013,5062,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1127621,7837,117175,5167,93398,4676,166117,5707,138832,5874,171517,6179,192375,6133,109274,4779,91952,4306,26723,2795,20258,2403,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12468743,22250,782975,14260,679109,14675,1302713,17528,1171325,18296,1588032,20301,2112377,23656,1488173,20849,1768081,21021,771568,14133,804390,12046,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1975388,9057,134112,5931,92225,4523,198355,6375,189872,7228,275781,7733,370365,11070,245102,8028,268321,7951,107969,5319,93286,4338,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1351643,7309,82288,4024,59299,4058,119474,4789,109825,5899,154266,5441,225045,5726,179185,6991,210700,6319,99410,4038,112151,4373,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,333192,3426,18800,2079,14752,1812,30591,2876,30888,2862,46683,2997,62473,3925,46551,3561,50413,3532,16654,1915,15387,1800,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268670,3200,29641,2532,11462,1724,21040,2606,17567,1945,29263,2721,41572,3404,29481,2814,40423,2850,17878,1756,30343,1964,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106283,31131,593446,12105,447984,13813,928685,16644,868318,18811,1076024,17215,1283849,24908,746683,16941,689939,14688,235660,8261,235695,9151,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3494542,15336,335789,9050,216455,8390,421866,10925,383602,12298,506661,13422,634594,14092,374424,10137,375228,10993,129279,6902,116644,5891,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,448563,5562,28105,2951,18743,1982,32883,2867,37709,3117,61021,4176,84939,4346,62686,3230,75038,4189,26733,2783,20706,1792,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
