GEO_ID,C19101A_001E,C19101A_001M,C19101A_002E,C19101A_002M,C19101A_003E,C19101A_003M,C19101A_004E,C19101A_004M,C19101A_005E,C19101A_005M,C19101A_006E,C19101A_006M,C19101A_007E,C19101A_007M,C19101A_008E,C19101A_008M,C19101A_009E,C19101A_009M,C19101A_010E,C19101A_010M,C19101A_011E,C19101A_011M,NAME,C19101A_001EA,C19101A_001MA,C19101A_002EA,C19101A_002MA,C19101A_003EA,C19101A_003MA,C19101A_004MA,C19101A_004EA,C19101A_005MA,C19101A_005EA,C19101A_006EA,C19101A_006MA,C19101A_007MA,C19101A_007EA,C19101A_008EA,C19101A_008MA,C19101A_009EA,C19101A_009MA,C19101A_010EA,C19101A_010MA,C19101A_011MA,C19101A_011EA,state
0400000US35,380842,7883,21540,2639,15958,2157,39678,3375,39050,3129,53055,3948,71044,4540,51127,3566,53936,3656,19591,1963,15863,2163,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3153437,17879,103299,5518,86411,4800,205253,7512,225243,7131,341327,8257,568264,10899,457274,10802,584860,11658,270454,7232,311052,7368,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1812725,16400,77363,5019,54323,4389,154767,6848,176788,7004,263064,9364,376390,11031,254369,8552,273779,9804,97222,6949,84660,4810,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,161319,3616,5079,1173,2546,532,9893,1105,11904,1347,21841,1742,36340,2103,29097,1976,30073,1776,7373,1041,7173,1218,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2496841,14793,103866,5109,76918,4212,192788,6310,236187,7520,359181,7320,551361,9179,380997,7075,377789,8183,123472,5141,94282,3822,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,752377,6749,35301,2610,24446,1726,67835,3272,80082,3665,114324,4561,161868,5141,108275,4707,107337,4478,26676,1893,26233,1945,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,841092,9963,38584,3358,27156,3029,75361,4497,80698,4635,125000,5226,180792,7116,126358,5078,117061,4940,36491,3279,33591,2607,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,2739604,14916,87228,4337,66849,4093,183342,6008,238590,6186,378735,8201,588979,10652,427519,8630,458780,8423,160355,5597,149227,5066,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,215816,4840,7616,1385,4903,1032,14516,2067,16690,2147,23468,2108,39943,2922,33454,2652,44314,3248,17332,2138,13580,1646,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,850513,11013,34658,3329,23441,2575,72952,4810,79777,4466,125372,6192,183506,6949,126969,6629,134397,6906,37850,3873,31591,3113,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,189175,4036,4267,1095,5756,1393,13894,1742,16579,1752,26316,2267,46825,2785,33209,2391,27814,2328,8148,1329,6367,1090,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1319870,13111,62610,3985,44436,3541,134375,5899,140087,6314,199257,7285,279197,8212,187613,6063,167023,6323,54214,3957,51058,3569,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,4745065,22106,232194,7277,169273,6604,429850,11299,460602,13357,618319,13624,891609,17011,637347,14592,733309,15430,283155,9272,289407,9615,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,598575,7906,21107,2640,15739,2226,39332,3222,50381,3218,83846,4992,142355,5727,97482,4173,94865,4445,28308,2420,25160,2532,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,156490,3418,3981,887,3355,772,13251,1692,12062,1441,21674,1885,34453,2184,26740,2114,24876,1737,9340,1251,6758,980,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,1464489,13403,37252,3560,27176,2962,81592,5474,103686,5102,159439,6500,262928,7822,225693,8535,278705,6997,136131,5985,151887,5491,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,1403084,11712,47144,3237,35387,3364,84011,4727,109719,5218,176364,6700,285540,7567,222148,7397,259093,7521,96495,5348,87183,4329,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,456957,7539,27062,2441,19715,2434,52294,3340,53811,3334,74417,3482,91559,4272,59653,3299,53168,3515,14790,1706,10488,1810,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,1322826,11144,37742,3214,29952,2346,88875,4651,112423,4605,186197,5307,306240,7312,231425,5739,216633,5370,63959,3771,49380,2646,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,133680,3871,3790,931,3325,1071,9718,1677,11716,1692,15060,1715,30312,2259,23284,2536,26156,2298,6104,1035,4215,908,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,616902,9191,142826,5153,68674,3739,125121,4901,81289,4466,80722,3935,65031,3865,23960,2617,18696,2132,5650,1185,4933,939,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
