GEO_ID,B17020H_001E,B17020H_001M,B17020H_002E,B17020H_002M,B17020H_003E,B17020H_003M,B17020H_004E,B17020H_004M,B17020H_005E,B17020H_005M,B17020H_006E,B17020H_006M,B17020H_007E,B17020H_007M,B17020H_008E,B17020H_008M,B17020H_009E,B17020H_009M,B17020H_010E,B17020H_010M,B17020H_011E,B17020H_011M,B17020H_012E,B17020H_012M,B17020H_013E,B17020H_013M,B17020H_014E,B17020H_014M,B17020H_015E,B17020H_015M,B17020H_016E,B17020H_016M,B17020H_017E,B17020H_017M,NAME,B17020H_001EA,B17020H_001MA,B17020H_002MA,B17020H_002EA,B17020H_003MA,B17020H_003EA,B17020H_004MA,B17020H_004EA,B17020H_005EA,B17020H_005MA,B17020H_006EA,B17020H_006MA,B17020H_007EA,B17020H_007MA,B17020H_008MA,B17020H_008EA,B17020H_009MA,B17020H_009EA,B17020H_010EA,B17020H_010MA,B17020H_011EA,B17020H_011MA,B17020H_012EA,B17020H_012MA,B17020H_013EA,B17020H_013MA,B17020H_014MA,B17020H_014EA,B17020H_015MA,B17020H_015EA,B17020H_016EA,B17020H_016MA,B17020H_017EA,B17020H_017MA,state
0400000US01,3136217,3526,405634,16711,27620,2946,5303,1292,39827,4314,33489,3783,258949,11274,19827,2237,20619,2644,2730583,16931,140001,2915,27635,2951,179828,6481,203698,5286,1698788,11174,279036,2243,201597,2868,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,450858,781,33045,4105,2006,756,526,280,2913,1068,3612,1380,21694,2510,1065,518,1229,511,417813,4134,25347,766,4342,941,28002,1922,29867,1759,290430,2559,26514,553,13311,555,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3643754,3693,434403,20408,30108,5102,6568,2065,35943,5229,29071,3906,284261,13156,26224,3029,22228,2511,3209351,20766,144737,5237,29974,3356,189769,6419,192772,6071,1951432,13281,393398,3205,307269,2521,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2127253,2210,322137,13094,27182,3501,3961,990,30409,2772,29136,3128,198238,9109,16488,1992,16723,1692,1805116,13343,91994,3321,20394,2311,122064,4637,127286,3909,1112276,9265,191224,2166,139878,1932,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14626498,10225,1485672,31232,71012,5478,14473,2169,80776,6593,87934,6836,1038406,22194,86500,5067,106571,4943,13140826,32802,557151,5472,125857,5836,717163,10731,808036,12425,8490762,22670,1298816,5140,1143041,5618,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3493163,3784,329666,13426,19760,2747,4014,1185,23947,3464,21878,2682,229723,8297,14777,1920,15567,1714,3163497,13531,165345,2728,35150,3198,209686,5888,216545,5693,2095129,8144,255730,2225,185912,1996,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2461480,3201,153710,9868,7366,1980,1128,484,9019,2049,9727,1900,102243,6820,9240,1328,14987,1976,2307770,10289,99749,2026,23611,1813,155922,3927,174065,4519,1449511,7542,210077,1497,194835,2206,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,576791,989,44571,5705,2651,1125,660,513,3376,1271,2971,1197,30875,3704,2361,660,1677,513,532220,5802,24868,1153,4627,1043,33378,1778,35077,2015,331412,3843,57818,780,45040,732,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,200464,2293,13573,2371,87,102,0,200,0,200,0,200,12989,2366,204,209,293,251,186891,2480,9405,95,1430,487,5236,485,4061,418,145927,2453,12310,261,8522,331,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10718454,7207,1232796,32760,73449,6909,15230,2485,85840,6451,88417,6744,800018,21002,83319,5906,86523,5278,9485658,34274,379249,7291,81536,5997,489855,9554,562380,12204,5616637,21709,1236250,5980,1119751,5541,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
