GEO_ID,C05003G_001E,C05003G_001M,C05003G_002E,C05003G_002M,C05003G_003E,C05003G_003M,C05003G_004E,C05003G_004M,C05003G_005E,C05003G_005M,C05003G_006E,C05003G_006M,C05003G_007E,C05003G_007M,C05003G_008E,C05003G_008M,C05003G_009E,C05003G_009M,C05003G_010E,C05003G_010M,C05003G_011E,C05003G_011M,C05003G_012E,C05003G_012M,C05003G_013E,C05003G_013M,C05003G_014E,C05003G_014M,C05003G_015E,C05003G_015M,NAME,C05003G_001EA,C05003G_001MA,C05003G_002EA,C05003G_002MA,C05003G_003MA,C05003G_003EA,C05003G_004MA,C05003G_004EA,C05003G_005MA,C05003G_005EA,C05003G_006MA,C05003G_006EA,C05003G_007MA,C05003G_007EA,C05003G_008EA,C05003G_008MA,C05003G_009EA,C05003G_009MA,C05003G_010EA,C05003G_010MA,C05003G_011EA,C05003G_011MA,C05003G_012EA,C05003G_012MA,C05003G_013EA,C05003G_013MA,C05003G_014EA,C05003G_014MA,C05003G_015EA,C05003G_015MA,state
0400000US01,64450,5189,31224,2939,14286,2147,14031,2155,255,185,16938,2071,14889,1929,2049,759,33226,3733,14791,2212,14462,2205,329,262,18435,2295,16937,2345,1498,662,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,60229,4733,29038,2677,16162,1882,15922,1848,240,150,12876,1502,12183,1366,693,523,31191,3022,15895,1758,15766,1720,129,157,15296,2035,14904,1958,392,252,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,194293,11560,98350,7341,48655,5009,47904,5013,751,460,49695,4540,39648,4008,10047,2234,95943,7245,47690,4997,46586,5047,1104,639,48253,4768,37244,4163,11009,2343,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,57229,5642,28718,3696,12635,2433,12433,2428,202,229,16083,2333,13838,2096,2245,996,28511,3287,12956,2063,12849,2020,107,143,15555,2157,13537,1896,2018,749,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1594007,33877,804230,20548,356398,11723,349319,11667,7079,1697,447832,15117,340559,11445,107273,7119,789777,19090,344661,11512,339184,11420,5477,1250,445116,12668,338635,11856,106481,6461,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,172773,9552,87444,5435,42205,3786,41567,3734,638,419,45239,3786,40078,3653,5161,1365,85329,6295,38673,4370,38056,4250,617,458,46656,3611,41383,3298,5273,1375,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,88584,5802,45048,3816,21894,2656,21412,2574,482,322,23154,2682,18021,2251,5133,1473,43536,3316,18265,2020,17999,2002,266,190,25271,2655,19708,2217,5563,1237,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24128,3358,11752,2149,6899,1709,6899,1709,0,192,4853,1256,4460,1199,393,278,12376,1767,6448,1475,6448,1475,0,192,5928,1173,5304,1146,624,416,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12760,1744,5842,1170,1723,489,1723,489,0,200,4119,979,3030,864,1089,466,6918,1296,2054,625,1842,592,212,257,4864,1005,4366,1009,498,244,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,423481,20163,211607,12020,97590,8073,93704,7700,3886,1572,114017,7117,82824,6041,31193,3995,211874,12171,95354,7198,93102,7232,2252,936,116520,7719,77821,5539,38699,4449,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
