GEO_ID,B17020G_001E,B17020G_001M,B17020G_002E,B17020G_002M,B17020G_003E,B17020G_003M,B17020G_004E,B17020G_004M,B17020G_005E,B17020G_005M,B17020G_006E,B17020G_006M,B17020G_007E,B17020G_007M,B17020G_008E,B17020G_008M,B17020G_009E,B17020G_009M,B17020G_010E,B17020G_010M,B17020G_011E,B17020G_011M,B17020G_012E,B17020G_012M,B17020G_013E,B17020G_013M,B17020G_014E,B17020G_014M,B17020G_015E,B17020G_015M,B17020G_016E,B17020G_016M,B17020G_017E,B17020G_017M,NAME,B17020G_001EA,B17020G_001MA,B17020G_002EA,B17020G_002MA,B17020G_003MA,B17020G_003EA,B17020G_004MA,B17020G_004EA,B17020G_005EA,B17020G_005MA,B17020G_006EA,B17020G_006MA,B17020G_007EA,B17020G_007MA,B17020G_008MA,B17020G_008EA,B17020G_009MA,B17020G_009EA,B17020G_010MA,B17020G_010EA,B17020G_011EA,B17020G_011MA,B17020G_012EA,B17020G_012MA,B17020G_013EA,B17020G_013MA,B17020G_014MA,B17020G_014EA,B17020G_015MA,B17020G_015EA,B17020G_016EA,B17020G_016MA,B17020G_017EA,B17020G_017MA,state
0400000US01,62473,5127,17370,2884,4555,1341,1010,584,2890,886,1740,738,6687,1278,70,101,418,280,45103,4829,7008,1552,1189,535,4415,889,5960,1366,23087,2957,2338,666,1106,437,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,58461,4487,8485,2619,1554,846,253,250,1580,824,1711,1006,3351,1088,27,33,9,17,49976,4341,8710,1418,1632,584,8664,1525,6938,1287,23109,2577,565,333,358,207,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,189801,11474,41354,5485,7758,1927,834,501,6384,1659,5143,1595,20078,2999,861,410,296,238,148447,10878,25773,3333,4316,1253,25187,3330,19943,2891,67037,6493,4307,982,1884,820,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,55722,5584,17714,3243,4827,1314,503,252,2654,962,2397,962,6800,1488,60,58,473,327,38008,4727,3964,1371,555,357,4085,1065,5855,1626,19736,3093,2124,621,1689,564,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1555230,33819,258106,14004,41309,3818,4892,971,35399,3488,33216,3448,132680,8470,5965,1012,4645,1179,1297124,29940,185547,8212,34313,4009,177827,8291,177849,8710,658047,20358,39230,3245,24311,2426,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,165174,9547,31052,4711,5358,1511,591,364,5542,1406,3551,996,14824,2431,740,503,446,399,134122,8536,19522,2625,4749,910,20077,3025,20225,2299,64670,4828,3065,850,1814,673,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,83888,5752,14187,2750,2542,1123,351,277,1708,881,2139,825,6637,1521,533,305,277,216,69701,5312,11133,1707,2369,738,10073,1763,8907,1698,33389,3761,3009,930,821,443,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23905,3387,6293,1809,2462,981,135,158,1044,528,968,563,1567,662,117,188,0,192,17612,2846,1853,882,813,498,3493,1167,2550,1184,8274,1708,208,116,421,345,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,411380,19982,83627,9330,17395,3047,4381,1294,13710,2677,11063,2168,33470,4137,2170,769,1438,698,327753,15892,46442,5270,8206,1950,44640,5297,44563,4712,163318,9394,11802,2002,8782,1682,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
