GEO_ID,C17010A_001E,C17010A_001M,C17010A_002E,C17010A_002M,C17010A_003E,C17010A_003M,C17010A_004E,C17010A_004M,C17010A_005E,C17010A_005M,C17010A_006E,C17010A_006M,C17010A_007E,C17010A_007M,C17010A_008E,C17010A_008M,C17010A_009E,C17010A_009M,C17010A_010E,C17010A_010M,C17010A_011E,C17010A_011M,C17010A_012E,C17010A_012M,C17010A_013E,C17010A_013M,C17010A_014E,C17010A_014M,C17010A_015E,C17010A_015M,C17010A_016E,C17010A_016M,C17010A_017E,C17010A_017M,NAME,C17010A_001EA,C17010A_001MA,C17010A_002EA,C17010A_002MA,C17010A_003MA,C17010A_003EA,C17010A_004MA,C17010A_004EA,C17010A_005MA,C17010A_005EA,C17010A_006EA,C17010A_006MA,C17010A_007EA,C17010A_007MA,C17010A_008EA,C17010A_008MA,C17010A_009EA,C17010A_009MA,C17010A_010MA,C17010A_010EA,C17010A_011EA,C17010A_011MA,C17010A_012EA,C17010A_012MA,C17010A_013EA,C17010A_013MA,C17010A_014EA,C17010A_014MA,C17010A_015MA,C17010A_015EA,C17010A_016MA,C17010A_016EA,C17010A_017EA,C17010A_017MA,state
0400000US01,905343,10082,86799,4785,39273,3248,23367,2502,47526,4062,7727,1733,4704,1520,39799,3452,33649,3276,818544,9687,686114,10302,259974,7806,132430,6351,42305,3750,23007,2991,90125,5146,44434,3729,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,129076,3630,6125,1370,2106,723,1272,464,4019,1159,1208,720,1208,720,2811,889,2608,861,122951,3579,100013,3457,42380,2615,22938,2208,8150,1067,5354,999,14788,1890,9895,1402,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1283438,15138,153115,7687,63537,4817,41846,3844,89578,6270,20594,2801,16121,2449,68984,5118,60184,4975,1130323,13785,892629,13370,329452,10934,237694,10484,75720,4879,43655,4352,161974,8571,93258,6288,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,614921,7857,73957,4005,33997,2597,19939,2283,39960,3034,7509,1379,5336,1294,32451,2758,28121,2654,540964,7997,452666,7955,168303,5794,88298,4663,27381,2820,15618,2419,60917,3635,34061,2941,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5591628,29656,584296,12715,267241,8667,190158,6557,317055,9767,70506,5151,55024,4561,246549,8458,211756,7947,5007332,28422,3878671,26958,1697993,16288,1128661,18828,377577,10293,196133,7372,751084,14176,407045,10744,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1091675,12752,83497,4210,36228,3552,24528,3216,47269,3248,10207,1853,8128,1741,37062,2953,32446,2808,1008178,11744,827975,11335,354123,9250,180203,7038,62410,4597,38966,3749,117793,4982,69092,3472,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,721158,8266,36284,3210,13341,1917,7180,1520,22943,2621,3712,1152,2081,804,19231,2345,16034,2191,684874,7988,557068,8127,225846,6282,127806,5468,35150,2890,16433,2227,92656,4561,50084,3333,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,167059,3542,8044,1313,3046,798,2055,698,4998,957,836,465,800,454,4162,853,3441,813,159015,3608,125409,3138,46008,2611,33606,2806,11211,1949,6038,1417,22395,1984,11859,1732,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,39394,1989,774,642,463,556,385,488,311,241,0,200,0,200,311,241,145,128,38620,2074,33409,2174,11736,1224,5211,1090,1975,751,1266,604,3236,743,1364,407,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3628011,24449,353085,11340,170464,8434,90023,5899,182621,8099,40441,4472,30153,4056,142180,6542,114053,6379,3274926,25205,2621026,23620,858458,17434,653900,15006,201353,8990,98943,6727,452547,11998,234803,9630,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
