GEO_ID,B12502_001E,B12502_001M,B12502_002E,B12502_002M,B12502_003E,B12502_003M,B12502_004E,B12502_004M,B12502_005E,B12502_005M,B12502_006E,B12502_006M,B12502_007E,B12502_007M,B12502_008E,B12502_008M,B12502_009E,B12502_009M,B12502_010E,B12502_010M,B12502_011E,B12502_011M,NAME,B12502_001MA,B12502_001EA,B12502_002MA,B12502_002EA,B12502_003EA,B12502_003MA,B12502_004EA,B12502_004MA,B12502_005EA,B12502_005MA,B12502_006MA,B12502_006EA,B12502_007MA,B12502_007EA,B12502_008MA,B12502_008EA,B12502_009EA,B12502_009MA,B12502_010EA,B12502_010MA,B12502_011EA,B12502_011MA,state
0400000US01,3874758,2952,1854464,4086,596130,9517,1258334,8722,8604,1739,1249730,8902,2020294,3850,529806,9585,1490488,9381,21932,1993,1468556,9591,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,565162,1193,292160,1117,105171,3936,186989,3813,759,406,186230,3815,273002,1288,77471,3228,195531,3183,897,279,194634,3216,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5129409,1939,2534739,2671,907782,14885,1626957,13990,8827,1649,1618130,13959,2594670,2858,740052,11550,1854618,11780,13950,2016,1840668,11916,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2342376,2165,1141046,2892,336328,8523,804718,8204,3490,919,801228,8271,1201330,2676,275492,6859,925838,6847,10804,1534,915034,6775,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30062390,3289,14850044,3947,5959238,24388,8890806,24066,40720,3072,8850086,24457,15212346,3543,4956797,29159,10255549,28773,101494,4954,10154055,29144,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4087156,2841,2040728,3671,703147,10297,1337581,10008,6119,1184,1331462,9985,2046428,2836,558945,8345,1487483,8385,13390,1464,1474093,8670,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2925822,761,1408200,1630,512296,8032,895904,8151,3977,1078,891927,8547,1517622,1398,457022,7190,1060600,7335,11464,1302,1049136,7450,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,737847,647,353526,1069,128544,3526,224982,3501,1598,651,223384,3529,384321,846,117627,3387,266694,3425,2761,837,263933,3314,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,529068,414,247251,470,146686,3621,100565,3641,501,303,100064,3680,281817,454,160356,3474,121461,3437,1439,504,120022,3487,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15770265,5407,7641196,6279,2675562,21600,4965634,20702,31101,2983,4934533,20513,8129069,6671,2224399,19458,5904670,19380,73484,5488,5831186,19265,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
