GEO_ID,B10059_001E,B10059_001M,B10059_002E,B10059_002M,B10059_003E,B10059_003M,B10059_004E,B10059_004M,B10059_005E,B10059_005M,B10059_006E,B10059_006M,B10059_007E,B10059_007M,B10059_008E,B10059_008M,B10059_009E,B10059_009M,B10059_010E,B10059_010M,B10059_011E,B10059_011M,NAME,B10059_001MA,B10059_001EA,B10059_002MA,B10059_002EA,B10059_003EA,B10059_003MA,B10059_004MA,B10059_004EA,B10059_005MA,B10059_005EA,B10059_006MA,B10059_006EA,B10059_007MA,B10059_007EA,B10059_008EA,B10059_008MA,B10059_009MA,B10059_009EA,B10059_010MA,B10059_010EA,B10059_011MA,B10059_011EA,state
0400000US01,119988,5433,26341,2929,17116,2382,12744,2093,4372,1023,9225,1634,93647,5522,49530,4051,32238,3396,17292,2393,44117,4173,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15120,1947,1847,565,947,339,768,329,179,62,900,422,13273,1828,5100,1010,2492,771,2608,747,8173,1557,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,167088,9266,37188,4192,18403,2634,13352,2160,5051,1621,18785,3073,129900,8514,45620,4400,29151,3605,16469,2390,84280,7470,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,66271,5143,12446,1964,7952,1396,5459,1183,2493,693,4494,1248,53825,4999,28440,2824,18503,2296,9937,1550,25385,3954,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1117380,21493,162463,8205,56758,5488,40512,4645,16246,2100,105705,5923,954917,19582,259616,12361,164939,9918,94677,6031,695301,15645,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,92500,6540,14722,2595,7728,1796,6152,1627,1576,793,6994,1775,77778,6244,29461,3665,19503,2852,9958,1915,48317,4619,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,62737,4835,6441,1491,2862,1062,2412,992,450,274,3579,999,56296,4448,18582,2672,11099,1729,7483,1806,37714,3914,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22515,2980,1805,710,901,472,731,441,170,151,904,546,20710,2811,7479,1556,4540,1137,2939,833,13231,2238,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10592,1468,2616,980,1348,717,1147,656,201,184,1268,600,7976,1275,2836,751,1550,508,1286,508,5140,1133,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,450430,17448,81637,7379,40075,4830,26843,3762,13232,2554,41562,5403,368793,16002,124933,7599,77289,6006,47644,4674,243860,14498,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,264875,12510,52381,4824,25978,3046,18158,2505,7820,1616,26403,3745,212494,10872,91376,7361,58700,5819,32676,4009,121118,8267,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,55428,4158,4072,1294,1654,700,1205,692,449,344,2418,1019,51356,4146,11904,2100,5759,1441,6145,1375,39452,3506,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,28322,2910,5106,1518,2419,970,2026,898,393,325,2687,1109,23216,2457,9091,1656,5787,1321,3304,1130,14125,2365,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,273239,9257,48011,4021,22111,3022,15775,2576,6336,1178,25900,3319,225228,8929,76457,5505,48550,4180,27907,3180,148771,7540,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,135610,7386,23494,3276,12847,1999,9671,1720,3176,819,10647,2159,112116,6353,54908,4835,37829,3758,17079,2377,57208,4563,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,36181,2855,6053,1380,2877,957,1924,747,953,408,3176,966,30128,2677,12624,1829,8085,1572,4539,985,17504,1997,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,46063,3829,5803,1227,3167,814,2161,734,1006,346,2636,770,40260,3683,16294,1915,11351,1828,4943,979,23966,2937,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,97429,6026,20352,2179,13723,1897,9855,1592,3868,996,6629,1156,77077,5583,40948,3394,26205,2963,14743,1868,36129,4144,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,119156,7065,28660,3142,18344,2125,12653,1753,5691,1198,10316,1808,90496,6289,46178,4159,29966,3629,16212,2284,44318,4514,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,16669,2391,1800,596,739,241,616,203,123,101,1061,544,14869,2328,6561,1712,5028,1605,1533,591,8308,1577,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,139181,7571,14754,2369,7160,1512,4913,1241,2247,664,7594,1641,124427,7529,41132,4129,26725,3558,14407,2337,83295,6300,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,121429,6469,13211,2358,7147,1729,5221,1438,1926,711,6064,1511,108218,6149,30680,3432,18079,2622,12601,1824,77538,5079,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,169478,6403,34316,3173,15733,2024,12227,1884,3506,759,18583,2004,135162,6253,49416,3913,30979,3239,18437,1955,85746,5013,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,67342,4182,8776,1459,3695,844,2712,867,983,377,5081,1233,58566,3823,23397,2745,16027,2369,7370,1319,35169,3017,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,81066,4729,21686,2684,11678,1574,8551,1434,3127,882,10008,1899,59380,4208,33225,3511,22692,2893,10533,1987,26155,2894,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,110793,6798,16124,2496,7750,1631,5140,1222,2610,901,8374,1738,94669,6029,38993,4080,25964,3438,13029,2318,55676,4777,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,14202,1779,2891,1020,2161,952,1665,897,496,254,730,330,11311,1714,4905,1035,3392,833,1513,498,6406,1264,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,24071,2560,2562,742,1645,557,1101,440,544,292,917,437,21509,2415,10223,1646,6835,1351,3388,763,11286,1714,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,68247,7039,10776,2516,6131,2000,4703,1653,1428,831,4645,1631,57471,6815,19162,3234,11638,2420,7524,2070,38309,5770,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,19020,2342,972,467,391,278,173,193,218,175,581,337,18048,2259,4675,1147,2952,801,1723,731,13373,2066,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,187065,7517,17544,2305,6779,1412,4685,1192,2094,722,10765,1807,169521,6956,39090,3661,21929,3005,17161,2288,130431,6366,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,54584,4571,13050,2155,6861,1330,4716,1217,2145,684,6189,1620,41534,4122,19534,2846,12264,2142,7270,1564,22000,2936,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,430010,10870,74202,5024,31397,2831,20865,2665,10532,1674,42805,4415,355808,10461,101740,6523,66986,5494,34754,2984,254068,8384,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
