GEO_ID,B25091_001E,B25091_001M,B25091_002E,B25091_002M,B25091_003E,B25091_003M,B25091_004E,B25091_004M,B25091_005E,B25091_005M,B25091_006E,B25091_006M,B25091_007E,B25091_007M,B25091_008E,B25091_008M,B25091_009E,B25091_009M,B25091_010E,B25091_010M,B25091_011E,B25091_011M,B25091_012E,B25091_012M,B25091_013E,B25091_013M,B25091_014E,B25091_014M,B25091_015E,B25091_015M,B25091_016E,B25091_016M,B25091_017E,B25091_017M,B25091_018E,B25091_018M,B25091_019E,B25091_019M,B25091_020E,B25091_020M,B25091_021E,B25091_021M,B25091_022E,B25091_022M,B25091_023E,B25091_023M,NAME,B25091_001MA,B25091_001EA,B25091_002EA,B25091_002MA,B25091_003EA,B25091_003MA,B25091_004EA,B25091_004MA,B25091_005MA,B25091_005EA,B25091_006MA,B25091_006EA,B25091_007MA,B25091_007EA,B25091_008EA,B25091_008MA,B25091_009EA,B25091_009MA,B25091_010EA,B25091_010MA,B25091_011MA,B25091_011EA,B25091_012MA,B25091_012EA,B25091_013EA,B25091_013MA,B25091_014EA,B25091_014MA,B25091_015EA,B25091_015MA,B25091_016MA,B25091_016EA,B25091_017MA,B25091_017EA,B25091_018MA,B25091_018EA,B25091_019EA,B25091_019MA,B25091_020EA,B25091_020MA,B25091_021EA,B25091_021MA,B25091_022MA,B25091_022EA,B25091_023MA,B25091_023EA,state
0400000US01,1289217,12212,769984,10852,51548,3421,120046,5266,151576,6972,121778,5847,79604,4441,55217,4697,37832,3131,49736,3022,99559,5162,3088,922,519233,10290,212190,8016,99965,4592,61016,3746,37239,2826,23508,1901,19197,1872,11882,1885,13686,1723,32387,2884,8163,1270,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,162312,3867,105715,4095,5047,998,13035,1719,21997,2582,18142,2255,13607,1468,9253,1503,6724,1376,8081,1221,9779,1343,50,70,56597,2674,24118,1848,12391,1641,7362,1220,3496,745,1854,624,1470,430,903,483,1370,494,3503,864,130,93,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1501528,15067,1032658,16346,50117,4465,116467,6630,169463,8365,169194,7235,117427,6927,89389,6331,63100,4908,81118,4799,167668,7822,8715,1977,468870,10367,201030,6968,93169,4481,51749,4103,33054,3484,19088,2613,12481,2288,9074,1852,11540,1927,27585,2921,10100,1925,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,750984,9249,441581,7763,35297,2940,80399,4605,89376,4657,64889,4143,46745,3036,29150,2696,19382,2218,26079,2694,46854,3518,3410,994,309403,7087,140391,5987,60470,3377,35860,2886,20885,1855,12164,1674,8423,1171,6623,1249,6355,1008,13836,1550,4396,1003,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6843369,25886,5102167,26938,179551,7139,391360,10268,635814,12464,726858,15350,648907,13026,526006,11166,378659,10439,505089,11962,1072551,16615,37372,3249,1741202,18648,745596,14589,311219,8325,194265,7109,122205,4431,79780,4363,54899,3218,36058,2757,52695,3756,120432,4464,24053,2516,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1271804,10881,954994,11508,48504,3547,120666,5521,174807,6231,153416,5860,119827,5719,84278,4360,52742,3403,67405,4596,127259,6680,6090,1467,316810,6526,147359,5247,56728,2922,34918,2984,20600,2127,14228,1483,9396,1381,6993,1137,8447,1573,15159,1554,2982,941,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,911059,6941,644372,7533,28246,2650,63660,3412,102478,4637,103752,4094,83138,4005,63163,4214,42493,2532,51968,3694,102618,4563,2856,863,266687,5457,63781,3379,53117,2804,35599,2394,24094,2137,18876,1711,14772,1659,10822,1371,13421,1659,29790,2192,2415,809,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,238560,4816,166538,4740,9501,1471,19548,2268,30514,2694,28717,2758,19694,2245,13899,1763,10984,1547,13972,1732,18929,1911,780,423,72022,3318,32023,2414,16286,1846,7098,1281,4482,1037,2612,596,1563,570,1984,621,1649,522,4020,902,305,195,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110625,3425,87297,3574,5995,1078,10227,1342,16151,2103,13130,1562,10416,1281,7857,1447,5715,1044,5593,1205,11850,1446,363,262,23328,1822,11556,1383,4563,866,1943,507,1340,454,801,319,749,385,506,311,322,196,1303,422,245,172,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4741169,31771,2975808,26290,114744,5991,289997,10032,401806,12791,423105,10693,351157,11477,264226,9988,198595,6734,267601,10415,635666,14895,28911,3719,1765361,19804,587940,12304,339527,10762,229390,8947,146610,6641,104677,5021,64934,4075,51108,3552,67087,4550,141961,6348,32127,3167,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
