B08124_012M,B08124_013E,B08124_013M,B08124_014E,B08124_014M,B08124_015E,B08124_015M,B08124_016E,B08124_016M,B08124_017E,B08124_017M,B08124_018E,B08124_018M,B08124_019E,B08124_019M,B08124_020E,B08124_020M,B08124_021E,B08124_021M,B08124_022E,B08124_022M,B08124_023E,B08124_023M,B08124_024E,B08124_024M,B08124_025E,B08124_025M,B08124_026E,B08124_026M,B08124_027E,B08124_027M,B08124_028E,B08124_028M,B08124_029E,B08124_029M,B08124_030E,B08124_030M,B08124_031E,B08124_031M,B08124_032E,B08124_032M,B08124_033E,B08124_033M,B08124_034E,B08124_034M,B08124_035E,B08124_035M,B08124_036E,B08124_036M,B08124_037E,B08124_037M,B08124_038E,B08124_038M,B08124_039E,B08124_039M,B08124_040E,B08124_040M,B08124_041E,B08124_041M,B08124_042E,B08124_042M,B08124_043E,B08124_043M,B08124_044E,B08124_044M,B08124_045E,B08124_045M,B08124_046E,B08124_046M,B08124_047E,B08124_047M,B08124_048E,B08124_048M,B08124_049E,B08124_049M,GEO_ID,B08124_001E,B08124_001M,B08124_002E,B08124_002M,B08124_003E,B08124_003M,B08124_004E,B08124_004M,B08124_005E,B08124_005M,B08124_006E,B08124_006M,B08124_007E,B08124_007M,B08124_008E,B08124_008M,B08124_009E,B08124_009M,B08124_010E,B08124_010M,B08124_011E,B08124_011M,B08124_012E,B08124_012MA,B08124_013EA,B08124_013MA,B08124_014MA,B08124_014EA,B08124_015MA,B08124_015EA,B08124_016MA,B08124_016EA,B08124_017EA,B08124_017MA,B08124_018EA,B08124_018MA,B08124_019MA,B08124_019EA,B08124_020MA,B08124_020EA,B08124_021MA,B08124_021EA,B08124_022MA,B08124_022EA,B08124_023EA,B08124_023MA,B08124_024EA,B08124_024MA,B08124_025EA,B08124_025MA,B08124_026EA,B08124_026MA,B08124_027MA,B08124_027EA,B08124_028MA,B08124_028EA,B08124_029EA,B08124_029MA,B08124_030EA,B08124_030MA,B08124_031EA,B08124_031MA,B08124_032MA,B08124_032EA,B08124_033MA,B08124_033EA,B08124_034MA,B08124_034EA,B08124_035EA,B08124_035MA,B08124_036EA,B08124_036MA,B08124_037EA,B08124_037MA,B08124_038MA,B08124_038EA,B08124_039EA,B08124_039MA,B08124_040MA,B08124_040EA,B08124_041EA,B08124_041MA,B08124_042EA,B08124_042MA,B08124_043MA,B08124_043EA,B08124_044MA,B08124_044EA,B08124_045MA,B08124_045EA,B08124_046EA,B08124_046MA,B08124_047EA,B08124_047MA,B08124_048EA,B08124_048MA,B08124_049MA,B08124_049EA,NAME,B08124_001MA,B08124_001EA,B08124_002EA,B08124_002MA,B08124_003EA,B08124_003MA,B08124_004MA,B08124_004EA,B08124_005MA,B08124_005EA,B08124_006EA,B08124_006MA,B08124_007MA,B08124_007EA,B08124_008EA,B08124_008MA,B08124_009MA,B08124_009EA,B08124_010MA,B08124_010EA,B08124_011MA,B08124_011EA,B08124_012EA,state
7219,248060,8327,6163,1635,194044,9491,49914,4677,40222,4111,37956,3552,30797,2782,34473,3846,682,408,9329,1497,1788,703,2655,820,2009,678,1091,584,1786,609,0,190,21156,2707,6068,1296,3377,908,5546,1200,2733,1135,2867,1103,565,298,20200,2520,4600,1357,5756,1486,2018,749,2896,993,4725,1167,205,205,51126,4304,23154,2662,6905,1551,14394,2578,3886,1038,2787,772,0,190,0400000US01,1953274,17253,643588,12295,332352,9739,477544,10897,197477,8289,294698,9855,7615,1705,1657419,17029,558064,11221,273437,9203,415621,10694,156074,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
2772,22585,2788,5638,1129,43244,3560,13132,1822,8100,2270,10404,2000,6430,1198,4249,910,929,570,6474,1704,1090,427,1371,661,2511,1067,581,331,921,579,0,149,26407,1773,7976,1183,4700,718,5012,812,2828,779,5421,1222,470,324,17830,1646,5130,765,3013,750,2062,520,4169,894,2942,699,514,295,16875,2033,7085,1524,3133,880,2522,711,2194,812,1408,552,533,502,0400000US02,348777,5794,122414,5129,56512,4411,79888,4875,44353,3445,37526,3605,8084,1473,237947,6151,88001,4311,36195,3395,57377,4161,28151,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
8598,189530,9622,3812,956,308658,11901,83432,5899,69768,7410,78028,5799,40459,4558,36414,3881,557,357,52557,4841,10663,1971,16535,3324,16805,2315,3419,1051,5135,1230,0,229,58221,6439,14073,2186,19029,3560,15810,4158,4730,1121,3657,1246,922,395,74987,5819,20819,3317,21161,3309,13551,2072,6904,1643,12363,2691,189,195,145782,8522,66928,6076,20697,3293,40730,4602,9014,2012,6780,2008,1633,490,0400000US04,2650164,18238,902299,18492,537344,14703,705350,15068,244179,10281,253879,11002,7113,1263,2009959,20339,706384,16007,390154,12450,540426,13649,179653,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
4921,164193,7217,2301,1037,125188,7263,31797,3048,25794,2988,25066,3096,19026,2556,23403,2548,102,129,5271,1187,848,405,1949,741,603,291,454,313,1417,815,0,192,22777,2684,6414,1554,5354,1507,4631,967,3983,1280,2182,727,213,204,15992,2600,2499,824,4504,1281,2742,912,2034,732,4213,1493,0,192,40569,3617,16767,2470,8666,1541,9557,2163,2635,837,2855,776,89,175,0400000US05,1215837,12175,376424,9302,210895,7266,299881,8588,127669,5419,198263,7597,2705,1074,1006040,12866,318099,8539,164628,6479,257282,8192,99537,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
16640,1282550,19417,36549,3057,1780802,26860,514555,12131,355470,11980,387371,11552,281079,11533,237657,10034,4670,1364,827736,16053,245528,8951,239964,9027,202699,8023,45749,3901,92659,5457,1137,523,445440,12870,133695,6872,126629,6817,111288,6458,29217,3423,34321,3401,10290,2630,380879,11803,123962,6710,90190,6985,69106,4674,45627,4354,50259,4754,1735,620,857352,17561,409036,10764,175218,6721,184917,7102,43488,3712,33889,3449,10804,2148,0400000US06,16047067,39617,5861786,37743,3033258,31976,3872810,33713,1482693,23359,1731335,25739,65185,4614,11754858,46377,4435010,31740,2045787,29927,2917429,31840,1037533,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
7208,175532,7116,11564,2230,241770,7994,75724,5164,51069,4081,47116,3891,41010,3343,24851,3063,2000,659,77042,4988,26235,2836,18548,2731,19587,2752,4895,1537,7716,1655,61,105,72487,4928,23562,2949,16799,2034,16066,2183,4798,1099,3762,1252,7500,711,61878,4755,23546,2668,10866,2043,13056,2259,5764,1448,8309,1676,337,259,154954,7327,85791,5209,18628,2557,39292,3732,5469,1122,5539,1438,235,295,0400000US08,2477748,12566,984773,15092,420136,11494,595711,13028,229722,8034,225709,8557,21697,2316,1869617,13390,749915,14952,304226,9894,460594,11046,167786,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
4940,127320,7137,2667,1043,148783,8231,42591,3695,35608,4203,32772,3500,17711,2932,20049,2607,52,93,80026,4791,31144,2835,18651,2282,20953,2521,2905,1036,6323,1762,50,82,51370,4101,18174,2390,12224,1977,12902,2005,3190,2019,3623,1074,1257,428,21542,3033,7101,1393,5671,1588,3413,937,1834,842,3383,1142,140,136,72435,4059,40769,3202,7696,1363,16638,1919,3897,1180,2068,722,1367,845,0400000US09,1711088,11556,698586,12642,302337,8371,413099,9738,128767,6053,162766,8267,5533,1306,1336932,12437,558807,11361,222487,7743,326421,8815,99230,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
2904,35153,2995,1093,516,36871,3571,13423,2206,7471,1397,5806,1184,4649,1124,5522,1381,0,192,13588,2199,4439,1160,3132,1131,3256,845,331,296,2430,1147,0,192,8758,1772,2058,735,2818,1081,1882,709,825,695,1175,645,0,192,4098,996,1445,657,896,425,481,327,460,304,816,408,0,192,15023,1984,7170,1144,2297,895,3646,873,725,509,1185,732,0,192,0400000US10,415063,5667,155390,5291,73488,4183,99346,5086,39465,2854,46281,3248,1093,516,336725,7468,126855,4778,56874,3764,84275,5132,32475,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1326,5717,1186,266,152,19792,2593,11213,2096,3102,938,2601,680,1829,850,1047,461,0,200,121460,5348,71775,3696,18853,2768,23314,2398,2663,1384,4696,1464,159,137,36200,3038,24539,2456,4252,1141,5642,1448,203,224,726,415,838,528,13028,1723,9647,1463,1560,619,1086,515,354,387,381,272,0,200,14700,2159,9120,1504,3403,1230,1716,800,418,363,43,71,0,200,0400000US11,306801,5723,185817,4510,45485,4160,51166,3857,10460,2196,12610,2078,1263,528,101621,4559,59523,3538,14315,1863,16807,2260,4993,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
16712,564971,14472,15941,2433,791693,21826,203510,9697,202948,9932,191036,10034,118855,8167,73524,5876,1820,670,167591,9709,27393,3964,65598,5149,43079,4297,14677,2964,16397,2625,447,295,121801,7502,27554,3168,42640,5127,31493,3402,9781,2325,8401,1749,1932,780,171793,8100,35790,3882,49274,5395,35090,3986,20929,3602,30048,4089,662,378,368113,13214,164359,8049,47420,5080,105049,6858,25303,3364,19036,3567,6946,1277,0400000US12,7991880,34064,2631280,28635,1696791,25676,2204883,31313,718801,20067,712377,15628,27748,2909,6370889,38977,2172674,25686,1288911,22582,1799136,28710,529256,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
