GEO_ID,B01002F_001E,B01002F_001M,B01002F_002E,B01002F_002M,B01002F_003E,B01002F_003M,NAME,B01002F_001MA,B01002F_001EA,B01002F_002EA,B01002F_002MA,B01002F_003MA,B01002F_003EA,state
0400000US01,27.1,1.0,27.1,1.1,27.2,3.4,Alabama,null,null,null,null,null,null,01
0400000US02,25.5,3.8,24.9,3.0,27.1,5.0,Alaska,null,null,null,null,null,null,02
0400000US04,27.2,0.8,27.2,1.1,27.2,1.2,Arizona,null,null,null,null,null,null,04
0400000US05,24.2,1.8,24.1,1.7,24.2,4.7,Arkansas,null,null,null,null,null,null,05
0400000US06,27.8,0.2,27.7,0.2,28.0,0.3,California,null,null,null,null,null,null,06
0400000US08,28.7,1.1,29.1,1.4,28.4,1.5,Colorado,null,null,null,null,null,null,08
0400000US09,27.6,1.2,27.3,1.8,27.9,1.2,Connecticut,null,null,null,null,null,null,09
0400000US10,28.0,2.2,26.1,3.0,30.6,3.9,Delaware,null,null,null,null,null,null,10
0400000US11,27.7,1.7,28.5,2.5,26.9,1.9,District of Columbia,null,null,null,null,null,null,11
0400000US12,29.5,0.9,28.1,1.4,31.1,1.1,Florida,null,null,null,null,null,null,12
0400000US13,25.0,1.1,25.5,1.0,23.4,1.6,Georgia,null,null,null,null,null,null,13
0400000US15,33.4,2.6,34.2,1.7,32.3,7.4,Hawaii,null,null,null,null,null,null,15
0400000US16,31.1,2.7,31.0,3.0,31.3,5.3,Idaho,null,null,null,null,null,null,16
0400000US17,26.9,0.5,27.2,0.6,26.5,0.8,Illinois,null,null,null,null,null,null,17
0400000US18,25.4,1.0,25.4,1.0,25.5,2.2,Indiana,null,null,null,null,null,null,18
0400000US19,26.2,3.4,28.9,3.3,25.0,3.0,Iowa,null,null,null,null,null,null,19
0400000US20,26.0,1.4,26.2,1.4,25.2,2.7,Kansas,null,null,null,null,null,null,20
0400000US21,22.4,1.9,22.8,1.7,20.9,3.2,Kentucky,null,null,null,null,null,null,21
0400000US22,29.9,1.3,29.2,3.1,31.0,1.6,Louisiana,null,null,null,null,null,null,22
0400000US23,28.7,7.0,30.2,5.0,21.2,12.1,Maine,null,null,null,null,null,null,23
0400000US24,27.2,0.8,27.3,0.9,27.1,1.4,Maryland,null,null,null,null,null,null,24
0400000US25,27.7,0.6,26.7,1.3,28.6,0.7,Massachusetts,null,null,null,null,null,null,25
0400000US26,29.0,1.5,29.0,1.8,29.1,2.1,Michigan,null,null,null,null,null,null,26
0400000US27,25.5,1.6,27.8,1.6,23.3,2.6,Minnesota,null,null,null,null,null,null,27
0400000US28,28.9,1.8,31.4,2.9,25.8,2.3,Mississippi,null,null,null,null,null,null,28
0400000US29,25.4,1.8,26.0,2.4,24.3,1.9,Missouri,null,null,null,null,null,null,29
0400000US30,39.0,11.2,39.2,11.9,37.4,23.0,Montana,null,null,null,null,null,null,30
0400000US31,23.9,1.7,26.0,2.9,21.1,1.6,Nebraska,null,null,null,null,null,null,31
0400000US32,26.7,1.2,27.6,2.1,25.8,1.3,Nevada,null,null,null,null,null,null,32
0400000US33,21.6,1.4,21.5,2.0,22.3,11.8,New Hampshire,null,null,null,null,null,null,33
0400000US34,29.9,0.5,29.5,0.6,30.4,0.7,New Jersey,null,null,null,null,null,null,34
0400000US35,31.1,1.3,30.0,1.7,32.4,1.5,New Mexico,null,null,null,null,null,null,35
0400000US36,30.0,0.3,28.5,0.4,31.4,0.4,New York,null,null,null,null,null,null,36
0400000US37,25.7,0.8,26.6,0.7,24.1,1.5,North Carolina,null,null,null,null,null,null,37
0400000US38,25.6,7.0,25.8,8.1,23.5,13.3,North Dakota,null,null,null,null,null,null,38
0400000US39,27.4,1.4,28.5,2.0,26.3,2.2,Ohio,null,null,null,null,null,null,39
0400000US40,26.4,1.0,26.6,1.3,26.0,2.2,Oklahoma,null,null,null,null,null,null,40
0400000US41,24.4,0.9,24.5,1.3,24.3,1.2,Oregon,null,null,null,null,null,null,41
0400000US42,26.3,0.9,25.7,1.3,26.7,1.4,Pennsylvania,null,null,null,null,null,null,42
0400000US44,29.2,1.7,27.3,1.3,31.4,1.7,Rhode Island,null,null,null,null,null,null,44
0400000US45,26.8,2.4,28.6,1.5,22.8,2.8,South Carolina,null,null,null,null,null,null,45
0400000US46,27.2,4.5,27.5,4.5,25.5,7.1,South Dakota,null,null,null,null,null,null,46
0400000US47,25.8,0.7,26.8,1.2,23.0,2.2,Tennessee,null,null,null,null,null,null,47
0400000US48,27.7,0.4,27.8,0.5,27.6,0.5,Texas,null,null,null,null,null,null,48
0400000US49,24.6,1.3,23.9,1.1,26.1,2.0,Utah,null,null,null,null,null,null,49
0400000US50,33.1,6.4,37.4,8.7,27.8,16.4,Vermont,null,null,null,null,null,null,50
0400000US51,28.3,1.2,29.5,0.9,27.1,1.7,Virginia,null,null,null,null,null,null,51
0400000US53,24.4,0.9,25.9,1.2,22.4,1.0,Washington,null,null,null,null,null,null,53
0400000US54,18.3,12.2,20.8,10.1,12.8,18.7,West Virginia,null,null,null,null,null,null,54
0400000US55,27.6,1.2,27.3,1.6,28.1,1.7,Wisconsin,null,null,null,null,null,null,55
0400000US56,28.3,2.2,27.5,2.1,30.2,2.7,Wyoming,null,null,null,null,null,null,56
0400000US72,35.5,1.1,34.9,1.4,36.2,1.4,Puerto Rico,null,null,null,null,null,null,72
