GEO_ID,B17003_001E,B17003_001M,B17003_002E,B17003_002M,B17003_003E,B17003_003M,B17003_004E,B17003_004M,B17003_005E,B17003_005M,B17003_006E,B17003_006M,B17003_007E,B17003_007M,B17003_008E,B17003_008M,B17003_009E,B17003_009M,B17003_010E,B17003_010M,B17003_011E,B17003_011M,B17003_012E,B17003_012M,B17003_013E,B17003_013M,B17003_014E,B17003_014M,B17003_015E,B17003_015M,B17003_016E,B17003_016M,B17003_017E,B17003_017M,B17003_018E,B17003_018M,B17003_019E,B17003_019M,B17003_020E,B17003_020M,B17003_021E,B17003_021M,B17003_022E,B17003_022M,B17003_023E,B17003_023M,NAME,B17003_001MA,B17003_001EA,B17003_002MA,B17003_002EA,B17003_003MA,B17003_003EA,B17003_004EA,B17003_004MA,B17003_005EA,B17003_005MA,B17003_006EA,B17003_006MA,B17003_007MA,B17003_007EA,B17003_008MA,B17003_008EA,B17003_009EA,B17003_009MA,B17003_010EA,B17003_010MA,B17003_011EA,B17003_011MA,B17003_012MA,B17003_012EA,B17003_013MA,B17003_013EA,B17003_014MA,B17003_014EA,B17003_015MA,B17003_015EA,B17003_016EA,B17003_016MA,B17003_017EA,B17003_017MA,B17003_018MA,B17003_018EA,B17003_019MA,B17003_019EA,B17003_020MA,B17003_020EA,B17003_021EA,B17003_021MA,B17003_022EA,B17003_022MA,B17003_023EA,B17003_023MA,state
0400000US01,3133935,4578,452346,12506,173792,6734,65312,4418,61052,4361,34876,2932,12552,2107,278554,7950,89366,5838,96257,5398,76558,4569,16373,2361,2681589,13196,1293771,7333,200766,7814,394855,7798,377059,8839,321091,6998,1387818,8621,172179,6757,413612,7776,445274,8467,356753,8290,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,450471,1797,34419,2539,15499,1755,3087,650,6969,1199,4152,1005,1291,577,18920,1794,3435,770,7524,1627,6607,1238,1354,468,416052,3151,213378,2231,15783,1899,63326,3286,80037,3823,54232,3664,202674,2089,14282,1582,47746,2663,77845,3870,62801,3103,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4135643,4316,588852,18747,261188,11230,89067,6496,76483,5157,66706,5991,28932,3260,327664,11876,104160,7576,94329,6171,98719,5715,30456,2958,3546791,19637,1737643,12793,201685,8301,403592,13472,594630,14622,537736,12027,1809148,11909,184259,7151,437485,10950,670516,14150,516888,9996,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1902447,4064,286055,9012,113060,4487,38336,3416,45948,3636,22146,2725,6630,1247,172995,6239,47998,3759,65723,4585,49599,3429,9675,1823,1616392,10096,796855,6679,112020,5908,288184,7366,213153,6995,183498,6371,819537,6977,102050,4928,275533,8820,248726,8637,193228,6580,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,24085354,6349,3125429,39146,1343077,20988,499828,12279,348954,12013,325574,10963,168721,7079,1782352,23625,680787,12522,431038,10844,459885,10437,210642,8348,20959925,40477,10336584,23511,1694735,23062,2138904,28986,3035468,25981,3467477,30230,10623341,23685,1621902,19641,2124504,23236,3345359,25498,3531576,24506,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3330945,3430,332720,11064,146469,6849,34739,3736,42549,3892,40528,3492,28653,3223,186251,6976,43112,3327,53649,4210,59734,4011,29756,2922,2998225,11638,1489862,6914,126633,5335,318613,8904,452514,9628,592102,9401,1508363,8543,106960,5558,322695,7720,490443,11012,588265,11771,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2399147,2004,208379,9062,83170,5449,24484,2758,27980,3168,17649,2222,13057,2148,125209,5683,36735,3673,41705,3314,29900,2777,16869,1811,2190768,9789,1053414,5978,100468,6026,294498,8224,249356,8221,409092,7643,1137354,5804,92242,4686,294141,7623,311792,6147,439179,8351,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,601137,897,53165,4112,19323,2442,5660,1323,8267,1642,3871,1080,1525,673,33842,2875,10253,1733,12958,1865,7261,1576,3370,1064,547972,4207,263674,2537,32917,2678,80168,4082,67408,3779,83181,3129,284298,3167,26710,2539,87443,4364,82569,3690,87576,3460,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,421168,879,57622,4332,22880,2330,8601,1503,5886,1376,4733,1327,3660,1088,34742,3132,10059,1483,10843,1740,8074,1496,5766,1299,363546,4364,173147,2541,17350,2308,27043,3223,26115,2382,102639,3242,190399,3259,16414,1871,29519,2450,32607,2376,111859,3295,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13049187,9039,1763052,29838,759359,19790,235262,10390,275447,11506,163573,7866,85077,6262,1003693,16672,273645,9671,361273,10634,261069,9177,107706,7276,11286135,28881,5434465,19880,664946,17801,1581328,24142,1588861,22720,1599330,20165,5851670,17693,615695,13121,1732494,23941,1882380,26982,1621101,23632,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
