GEO_ID,C19101H_001E,C19101H_001M,C19101H_002E,C19101H_002M,C19101H_003E,C19101H_003M,C19101H_004E,C19101H_004M,C19101H_005E,C19101H_005M,C19101H_006E,C19101H_006M,C19101H_007E,C19101H_007M,C19101H_008E,C19101H_008M,C19101H_009E,C19101H_009M,C19101H_010E,C19101H_010M,C19101H_011E,C19101H_011M,NAME,C19101H_001EA,C19101H_001MA,C19101H_002EA,C19101H_002MA,C19101H_003MA,C19101H_003EA,C19101H_004MA,C19101H_004EA,C19101H_005MA,C19101H_005EA,C19101H_006EA,C19101H_006MA,C19101H_007MA,C19101H_007EA,C19101H_008MA,C19101H_008EA,C19101H_009EA,C19101H_009MA,C19101H_010MA,C19101H_010EA,C19101H_011MA,C19101H_011EA,state
0400000US01,883125,9439,34336,3487,28731,3127,79229,4564,88030,4910,129011,4474,184959,6636,131494,4844,131884,5376,40708,3216,34743,2633,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,125113,3766,3026,976,1728,649,4902,1057,6664,1363,11799,1539,27299,2705,20056,2086,27770,2488,13945,1960,7924,1339,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,988956,12551,36109,4367,22343,2897,71278,4438,85032,4541,140922,7144,202757,7731,154077,7598,164804,6428,57122,4859,54512,4063,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,593511,7493,27531,2512,23953,2801,61114,3496,68570,4254,93769,4360,127245,5134,81048,4034,73146,4071,21677,2526,15458,2022,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3843217,24045,111274,5629,77599,4964,218815,8002,239999,8348,395424,10409,632065,11876,548968,12807,779187,12740,378666,10547,461220,9588,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,932827,11549,27170,2509,15846,2044,48673,3572,61945,4035,110504,5704,182354,7611,144678,6583,187234,6759,81688,4316,72735,3699,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,664004,7320,12239,1857,8160,1662,25686,2308,34168,3267,59340,3539,107073,4841,105925,4756,146416,4994,75356,3497,89641,4007,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,156144,3073,3130,759,1906,580,7235,1365,11369,1746,19126,2040,30538,2413,29272,2688,31614,2472,11578,1675,10376,1291,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,34251,1814,39,65,124,177,78,92,350,334,749,376,1679,549,2048,628,6399,1129,5898,1149,16887,1523,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2834268,19461,102238,5607,68360,5033,213137,7998,289900,9935,416176,9579,607027,17492,408510,12408,417950,10745,152235,6643,158735,7472,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
