GEO_ID,B25116_001E,B25116_001M,B25116_002E,B25116_002M,B25116_003E,B25116_003M,B25116_004E,B25116_004M,B25116_005E,B25116_005M,B25116_006E,B25116_006M,B25116_007E,B25116_007M,B25116_008E,B25116_008M,B25116_009E,B25116_009M,B25116_010E,B25116_010M,B25116_011E,B25116_011M,B25116_012E,B25116_012M,B25116_013E,B25116_013M,B25116_014E,B25116_014M,B25116_015E,B25116_015M,B25116_016E,B25116_016M,B25116_017E,B25116_017M,B25116_018E,B25116_018M,B25116_019E,B25116_019M,B25116_020E,B25116_020M,B25116_021E,B25116_021M,B25116_022E,B25116_022M,B25116_023E,B25116_023M,NAME,B25116_001MA,B25116_001EA,B25116_002MA,B25116_002EA,B25116_003MA,B25116_003EA,B25116_004EA,B25116_004MA,B25116_005EA,B25116_005MA,B25116_006MA,B25116_006EA,B25116_007MA,B25116_007EA,B25116_008EA,B25116_008MA,B25116_009EA,B25116_009MA,B25116_010EA,B25116_010MA,B25116_011MA,B25116_011EA,B25116_012MA,B25116_012EA,B25116_013MA,B25116_013EA,B25116_014EA,B25116_014MA,B25116_015EA,B25116_015MA,B25116_016EA,B25116_016MA,B25116_017MA,B25116_017EA,B25116_018MA,B25116_018EA,B25116_019EA,B25116_019MA,B25116_020EA,B25116_020MA,B25116_021EA,B25116_021MA,B25116_022MA,B25116_022EA,B25116_023MA,B25116_023EA,state
0400000US39,4538555,15280,3039713,16684,727067,10864,234558,7698,171284,5285,131196,4274,190029,4124,2312646,15544,1278190,12783,520416,6605,312831,4409,201209,3956,1498842,14730,637655,12007,354217,9599,119380,5044,67758,3667,96300,3733,861187,12235,727173,10994,80511,4280,32085,2620,21418,1811,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,1442731,7338,966998,7973,232174,5597,71259,4000,51926,2689,49372,2658,59617,2486,734824,7794,410500,5528,159257,3900,103629,2700,61438,1983,475733,8920,176750,5626,107212,4816,28174,2138,17141,1637,24223,2129,298983,8214,257918,7450,24824,2111,10529,1349,5712,907,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,1516979,8379,922012,11388,209846,7682,59975,4097,55599,3730,46255,2982,48017,3075,712166,9461,359057,7614,176745,4547,107387,3281,68977,2936,594967,11145,221412,8016,119189,6014,43122,3390,22778,2493,36323,2687,373555,9269,319211,9407,32435,2827,11950,1770,9959,1459,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,4937333,13801,3431023,18207,785436,12325,244738,7264,181197,4765,146432,5269,213069,4590,2645587,17729,1447333,12771,608157,7457,349944,5347,240153,4691,1506310,15295,682473,11645,353622,8829,115559,4770,75818,3859,137474,5280,823837,12574,670745,11585,81086,4533,36543,2300,35463,2606,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,412259,3948,249754,5701,56306,3401,18394,2028,13154,1853,9143,1230,15615,1430,193448,5174,107653,3827,44617,2390,23091,1385,18087,1485,162505,5344,69843,3954,34863,3134,12818,1662,8748,1505,13414,1544,92662,4786,75955,3866,9450,1663,4031,898,3226,676,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1768834,12783,1223474,12626,291913,8975,93727,6038,69783,4707,59275,3760,69128,3774,931561,13571,494837,11622,215463,5271,143360,4608,77901,2741,545360,11328,191578,7909,113401,6254,38609,3818,19139,1858,20429,2483,353782,9397,301410,9588,31104,2819,14676,2211,6592,1219,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,323215,3255,221382,3961,49364,2937,17657,1902,11564,1418,9735,1178,10408,1168,172018,4200,101546,3150,35823,1781,20703,1179,13946,1194,101833,4336,43703,3235,24080,2459,6873,1269,3610,852,9140,1137,58130,3511,47781,3117,4937,1092,1987,524,3425,633,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,2467428,12592,1660076,14005,398021,10666,135831,6607,94848,4510,77350,3588,89992,4009,1262055,15444,696529,11770,279015,6454,181368,3935,105143,3593,807352,12867,317588,9296,188037,7940,60090,4160,33702,2694,35759,2722,489764,11414,418676,10676,42999,2570,17597,2373,10492,1612,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,8850370,21114,5568300,32153,1079228,15437,373703,11098,261970,8932,209176,6809,234379,6223,4489072,29138,2699988,25897,936968,11508,537722,6914,314394,6092,3282070,27556,1131021,18487,756448,16329,167796,7450,98236,4865,108541,4652,2151049,25551,1880342,23843,159612,6009,65172,4307,45923,3511,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,884253,5722,613499,6550,100390,4291,37134,3137,23671,2006,16206,1464,23379,2006,513109,7113,321196,6539,97048,2631,55791,2055,39074,1896,270754,7097,74963,4180,46565,3543,12511,1893,6292,1284,9595,1541,195791,6219,176818,5571,12270,1850,4695,1022,2008,611,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,257358,2656,183452,2866,41566,2435,12107,1403,12436,1405,7784,959,9239,992,141886,2902,76748,2164,34388,1398,19275,976,11475,884,73906,2835,29570,2295,15832,1693,4806,853,2679,591,6253,1039,44336,2408,38181,2133,3484,881,1598,480,1073,345,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,2990650,13887,2013595,16957,447719,10427,159608,7054,109454,4215,81794,3878,96863,4220,1565876,16199,892675,12252,344090,6634,207997,4433,121114,2967,977055,13943,339362,8388,204042,6777,57954,3973,31113,2625,46253,3346,637693,11639,546121,10424,54659,3775,22683,2343,14230,1715,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,2632621,9876,1653712,13459,358846,8437,120500,5844,96406,4998,65720,3900,76220,3818,1294866,12603,728385,10937,297629,6659,169708,3611,99144,3018,978909,14209,365545,8292,212348,7317,66140,3584,36415,3122,50642,3095,613364,12341,527855,10833,47515,3492,20200,2154,17794,2372,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,735408,6147,531392,6308,133913,5168,35129,3178,33508,2975,26672,2003,38604,2423,397479,6963,202712,4747,95813,3357,63370,2289,35584,2331,204016,5469,87585,3959,47769,3298,19116,1987,10351,1316,10349,1528,116431,4978,98446,4863,9944,1511,5468,1389,2573,622,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,2275352,8388,1543908,11604,340658,8813,117075,5126,79226,3866,59515,2803,84842,3456,1203250,11720,692892,9528,267294,3872,149268,2853,93796,2487,731444,10367,315004,6735,167000,5913,53339,3017,31560,2357,63105,3152,416440,8892,358195,7683,32471,2483,12271,1339,13503,1524,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,222539,3310,157223,3270,35742,2388,12902,1591,9270,1322,6268,1008,7302,908,121481,3510,70076,2929,27798,1436,15317,1166,8290,781,65316,3158,24295,2335,13797,1748,4688,1166,1911,637,3899,934,41021,3074,34974,2808,3990,918,1298,653,759,434,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,1256151,8804,876741,9559,191086,6163,50690,3011,48751,2752,47352,2583,44293,2561,685655,9063,341707,7149,146947,4235,118132,3259,78869,3041,379410,8608,116802,5121,54203,3848,25137,2054,22440,2319,15022,1664,262608,7114,214007,6617,24174,2237,15679,1649,8748,1296,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
