GEO_ID,B18104_001E,B18104_001M,B18104_002E,B18104_002M,B18104_003E,B18104_003M,B18104_004E,B18104_004M,B18104_005E,B18104_005M,B18104_006E,B18104_006M,B18104_007E,B18104_007M,B18104_008E,B18104_008M,B18104_009E,B18104_009M,B18104_010E,B18104_010M,B18104_011E,B18104_011M,B18104_012E,B18104_012M,B18104_013E,B18104_013M,B18104_014E,B18104_014M,B18104_015E,B18104_015M,B18104_016E,B18104_016M,B18104_017E,B18104_017M,B18104_018E,B18104_018M,B18104_019E,B18104_019M,B18104_020E,B18104_020M,B18104_021E,B18104_021M,B18104_022E,B18104_022M,B18104_023E,B18104_023M,B18104_024E,B18104_024M,B18104_025E,B18104_025M,B18104_026E,B18104_026M,B18104_027E,B18104_027M,B18104_028E,B18104_028M,B18104_029E,B18104_029M,B18104_030E,B18104_030M,B18104_031E,B18104_031M,B18104_032E,B18104_032M,B18104_033E,B18104_033M,NAME,B18104_001MA,B18104_001EA,B18104_002MA,B18104_002EA,B18104_003EA,B18104_003MA,B18104_004EA,B18104_004MA,B18104_005EA,B18104_005MA,B18104_006MA,B18104_006EA,B18104_007EA,B18104_007MA,B18104_008MA,B18104_008EA,B18104_009EA,B18104_009MA,B18104_010EA,B18104_010MA,B18104_011MA,B18104_011EA,B18104_012MA,B18104_012EA,B18104_013MA,B18104_013EA,B18104_014EA,B18104_014MA,B18104_015EA,B18104_015MA,B18104_016EA,B18104_016MA,B18104_017MA,B18104_017EA,B18104_018EA,B18104_018MA,B18104_019MA,B18104_019EA,B18104_020EA,B18104_020MA,B18104_021EA,B18104_021MA,B18104_022MA,B18104_022EA,B18104_023EA,B18104_023MA,B18104_024MA,B18104_024EA,B18104_025EA,B18104_025MA,B18104_026EA,B18104_026MA,B18104_027EA,B18104_027MA,B18104_028MA,B18104_028EA,B18104_029MA,B18104_029EA,B18104_030MA,B18104_030EA,B18104_031EA,B18104_031MA,B18104_032EA,B18104_032MA,B18104_033MA,B18104_033EA,state
0400000US01,4421602,3532,2110198,5019,416407,3671,28232,2960,388175,4408,515415,3907,26641,2447,488774,4504,899283,3969,66185,4154,833098,5667,171501,1563,12885,1636,158616,1952,107592,1452,16951,1797,90641,2072,2311404,4962,407253,3626,12603,1790,394650,3896,549194,2867,21569,2811,527625,4084,980132,3430,65540,4570,914592,5351,204722,1433,15672,1677,189050,2202,170103,1485,33270,2428,136833,2527,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,645241,2023,325810,2056,68083,1045,2710,928,65373,1402,85584,2039,2396,723,83188,1978,144403,1781,5499,1353,138904,2433,18879,724,1316,523,17563,713,8861,529,1912,531,6949,642,319431,1414,65594,1012,1066,499,64528,1058,83173,1477,1668,592,81505,1529,141420,1675,4857,1164,136563,1993,18371,919,1148,468,17223,1103,10873,414,1819,504,9054,624,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5930452,3169,2912443,4889,601166,3600,24166,3416,577000,5192,733523,3357,30333,4326,703190,5342,1158942,3284,51728,4863,1107214,6108,246149,1443,11394,1797,234755,2016,172663,1141,20504,2469,152159,2527,3018009,3748,572836,2017,13950,3062,558886,3448,728673,2502,17426,2751,711247,3746,1224296,2590,61146,5015,1163150,5375,274832,1575,12830,2202,262002,2725,217372,1632,29154,3215,188218,3601,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2687787,2553,1310509,4010,264789,2861,18533,2304,246256,3508,320988,3594,13743,2126,307245,4363,543255,3659,35856,3076,507399,4495,110563,1268,8417,1369,102146,1581,70914,1344,9564,1267,61350,1576,1377278,3509,246674,2522,9642,1860,237032,2831,327733,2839,12479,2098,315254,3539,571752,2627,37861,2584,533891,3433,124362,1227,8384,1151,115978,1685,106757,1364,18961,1993,87796,2549,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34628464,6052,17042168,7705,3436648,4108,126722,6319,3309926,7326,4622555,6143,132454,7151,4490101,8023,7094300,6035,279743,10514,6814557,11511,1092291,2538,60521,3778,1031770,4170,796374,2679,111279,4578,685095,5435,17586296,6331,3282493,3324,61409,5011,3221084,5566,4523005,4457,91937,4480,4431068,5555,7367608,4216,286062,9078,7081546,8491,1262473,2583,74378,4096,1188095,4665,1150717,2960,215097,6811,935620,7287,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4683850,3211,2322383,4494,453559,2596,22324,3413,431235,4124,605876,3524,20247,2671,585629,4563,1012334,3571,39841,3452,972493,5132,154588,1301,6755,1119,147833,1811,96026,1395,10680,1336,85346,1956,2361467,3599,432234,2719,8059,1714,424175,3245,594565,2946,17277,2182,577288,3529,1026050,3187,43025,3385,983025,4861,170177,1363,6395,1022,163782,1577,138441,1350,19388,2131,119053,2611,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3326517,1588,1606669,2356,309787,1412,14628,1966,295159,2393,368293,1990,16237,2023,352056,2629,716698,2351,25221,2136,691477,3172,120443,1037,4638,1015,115805,1338,91448,1083,9415,1175,82033,1505,1719848,2042,296371,1005,6898,1277,289473,1538,373549,1313,10628,1815,362921,2102,768758,1592,30970,2866,737788,3124,140257,883,7214,1262,133043,1436,140913,1267,16809,1703,124104,1836,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,836884,896,400843,1266,76245,863,4087,1216,72158,1456,96233,1214,3951,1092,92282,1557,170860,985,6736,1298,164124,1605,35027,624,1760,597,33267,850,22478,651,2085,687,20393,1033,436041,1092,72802,833,1293,688,71509,1118,103031,984,3054,954,99977,1392,187653,1003,10057,1434,177596,1814,40223,612,1767,553,38456,708,32332,745,3702,958,28630,1173,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,571960,375,266624,892,34909,427,3184,995,31725,1225,96369,582,2459,694,93910,841,108278,671,6819,1455,101459,1645,16200,382,1104,640,15096,769,10868,549,758,363,10110,677,305336,794,34198,429,1880,615,32318,741,116442,475,2178,850,114264,977,114069,613,5704,1258,108365,1351,21260,249,1149,514,20111,572,19367,539,4001,883,15366,875,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17678236,5716,8539964,8391,1491065,5500,71995,5220,1419070,6793,1990278,7254,80209,5754,1910069,9537,3585805,6843,170315,8299,3415490,10990,821680,3876,40200,3514,781480,5045,651136,2667,74991,4729,576145,5380,9138272,7790,1421823,5184,40558,4556,1381265,7313,2012209,5809,48128,3661,1964081,6613,3880195,5622,168374,7847,3711821,9691,943420,3543,47786,3991,895634,5049,880625,2977,138234,6814,742391,6702,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
