C15010_004E,C15010_004M,C15010_005E,C15010_005M,C15010_006E,C15010_006M,GEO_ID,C15010_001E,C15010_001M,C15010_002E,C15010_002M,C15010_003E,C15010_003M,C15010_004EA,C15010_004MA,C15010_005EA,C15010_005MA,C15010_006EA,C15010_006MA,NAME,C15010_001EA,C15010_001MA,C15010_002MA,C15010_002EA,C15010_003EA,C15010_003MA,state
168650,6964,128319,5852,135876,6045,0400000US01,710532,12099,205179,6600,72508,4008,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,01
17479,1833,19597,2273,24072,2442,0400000US02,120461,5752,45885,3690,13428,1781,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,02
251205,9047,171971,8605,222963,9291,0400000US04,1119198,17134,370135,11349,102924,7025,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,04
87380,5220,80712,4289,76077,4821,0400000US05,394820,10674,109448,6202,41203,3661,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,05
1370873,21602,563961,11142,1875843,23456,0400000US06,7406320,43401,3002274,32070,593369,13780,null,null,null,null,null,null,California,null,null,null,null,null,null,06
248487,7802,137446,6641,272484,9012,0400000US08,1243092,18741,483516,11333,101159,5505,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,08
178185,5749,102473,4646,208374,6002,0400000US09,884059,13371,323549,8733,71478,4148,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,09
36047,3152,25263,2490,33433,2578,0400000US10,176243,5352,64605,3211,16895,2234,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,10
26580,2365,10721,1634,71604,3580,0400000US11,224764,4275,106742,4664,9117,1460,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,11
833991,16961,504298,14232,675259,15598,0400000US12,3429229,32583,1079435,20718,336246,11973,null,null,null,null,null,null,Florida,null,null,null,null,null,null,12
434684,15580,241872,9362,361039,11104,0400000US13,1738965,23892,555685,15359,145685,6774,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,13
54033,3353,40008,2978,61464,3570,0400000US15,273274,8200,94405,4814,23364,2396,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,15
49383,4427,43080,3155,46872,3899,0400000US16,252095,8897,88241,5167,24519,2848,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,16
577764,12145,370273,9350,591622,13875,0400000US17,2643864,24998,861720,18852,242485,8185,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,17
198363,7453,175154,6651,209877,7881,0400000US18,979216,14386,276209,7889,119613,5945,null,null,null,null,null,null,Indiana,null,null,null,null,null,null,18
109003,4599,106450,4234,106476,5454,0400000US19,523099,10420,150533,6115,50637,3926,null,null,null,null,null,null,Iowa,null,null,null,null,null,null,19
120550,5130,103340,4241,117115,4757,0400000US20,558107,10989,163209,5925,53893,3413,null,null,null,null,null,null,Kansas,null,null,null,null,null,null,20
122215,5546,111144,5281,132103,5850,0400000US21,616025,13070,186573,7534,63990,4140,null,null,null,null,null,null,Kentucky,null,null,null,null,null,null,21
123534,6482,118834,6024,134422,6757,0400000US22,627940,13845,180732,7169,70418,4075,null,null,null,null,null,null,Louisiana,null,null,null,null,null,null,22
37149,3036,42232,2676,68227,3828,0400000US23,267551,6556,91915,4554,28028,2461,null,null,null,null,null,null,Maine,null,null,null,null,null,null,23
264407,7724,162028,5276,318550,8165,0400000US24,1444372,15855,579464,11468,119923,5710,null,null,null,null,null,null,Maryland,null,null,null,null,null,null,24
326383,8785,175176,6233,430784,10420,0400000US25,1762510,20380,688105,12870,142062,5601,null,null,null,null,null,null,Massachusetts,null,null,null,null,null,null,25
352136,8123,268028,7837,335309,8511,0400000US26,1688269,14245,552579,10394,180217,5998,null,null,null,null,null,null,Michigan,null,null,null,null,null,null,26
224128,6440,170948,5213,259156,7045,0400000US27,1152851,12600,389297,10412,109322,4328,null,null,null,null,null,null,Minnesota,null,null,null,null,null,null,27
83919,5150,86404,4992,68584,4790,0400000US28,379625,12209,98505,5524,42213,3625,null,null,null,null,null,null,Mississippi,null,null,null,null,null,null,28
223416,7715,187058,6344,219237,7262,0400000US29,1044982,16009,317157,8693,98114,5069,null,null,null,null,null,null,Missouri,null,null,null,null,null,null,29
27954,2692,37158,2797,38001,3034,0400000US30,190918,6972,68588,3779,19217,2165,null,null,null,null,null,null,Montana,null,null,null,null,null,null,30
74861,3477,65827,3083,65949,3667,0400000US31,334127,7275,93155,4646,34335,2729,null,null,null,null,null,null,Nebraska,null,null,null,null,null,null,31
98775,6728,58236,4373,90767,7225,0400000US32,406875,12649,118895,6740,40202,4386,null,null,null,null,null,null,Nevada,null,null,null,null,null,null,32
59333,3545,39537,3009,68067,3543,0400000US33,305313,7087,110977,4783,27399,2255,null,null,null,null,null,null,New Hampshire,null,null,null,null,null,null,33
469276,11162,247422,7110,440271,10445,0400000US34,2118903,19751,790824,14291,171110,6903,null,null,null,null,null,null,New Jersey,null,null,null,null,null,null,34
53414,3826,55400,3355,81971,4760,0400000US35,345995,8553,128986,5595,26224,2220,null,null,null,null,null,null,New Mexico,null,null,null,null,null,null,35
818428,14919,524795,12244,1153882,18816,0400000US36,4345667,27876,1477324,14663,371238,11086,null,null,null,null,null,null,New York,null,null,null,null,null,null,36
347218,12442,245655,8176,393976,10665,0400000US37,1722474,23808,585969,14997,149656,7904,null,null,null,null,null,null,North Carolina,null,null,null,null,null,null,37
20246,1867,25943,2131,23760,2385,0400000US38,117900,4117,32270,2236,15681,1722,null,null,null,null,null,null,North Dakota,null,null,null,null,null,null,38
409926,9511,337138,9664,384960,8149,0400000US39,1910745,19287,590316,11190,188405,7123,null,null,null,null,null,null,Ohio,null,null,null,null,null,null,39
132499,5743,118801,4983,119127,5252,0400000US40,588085,10295,160676,6177,56982,3612,null,null,null,null,null,null,Oklahoma,null,null,null,null,null,null,40
117803,5447,95315,5062,199014,7077,0400000US41,775821,12197,300088,8217,63601,3600,null,null,null,null,null,null,Oregon,null,null,null,null,null,null,41
455802,9426,383246,9864,494664,10361,0400000US42,2349673,18985,777822,12623,238139,8580,null,null,null,null,null,null,Pennsylvania,null,null,null,null,null,null,42
