GEO_ID,C27007_001E,C27007_001M,C27007_002E,C27007_002M,C27007_003E,C27007_003M,C27007_004E,C27007_004M,C27007_005E,C27007_005M,C27007_006E,C27007_006M,C27007_007E,C27007_007M,C27007_008E,C27007_008M,C27007_009E,C27007_009M,C27007_010E,C27007_010M,C27007_011E,C27007_011M,C27007_012E,C27007_012M,C27007_013E,C27007_013M,C27007_014E,C27007_014M,C27007_015E,C27007_015M,C27007_016E,C27007_016M,C27007_017E,C27007_017M,C27007_018E,C27007_018M,C27007_019E,C27007_019M,C27007_020E,C27007_020M,C27007_021E,C27007_021M,NAME,C27007_001MA,C27007_001EA,C27007_002MA,C27007_002EA,C27007_003EA,C27007_003MA,C27007_004EA,C27007_004MA,C27007_005MA,C27007_005EA,C27007_006MA,C27007_006EA,C27007_007MA,C27007_007EA,C27007_008EA,C27007_008MA,C27007_009EA,C27007_009MA,C27007_010EA,C27007_010MA,C27007_011MA,C27007_011EA,C27007_012MA,C27007_012EA,C27007_013MA,C27007_013EA,C27007_014EA,C27007_014MA,C27007_015EA,C27007_015MA,C27007_016MA,C27007_016EA,C27007_017MA,C27007_017EA,C27007_018MA,C27007_018EA,C27007_019EA,C27007_019MA,C27007_020EA,C27007_020MA,C27007_021EA,C27007_021MA,state
0400000US01,4720067,2155,2262898,5633,569107,4176,232725,7145,336382,7168,1414698,4262,113330,5643,1301368,7243,279093,1597,36617,2569,242476,2664,2457169,5482,553018,4336,231865,7923,321153,7859,1529326,3226,177326,7567,1352000,7851,374825,1967,74086,3635,300739,3729,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,699272,1868,353412,2409,95685,1288,32453,2973,63232,2968,229987,2044,15834,1851,214153,2521,27740,691,4811,1003,22929,1095,345860,1555,92023,1337,32978,2784,59045,2636,224593,1324,23796,2308,200797,2660,29244,918,5542,801,23702,1196,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6378280,1787,3141397,5192,830120,3869,316245,12082,513875,12179,1892465,3160,252864,10982,1639601,11087,418812,1439,48081,3489,370731,3632,3236883,4797,791710,3468,290523,12979,501187,12879,1952969,2665,342674,11381,1610295,11382,492204,1546,66222,4877,425982,4828,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2885212,1095,1412433,4390,366713,3444,190904,6704,175809,6476,864243,2843,72364,4274,791879,4812,181477,1394,24082,2083,157395,2287,1472779,4226,342175,3336,170345,6794,171830,6502,899485,2675,112719,6023,786766,6852,231119,1618,43205,2600,187914,2762,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,37161789,5236,18337173,8165,4731653,4465,1858259,23248,2873394,23848,11716855,6623,1137002,15818,10579853,16814,1888665,2997,331658,7404,1557007,8249,18824616,6478,4520813,4109,1793033,19827,2727780,19295,11890613,4441,1669496,21164,10221117,20456,2413190,2783,530914,9947,1882276,10999,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5024885,2530,2498871,4767,630047,3241,178917,7151,451130,7672,1618210,3693,106696,5950,1511514,6779,250614,1187,27621,2127,222993,2349,2526014,4098,596781,3604,174156,7492,422625,7604,1620615,3014,160167,6402,1460448,7111,308618,1578,43775,2659,264843,3270,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3522709,1144,1707415,2399,410533,1411,123672,4847,286861,4808,1084991,1817,103972,5131,981019,5358,211891,1346,24469,1985,187422,1933,1815294,2210,391817,1419,118314,5560,273503,5570,1142307,1643,163083,7152,979224,7139,281170,1372,41188,2424,239982,2718,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,892132,847,428892,1281,104294,951,39166,3465,65128,3419,267093,1107,31166,2722,235927,2981,57505,652,5379,1065,52126,1287,463240,1136,100001,916,38062,3401,61939,3512,290684,969,49451,3626,241233,3807,72555,728,9179,1385,63376,1580,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,608165,325,285171,863,53456,450,26543,2256,26913,2279,204647,794,36124,2926,168523,3116,27068,387,5460,1015,21608,1066,322994,788,51856,427,25977,2129,25879,2187,230511,708,50411,3043,180100,3094,40627,548,10866,1005,29761,1039,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18752294,3756,9088985,8711,2040086,5645,792784,18797,1247302,18495,5576083,6738,445453,15729,5130630,16621,1472816,3748,185888,6634,1286928,7986,9663309,8195,1946860,6048,759357,14371,1187503,15896,5892404,5507,620678,15331,5271726,15607,1824045,4157,293447,9388,1530598,10520,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
