GEO_ID,C01001B_001E,C01001B_001M,C01001B_002E,C01001B_002M,C01001B_003E,C01001B_003M,C01001B_004E,C01001B_004M,C01001B_005E,C01001B_005M,C01001B_006E,C01001B_006M,C01001B_007E,C01001B_007M,C01001B_008E,C01001B_008M,C01001B_009E,C01001B_009M,NAME,C01001B_001EA,C01001B_001MA,C01001B_002EA,C01001B_002MA,C01001B_003EA,C01001B_003MA,C01001B_004EA,C01001B_004MA,C01001B_005EA,C01001B_005MA,C01001B_006EA,C01001B_006MA,C01001B_007MA,C01001B_007EA,C01001B_008EA,C01001B_008MA,C01001B_009MA,C01001B_009EA,state
0400000US01,1281095,4637,598314,3797,177440,3241,374187,2441,46687,1062,682781,3632,170543,2812,437350,2010,74888,1045,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23143,2072,12133,1218,2581,854,9173,867,379,280,11010,1399,3441,908,6875,800,694,377,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,265940,7841,141912,5028,42338,3372,91563,2543,8011,677,124028,5290,35708,3709,78142,2596,10178,560,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,463364,4287,222587,3128,71272,2349,136342,2119,14973,598,240777,3331,65606,2728,151617,1686,23554,768,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2253905,15479,1115401,10246,280760,6349,737280,7305,97361,1687,1138504,10148,263537,6835,740717,6372,134250,1403,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,203243,4916,107692,2892,25656,2136,75080,2459,6956,401,95551,3398,25195,2341,61570,2129,8786,444,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,359683,5702,171824,3216,49629,2540,110212,2178,11983,580,187859,3255,48061,1737,120627,2209,19171,657,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,193899,2993,92419,1790,27212,1460,58048,771,7159,163,101480,1863,25582,1491,65406,1326,10492,474,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,309845,2181,140943,1430,34296,787,90564,925,16083,228,168902,1339,32865,749,108670,881,27367,268,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3046628,20255,1462986,10942,429418,7106,923055,7550,110513,2214,1583642,13074,412938,8202,1012235,7410,158469,2700,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3021927,14079,1422904,9342,431877,6674,902027,6050,89000,2072,1599023,10416,416017,7660,1043054,5284,139952,1924,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
