GEO_ID,B19019_001E,B19019_001M,B19019_002E,B19019_002M,B19019_003E,B19019_003M,B19019_004E,B19019_004M,B19019_005E,B19019_005M,B19019_006E,B19019_006M,B19019_007E,B19019_007M,B19019_008E,B19019_008M,NAME,B19019_001EA,B19019_001MA,B19019_002MA,B19019_002EA,B19019_003MA,B19019_003EA,B19019_004EA,B19019_004MA,B19019_005EA,B19019_005MA,B19019_006EA,B19019_006MA,B19019_007EA,B19019_007MA,B19019_008MA,B19019_008EA,state
0400000US01,41415,550,22019,475,47892,1317,50972,1802,62270,2894,57933,3367,56152,8237,50847,7177,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,67825,1948,36998,2564,74353,3113,82312,4839,89139,6887,85216,12009,77595,8353,80441,10068,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,46709,554,26587,757,55043,1076,55716,2037,61093,1552,58060,4103,52846,3555,52976,6164,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,38758,761,20014,715,45390,1121,48720,1792,54894,1780,55079,3435,49693,4871,50993,10605,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,57287,279,31756,336,64636,708,68905,1176,75369,961,64143,1254,63339,2134,70682,1526,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,55387,605,31078,646,63867,1063,72266,2177,85121,2968,70553,2257,60843,4078,62282,7396,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,65753,854,32951,1289,72986,1858,85296,2433,100518,3422,97676,6584,100673,12512,91496,11683,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,58814,1586,31875,1681,64012,2813,71951,5871,85151,5099,86091,9708,86975,9882,77574,22759,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,63124,2407,49499,2777,89802,5152,75368,9594,90837,20758,59678,38131,94314,51003,112697,65791,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,44299,406,25004,399,51657,509,55041,1115,63145,1572,59738,1820,53357,3113,58449,4109,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
