GEO_ID,C20005A_001E,C20005A_001M,C20005A_002E,C20005A_002M,C20005A_003E,C20005A_003M,C20005A_004E,C20005A_004M,C20005A_005E,C20005A_005M,C20005A_006E,C20005A_006M,C20005A_007E,C20005A_007M,C20005A_008E,C20005A_008M,C20005A_009E,C20005A_009M,C20005A_010E,C20005A_010M,C20005A_011E,C20005A_011M,C20005A_012E,C20005A_012M,C20005A_013E,C20005A_013M,C20005A_014E,C20005A_014M,C20005A_015E,C20005A_015M,C20005A_016E,C20005A_016M,C20005A_017E,C20005A_017M,C20005A_018E,C20005A_018M,C20005A_019E,C20005A_019M,C20005A_020E,C20005A_020M,C20005A_021E,C20005A_021M,C20005A_022E,C20005A_022M,C20005A_023E,C20005A_023M,C20005A_024E,C20005A_024M,C20005A_025E,C20005A_025M,C20005A_026E,C20005A_026M,C20005A_027E,C20005A_027M,C20005A_028E,C20005A_028M,C20005A_029E,C20005A_029M,C20005A_030E,C20005A_030M,C20005A_031E,C20005A_031M,C20005A_032E,C20005A_032M,C20005A_033E,C20005A_033M,C20005A_034E,C20005A_034M,C20005A_035E,C20005A_035M,C20005A_036E,C20005A_036M,C20005A_037E,C20005A_037M,C20005A_038E,C20005A_038M,C20005A_039E,C20005A_039M,NAME,C20005A_001EA,C20005A_001MA,C20005A_002MA,C20005A_002EA,C20005A_003MA,C20005A_003EA,C20005A_004EA,C20005A_004MA,C20005A_005MA,C20005A_005EA,C20005A_006MA,C20005A_006EA,C20005A_007EA,C20005A_007MA,C20005A_008MA,C20005A_008EA,C20005A_009MA,C20005A_009EA,C20005A_010MA,C20005A_010EA,C20005A_011MA,C20005A_011EA,C20005A_012EA,C20005A_012MA,C20005A_013MA,C20005A_013EA,C20005A_014MA,C20005A_014EA,C20005A_015EA,C20005A_015MA,C20005A_016EA,C20005A_016MA,C20005A_017EA,C20005A_017MA,C20005A_018EA,C20005A_018MA,C20005A_019MA,C20005A_019EA,C20005A_020MA,C20005A_020EA,C20005A_021MA,C20005A_021EA,C20005A_022EA,C20005A_022MA,C20005A_023EA,C20005A_023MA,C20005A_024EA,C20005A_024MA,C20005A_025EA,C20005A_025MA,C20005A_026EA,C20005A_026MA,C20005A_027EA,C20005A_027MA,C20005A_028EA,C20005A_028MA,C20005A_029EA,C20005A_029MA,C20005A_030MA,C20005A_030EA,C20005A_031EA,C20005A_031MA,C20005A_032MA,C20005A_032EA,C20005A_033EA,C20005A_033MA,C20005A_034EA,C20005A_034MA,C20005A_035EA,C20005A_035MA,C20005A_036EA,C20005A_036MA,C20005A_037EA,C20005A_037MA,C20005A_038EA,C20005A_038MA,C20005A_039MA,C20005A_039EA,state
0400000US15,297758,2451,161849,1631,84030,3324,0,187,84030,3324,1870,747,5275,1114,10439,1691,22386,2094,22624,2408,21436,2203,77819,3346,42407,2867,35412,2853,11278,1966,8641,1577,5337,1316,5509,1158,2518,877,2129,673,135909,1556,41448,2643,29,48,41419,2651,1023,515,2339,697,4887,1255,15817,1974,9208,1455,8145,1469,94461,2678,52943,2568,41518,2857,18479,2457,9060,1293,6544,1442,3995,1027,2566,736,874,395,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1118619,5147,554842,3059,247020,6738,0,195,247020,6738,7222,1499,22179,2599,40663,4040,76271,5027,52607,3520,48078,3504,307822,6442,157202,5612,150620,5983,74899,4611,34397,3611,15170,2171,15616,2315,6074,1290,4464,1159,563777,3047,165945,5190,9,15,165936,5193,6906,1417,26764,2520,41451,3496,55128,3861,24995,2816,10692,1653,397832,5915,214106,6628,183726,6333,102853,5438,48332,3956,18627,2232,9459,1703,3224,943,1231,574,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7530297,19680,3673037,12511,1804322,14687,32,56,1804290,14687,23823,2525,115768,4906,198919,6369,466095,11215,442017,9801,557668,10672,1868715,13875,991886,10019,876829,12748,401374,9491,191632,6971,93634,4808,96874,5666,52678,3910,40637,2795,3857260,10167,1325966,14082,92,92,1325874,14082,25179,2176,147128,5856,241868,7745,421441,8725,286976,9702,203282,6801,2531294,14968,1451232,13921,1080062,13676,510915,9628,287408,7614,113158,5361,98311,5065,43314,3109,26956,3023,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4394741,7439,2142159,4901,1027372,10447,59,90,1027313,10443,15924,2114,73674,5344,139937,5877,328320,7457,262620,7376,206838,5728,1114787,10680,604332,9899,510455,9825,256495,7572,112302,5437,53141,3560,52591,3486,23681,2260,12245,1596,2252582,4031,730513,9929,29,47,730484,9927,16085,2158,91417,4819,167771,6058,264855,7265,131414,5593,58942,4044,1522069,10420,874150,8603,647919,10299,332196,7205,166678,5815,66197,4515,53263,3803,24324,2674,5261,919,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2247159,4125,1097316,3023,567637,6969,329,318,567308,6989,9593,1362,37317,2884,76987,4167,201490,5971,136107,4994,105814,4550,529679,7260,257040,5214,272639,6351,145867,4689,54185,3169,26934,2444,25425,1813,12861,1882,7367,1019,1149843,2277,431515,6615,39,67,431476,6619,8877,1191,52213,2843,105366,4427,157911,5305,74258,3828,32851,2161,718328,6787,382725,5579,335603,7036,178187,4936,86948,3335,33217,2826,24218,2474,9874,1570,3159,1060,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1927026,4873,943158,3048,507399,6706,52,71,507347,6698,10044,1357,38567,3112,74864,3958,158753,5910,114928,4866,110191,4904,435759,7637,219130,5301,216629,5614,110083,4209,49463,2971,21270,2215,21618,2400,8393,1252,5802,872,983868,2649,364212,6217,24,47,364188,6210,11374,1608,49752,3191,85050,4188,128290,4122,60561,2702,29161,2450,619656,6445,336824,5990,282832,6895,150289,4809,72399,3961,26662,2700,22617,2509,7348,1236,3517,887,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3081111,5159,1496663,3917,659233,7334,0,189,659233,7334,15862,2195,67617,4350,104600,5276,197710,5490,148729,6347,124715,5054,837430,7935,513107,8642,324323,7111,155671,5913,78838,4705,36300,3094,32694,2480,11828,1773,8992,1414,1584448,3128,489751,8651,27,35,489724,8647,11651,1477,79198,4232,113818,4934,167008,6777,82067,4193,35982,2772,1094697,8409,693362,8953,401335,8622,211807,6281,104231,4604,41605,3256,26700,2729,12688,1780,4304,1198,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2322206,6069,1138469,3595,572888,9789,99,120,572789,9791,13111,1791,34717,3085,68876,4892,150096,5687,149338,5920,156651,5747,565581,9880,321335,6515,244246,8120,106029,5968,49357,3950,27323,2535,29185,2762,15861,2061,16491,2045,1183737,4110,398363,7788,29,48,398334,7783,9097,1723,61605,4361,79720,4219,142041,5960,71534,4697,34337,2751,785374,7569,500352,7634,285022,6774,147140,6205,70619,3787,27262,2958,25129,2680,10904,1888,3968,1139,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1048302,1770,506910,1590,225834,5092,0,157,225834,5092,3762,856,16491,1658,33966,2827,74151,3770,56104,3503,41360,2410,281076,5521,145474,3999,135602,4789,65692,3539,33474,2641,15463,1961,12209,1639,4115,748,4649,830,541392,1248,182596,4590,7,11,182589,4588,3799,878,23411,2464,43673,2894,61145,3167,35288,2638,15273,1689,358796,4778,193523,3630,165273,4655,81408,3412,43241,2551,19284,1758,12625,1387,7170,1182,1545,691,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2802381,9238,1358225,5857,737370,10444,0,204,737370,10444,9577,1759,30642,3393,56818,4017,156082,5874,174283,6651,309968,7999,620855,10897,331992,8341,288863,6672,124567,4789,56654,3989,35379,3191,30904,2613,20880,2549,20479,2604,1444156,5004,537962,8366,0,204,537962,8366,6948,1410,38689,4268,74419,4495,142564,5752,130127,4635,145215,5604,906194,9106,518158,8429,388036,8748,168435,5802,85693,4356,44332,3188,43967,3835,27403,2450,18206,2113,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
