GEO_ID,B17020F_001E,B17020F_001M,B17020F_002E,B17020F_002M,B17020F_003E,B17020F_003M,B17020F_004E,B17020F_004M,B17020F_005E,B17020F_005M,B17020F_006E,B17020F_006M,B17020F_007E,B17020F_007M,B17020F_008E,B17020F_008M,B17020F_009E,B17020F_009M,B17020F_010E,B17020F_010M,B17020F_011E,B17020F_011M,B17020F_012E,B17020F_012M,B17020F_013E,B17020F_013M,B17020F_014E,B17020F_014M,B17020F_015E,B17020F_015M,B17020F_016E,B17020F_016M,B17020F_017E,B17020F_017M,NAME,B17020F_001EA,B17020F_001MA,B17020F_002EA,B17020F_002MA,B17020F_003MA,B17020F_003EA,B17020F_004MA,B17020F_004EA,B17020F_005MA,B17020F_005EA,B17020F_006EA,B17020F_006MA,B17020F_007EA,B17020F_007MA,B17020F_008EA,B17020F_008MA,B17020F_009MA,B17020F_009EA,B17020F_010MA,B17020F_010EA,B17020F_011EA,B17020F_011MA,B17020F_012EA,B17020F_012MA,B17020F_013EA,B17020F_013MA,B17020F_014MA,B17020F_014EA,B17020F_015MA,B17020F_015EA,B17020F_016MA,B17020F_016EA,B17020F_017EA,B17020F_017MA,state
0400000US01,57731,7039,23410,5480,3869,1367,400,340,3000,934,3006,977,13135,3426,0,190,0,190,34321,5768,1776,816,76,76,2718,1505,2458,1234,26038,3881,983,792,272,280,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,391618,21281,122383,13175,15913,3255,3451,1201,15972,3130,17462,3400,64771,6752,2557,1175,2257,829,269235,20440,18886,3376,4010,1359,28502,5077,29311,3998,172502,12585,11180,1994,4844,1354,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,62325,7430,18533,5233,3138,1152,461,464,3964,1510,2030,897,8935,2572,5,10,0,192,43792,7740,4996,1569,750,380,5350,1579,4450,1602,27494,4749,371,336,381,353,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,4641198,65639,1194308,38309,152904,8120,28797,3249,163892,9391,153953,8861,656037,21798,22299,2840,16426,2493,3446890,62946,259552,10207,53132,4505,312202,11800,337764,14029,2317810,40605,102992,5160,63438,4202,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,217794,15584,61940,8422,9338,2295,1500,735,9543,2353,6742,1932,33728,4692,741,361,348,263,155854,13675,12161,2510,3048,1060,14775,2834,14462,2255,100075,8032,7265,1454,4068,1482,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,188400,10693,61745,7741,8057,1793,1044,488,8684,2277,8151,1767,34808,3883,718,341,283,315,126655,10134,8415,1826,1519,767,11023,2161,12546,2068,88410,6692,3439,1000,1303,651,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18521,3955,5960,2516,926,677,378,383,1041,735,455,427,3160,1271,0,192,0,192,12561,3086,1070,627,12,20,769,481,906,576,9539,2417,164,182,101,118,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,24003,3687,4723,1989,613,439,0,200,697,700,402,454,2153,1042,213,320,645,533,19280,3217,1994,694,0,200,1469,831,1940,786,13439,2534,302,255,136,170,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,504228,27555,151881,14670,22640,3760,3147,1120,20798,4260,14674,3558,85251,7704,2886,1138,2485,1346,352347,26085,18139,2956,4146,1338,27165,3928,35496,6390,248288,18185,11262,1940,7851,2102,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
