GEO_ID,B20017B_001E,B20017B_001M,B20017B_002E,B20017B_002M,B20017B_003E,B20017B_003M,B20017B_004E,B20017B_004M,B20017B_005E,B20017B_005M,B20017B_006E,B20017B_006M,B20017B_007E,B20017B_007M,NAME,B20017B_001EA,B20017B_001MA,B20017B_002EA,B20017B_002MA,B20017B_003EA,B20017B_003MA,B20017B_004EA,B20017B_004MA,B20017B_005EA,B20017B_005MA,B20017B_006EA,B20017B_006MA,B20017B_007EA,B20017B_007MA,state
0400000US01,20585,478,23708,1188,32311,1060,7116,547,18453,651,27859,965,8055,466,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30756,4082,29833,6395,39961,4336,16312,1852,33495,5492,35904,5089,10833,6847,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,24646,2868,23318,2583,36478,1191,7428,2236,25831,3137,33524,2064,10088,1320,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20417,853,20683,1390,30975,1528,7340,846,20214,997,27903,1497,8584,1281,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,30625,468,31782,593,47589,1538,10348,547,28795,1275,43188,1541,10278,503,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,25789,2699,28084,2990,42454,5027,9996,1803,22317,2923,37007,1791,10220,1975,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,30010,1452,30531,1594,45351,3288,11103,1245,29183,2065,39959,1974,10522,1094,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30294,1084,32456,4704,45711,4191,8995,1385,28069,2550,35908,1376,8538,1285,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,32690,1507,33222,2355,46103,3673,10720,2623,32322,1954,47311,3409,8407,1471,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,22371,361,23472,877,32743,1149,9171,540,21759,396,29774,699,10018,368,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,24530,565,26664,568,36805,720,8945,840,22467,578,31884,448,9485,550,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,37457,5125,41285,1860,43131,6728,17375,10904,31906,8635,36796,9575,17935,18579,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,25681,6593,26050,5338,29824,5954,10436,10426,14746,40094,75099,54292,12724,7227,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,25825,547,27798,897,39864,1751,8823,800,24378,746,36854,881,9421,664,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,22081,774,25124,1992,38340,2653,7499,1208,20745,944,32284,1089,8163,837,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,18276,2122,20677,4574,36370,3960,7027,1713,16044,3016,29558,4007,6764,1344,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,22969,1369,24849,2095,36401,3457,6560,887,21651,2029,30296,1649,7111,1668,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,20174,1102,22010,1785,31080,1464,7777,1064,18492,1881,31190,1817,7869,1204,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,19446,640,21825,770,31901,1216,8765,564,17521,571,26338,708,8033,472,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,16320,6100,17867,4341,26302,4799,7949,5053,11840,10660,26904,6864,6805,5322,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,35579,631,35296,974,47094,1884,10536,748,35802,732,46810,1017,10302,556,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,25872,846,28099,1970,38173,2851,10434,1020,23730,1603,37584,2069,9939,1060,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,20244,607,19699,1298,37069,1595,6872,440,20537,630,33067,1753,8532,667,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,21698,1439,22374,2442,35393,1345,10138,1495,21196,1706,33464,3456,8459,1001,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,19675,474,22025,738,30810,663,7824,757,18096,546,24182,709,8239,681,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,22491,904,23244,1595,35727,1256,7876,1002,22138,1042,32002,1090,7720,686,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,13643,1944,13776,1866,27407,10001,12500,5061,6748,8666,7354,40091,4349,11424,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,20303,1976,19548,3425,31827,1321,7135,1823,20771,1929,31271,1997,8493,3450,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,27418,3455,32020,3295,40342,3999,12553,2838,24792,1920,33991,2948,13843,1966,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,33929,6033,36719,4769,41068,6657,11866,6807,21942,11300,31284,14099,6413,5238,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
