GEO_ID,C12002F_001E,C12002F_001M,C12002F_002E,C12002F_002M,C12002F_003E,C12002F_003M,C12002F_004E,C12002F_004M,C12002F_005E,C12002F_005M,C12002F_006E,C12002F_006M,NAME,C12002F_001EA,C12002F_001MA,C12002F_002EA,C12002F_002MA,C12002F_003MA,C12002F_003EA,C12002F_004EA,C12002F_004MA,C12002F_005EA,C12002F_005MA,C12002F_006EA,C12002F_006MA,state
0400000US01,43422,5550,20606,3854,18436,3124,944,810,439,377,2997,1516,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,6835,1652,1998,848,3614,1313,182,196,77,75,964,458,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,289728,14331,117041,8457,129320,9288,8689,1774,7138,1780,27540,3699,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41282,5222,14499,2971,21605,3656,1400,701,454,387,3324,1349,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3500853,47076,1567345,33408,1496732,28696,119406,7775,98382,5606,218988,10620,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,160289,10494,57667,5379,79356,6906,4770,1353,5325,1231,13171,1958,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,145295,7308,73873,4865,48739,4454,5718,1282,2883,980,14082,1859,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,14167,3083,5555,1636,6339,1953,864,597,96,156,1313,870,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,18815,2865,9424,2153,7330,1746,531,412,348,258,1182,671,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,390120,20910,169956,13007,157596,9569,16880,3683,10429,2186,35259,3714,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,193433,13476,80961,8955,90869,8604,8596,2823,3123,1379,9884,2350,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
