GEO_ID,C17017_001E,C17017_001M,C17017_002E,C17017_002M,C17017_003E,C17017_003M,C17017_004E,C17017_004M,C17017_005E,C17017_005M,C17017_006E,C17017_006M,C17017_007E,C17017_007M,C17017_008E,C17017_008M,C17017_009E,C17017_009M,C17017_010E,C17017_010M,C17017_011E,C17017_011M,C17017_012E,C17017_012M,C17017_013E,C17017_013M,C17017_014E,C17017_014M,C17017_015E,C17017_015M,C17017_016E,C17017_016M,C17017_017E,C17017_017M,C17017_018E,C17017_018M,C17017_019E,C17017_019M,NAME,C17017_001EA,C17017_001MA,C17017_002MA,C17017_002EA,C17017_003MA,C17017_003EA,C17017_004EA,C17017_004MA,C17017_005EA,C17017_005MA,C17017_006EA,C17017_006MA,C17017_007MA,C17017_007EA,C17017_008MA,C17017_008EA,C17017_009MA,C17017_009EA,C17017_010EA,C17017_010MA,C17017_011EA,C17017_011MA,C17017_012EA,C17017_012MA,C17017_013MA,C17017_013EA,C17017_014MA,C17017_014EA,C17017_015EA,C17017_015MA,C17017_016EA,C17017_016MA,C17017_017EA,C17017_017MA,C17017_018MA,C17017_018EA,C17017_019MA,C17017_019EA,state
0400000US01,1844546,11416,337814,9465,185909,6956,59150,3773,126759,6010,17144,2148,109615,5436,151905,6451,58788,3748,93117,4842,1506732,12550,1065886,12576,830660,13121,235226,9305,62434,4569,172792,7372,440846,10163,208625,6960,232221,6596,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,257330,3380,21901,1751,12024,1704,3842,813,8182,1485,2416,849,5766,1148,9877,1529,4488,1082,5389,1037,235429,3179,161255,4646,123435,4083,37820,2584,13328,1464,24492,2226,74174,3645,42056,2827,32118,2332,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2356055,12130,380270,11930,217603,9605,86195,6025,131408,7640,29605,3457,101803,6253,162667,7556,78392,5865,84275,5737,1975785,14889,1326320,15922,1024155,15246,302165,11081,97891,6129,204274,9043,649465,14370,321859,10617,327606,9001,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1127621,7837,212953,5921,112534,5422,41651,3089,70883,4674,11297,1840,59586,4236,100419,4801,40957,3410,59462,3392,914668,7964,644671,9383,514457,9045,130214,5525,36704,3575,93510,4397,269997,7493,129471,5604,140526,5237,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12468743,22250,1816795,20843,1056152,15484,455238,10817,600914,12384,126510,6051,474404,11719,760643,15624,329077,9196,431566,10762,10651948,27030,7462366,32642,5603947,36627,1858419,25132,621922,13214,1236497,18248,3189582,23364,1534316,19809,1655266,18329,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1975388,9057,243766,7007,114546,5172,45650,3697,68896,4246,13492,2118,55404,3914,129220,5715,61274,3904,67946,3710,1731622,10835,1141925,11786,924906,12060,217019,7600,74302,5184,142717,5553,589697,10153,289366,6934,300331,8250,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1351643,7309,143311,5759,70551,4637,19023,2289,51528,4149,7519,1540,44009,3672,72760,3413,29018,2719,43742,2815,1208332,9105,822550,9225,641276,8599,181274,6406,45948,3395,135326,5171,385782,8633,175417,6329,210365,5571,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,333192,3426,34638,2642,18261,1977,4541,1002,13720,1944,2561,1057,11159,1600,16377,1772,4565,1159,11812,1519,298554,4044,208840,3727,157214,3452,51626,3455,16124,2367,35502,2826,89714,3795,40957,3049,48757,2940,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,268670,3200,43360,3079,17608,2027,2165,759,15443,2076,2022,732,13421,1862,25752,2119,10709,1637,15043,1717,225310,3591,96437,3750,55082,3009,41355,3014,9106,1575,32249,2514,128873,3977,59381,3077,69492,3051,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7106283,31131,1081579,16177,564395,15175,227560,9748,336835,10750,64057,5288,272778,8881,517184,11678,219339,7811,297845,9024,6024704,30639,3995463,26744,3065495,26185,929968,15536,260028,9424,669940,12950,2029241,25171,950158,17533,1079083,17427,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
