GEO_ID,B16007_001E,B16007_001M,B16007_002E,B16007_002M,B16007_003E,B16007_003M,B16007_004E,B16007_004M,B16007_005E,B16007_005M,B16007_006E,B16007_006M,B16007_007E,B16007_007M,B16007_008E,B16007_008M,B16007_009E,B16007_009M,B16007_010E,B16007_010M,B16007_011E,B16007_011M,B16007_012E,B16007_012M,B16007_013E,B16007_013M,B16007_014E,B16007_014M,B16007_015E,B16007_015M,B16007_016E,B16007_016M,B16007_017E,B16007_017M,B16007_018E,B16007_018M,B16007_019E,B16007_019M,NAME,B16007_001EA,B16007_001MA,B16007_002MA,B16007_002EA,B16007_003EA,B16007_003MA,B16007_004EA,B16007_004MA,B16007_005MA,B16007_005EA,B16007_006EA,B16007_006MA,B16007_007MA,B16007_007EA,B16007_008EA,B16007_008MA,B16007_009EA,B16007_009MA,B16007_010MA,B16007_010EA,B16007_011EA,B16007_011MA,B16007_012EA,B16007_012MA,B16007_013MA,B16007_013EA,B16007_014EA,B16007_014MA,B16007_015MA,B16007_015EA,B16007_016MA,B16007_016EA,B16007_017MA,B16007_017EA,B16007_018MA,B16007_018EA,B16007_019EA,B16007_019MA,state
0400000US01,4504275,2738,825923,3198,777820,4756,36128,4271,3728,915,6696,1198,1551,689,3004562,3178,2831664,6448,111993,5691,26193,2830,27642,2552,7070,1783,673790,2282,658961,2217,5724,1310,5905,1249,3051,936,149,128,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,668687,875,134192,720,112839,3051,4713,1532,4197,1810,6215,1325,6228,867,476128,1163,396920,3679,19263,1627,12307,2155,24780,1452,22858,2007,58367,1122,47609,995,1207,362,1467,532,3523,823,4561,484,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6034541,2472,1176060,2861,824939,11423,298676,9512,12373,2708,18152,2760,21920,2757,3935328,1950,2812338,19895,846605,15620,81791,7675,86425,4373,108169,6293,923153,1822,767411,4358,97594,3023,28257,3456,11769,1557,18122,1584,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2740313,2124,513520,2544,461128,3856,42988,3029,3025,1113,5755,997,624,461,1798168,2515,1655548,5737,102403,4355,14101,2630,23082,2746,3034,1530,428625,1855,418971,2013,3697,1003,4184,1064,1397,542,376,282,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35158257,2934,6733781,3245,3671276,27317,2387446,24363,199400,11245,421181,10082,54478,7030,24026423,3740,13219366,43625,7043015,34501,1089693,21793,2445870,19467,228479,12434,4398053,3381,2877404,12352,694094,7009,285906,8922,500606,6428,40043,4652,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4775755,1953,887536,2189,712513,8207,138261,7514,16606,2646,16443,2304,3713,1250,3312722,2573,2761941,12764,376073,10493,76144,5185,69074,4638,29490,5263,575497,1786,502378,3672,44429,2091,18459,2402,8215,1093,2016,833,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3384503,1187,607414,1207,488411,6376,71753,4110,29468,3781,11507,1576,6275,2215,2261775,1182,1740431,8894,273510,4524,170618,7820,58974,3593,18242,3237,515314,1188,431635,3507,22553,1040,52590,3261,5551,962,2985,911,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,851887,253,149377,487,127656,2635,14106,1778,3515,965,2282,669,1818,1466,568598,845,485517,4348,44782,2892,20493,3170,11775,1545,6031,2003,133912,740,122997,1961,1874,882,6758,1931,1758,600,525,355,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,581764,153,69248,176,59164,1598,6819,1316,1980,847,558,362,727,442,442778,372,371424,4665,32612,2670,21641,2805,8286,1411,8815,2402,69738,261,63660,1042,2420,608,2308,728,532,264,818,455,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17983218,4530,2920626,5253,2104241,15653,631119,12965,136259,10084,33193,3821,15814,3974,11703197,5525,8229881,26239,2569848,16941,628661,18334,202320,9450,72487,8804,3359395,4858,2689910,11066,445791,6006,179828,7037,29998,2786,13868,2583,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
