B14002_006E,B14002_006M,B14002_007E,B14002_007M,B14002_008E,B14002_008M,B14002_009E,B14002_009M,B14002_010E,B14002_010M,B14002_011E,B14002_011M,B14002_012E,B14002_012M,B14002_013E,B14002_013M,B14002_014E,B14002_014M,B14002_015E,B14002_015M,B14002_016E,B14002_016M,B14002_017E,B14002_017M,B14002_018E,B14002_018M,B14002_019E,B14002_019M,B14002_020E,B14002_020M,B14002_021E,B14002_021M,B14002_022E,B14002_022M,B14002_023E,B14002_023M,B14002_024E,B14002_024M,B14002_025E,B14002_025M,B14002_026E,B14002_026M,B14002_027E,B14002_027M,B14002_028E,B14002_028M,B14002_029E,B14002_029M,B14002_030E,B14002_030M,B14002_031E,B14002_031M,B14002_032E,B14002_032M,B14002_033E,B14002_033M,B14002_034E,B14002_034M,B14002_035E,B14002_035M,B14002_036E,B14002_036M,B14002_037E,B14002_037M,B14002_038E,B14002_038M,B14002_039E,B14002_039M,B14002_040E,B14002_040M,B14002_041E,B14002_041M,B14002_042E,B14002_042M,B14002_043E,B14002_043M,B14002_044E,B14002_044M,B14002_045E,B14002_045M,B14002_046E,B14002_046M,B14002_047E,B14002_047M,B14002_048E,B14002_048M,B14002_049E,B14002_049M,GEO_ID,B14002_001E,B14002_001M,B14002_002E,B14002_002M,B14002_003E,B14002_003M,B14002_004E,B14002_004M,B14002_005E,B14002_005M,B14002_006MA,B14002_006EA,B14002_007MA,B14002_007EA,B14002_008EA,B14002_008MA,B14002_009EA,B14002_009MA,B14002_010EA,B14002_010MA,B14002_011EA,B14002_011MA,B14002_012MA,B14002_012EA,B14002_013MA,B14002_013EA,B14002_014EA,B14002_014MA,B14002_015EA,B14002_015MA,B14002_016EA,B14002_016MA,B14002_017MA,B14002_017EA,B14002_018MA,B14002_018EA,B14002_019MA,B14002_019EA,B14002_020EA,B14002_020MA,B14002_021EA,B14002_021MA,B14002_022EA,B14002_022MA,B14002_023MA,B14002_023EA,B14002_024MA,B14002_024EA,B14002_025EA,B14002_025MA,B14002_026EA,B14002_026MA,B14002_027EA,B14002_027MA,B14002_028MA,B14002_028EA,B14002_029EA,B14002_029MA,B14002_030MA,B14002_030EA,B14002_031EA,B14002_031MA,B14002_032EA,B14002_032MA,B14002_033MA,B14002_033EA,B14002_034EA,B14002_034MA,B14002_035MA,B14002_035EA,B14002_036EA,B14002_036MA,B14002_037EA,B14002_037MA,B14002_038MA,B14002_038EA,B14002_039EA,B14002_039MA,B14002_040EA,B14002_040MA,B14002_041MA,B14002_041EA,B14002_042EA,B14002_042MA,B14002_043MA,B14002_043EA,B14002_044MA,B14002_044EA,B14002_045MA,B14002_045EA,B14002_046MA,B14002_046EA,B14002_047EA,B14002_047MA,B14002_048EA,B14002_048MA,B14002_049MA,B14002_049EA,NAME,B14002_001MA,B14002_001EA,B14002_002MA,B14002_002EA,B14002_003EA,B14002_003MA,B14002_004EA,B14002_004MA,B14002_005EA,B14002_005MA,state
18083,2640,34980,3009,28808,2835,6172,1374,126306,5220,113066,4758,13240,1970,132626,4959,118670,4609,13956,2042,131249,3919,114608,3944,16641,2076,121759,5271,103627,4912,18132,2981,18805,2528,12319,1836,6486,1494,1631855,7619,2395818,6200,640054,8383,29521,2621,15279,2203,14242,1674,31537,3037,26875,2874,4662,1187,121782,4284,108050,4229,13732,1652,132853,4622,119606,4493,13247,2455,128324,4392,115411,4347,12913,1406,166344,6277,141272,5677,25072,3236,29693,3194,24187,3005,5506,1414,1755764,8351,0400000US01,4629405,5297,2233587,6043,601732,7968,36007,3075,17924,2151,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,01
1622,555,6370,1140,5739,1067,631,362,20571,1710,19143,1692,1428,476,20484,1908,19032,1931,1452,764,21698,1792,20265,1860,1433,567,17562,2180,14144,1889,3418,1228,4124,1160,2893,1074,1231,527,260919,3258,333461,1869,101461,3114,5170,1145,3337,1036,1833,588,3889,714,3638,689,251,184,20551,1518,18973,1461,1578,560,21415,1797,19435,1850,1980,808,21053,1490,20011,1461,1042,397,22152,2413,18031,2184,4121,1194,7231,1299,6054,1279,1177,457,232000,2920,0400000US02,689159,1880,355698,1583,94779,3092,3970,756,2348,515,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,02
13747,2062,40679,4481,37426,4296,3253,1085,187628,7172,176076,7048,11552,2201,190396,6875,177979,6414,12417,2498,185605,4506,175777,4543,9828,1722,190978,9733,164931,8788,26047,3782,32443,4015,20490,3246,11953,2479,2224687,12314,3126471,5793,878991,10838,36442,3615,20760,2462,15682,2994,42704,4440,37738,4135,4966,1742,183101,6630,171567,6339,11534,2167,167468,7782,158964,7793,8504,1843,177912,5174,167479,5304,10433,1796,226809,9873,196995,9841,29814,3929,44555,4505,28434,3623,16121,2753,2247480,11034,0400000US04,6224083,6185,3097612,6317,872925,12016,45196,3980,31449,3649,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,04
7249,1568,19986,2540,18316,2508,1670,758,82246,3896,75284,3815,6962,1611,81574,4003,75530,3935,6044,1442,79820,3031,74010,3092,5810,1036,73015,4489,61182,4257,11833,2181,10853,1891,8012,1501,2841,1271,1014894,5509,1432699,4216,375744,5380,22849,2571,16250,2179,6599,1602,16749,2131,15320,2212,1429,847,73882,3870,69221,3963,4661,1325,79117,3931,74402,3714,4715,998,74509,3015,68511,2955,5998,1356,91408,4534,77727,4158,13681,2225,17230,2524,13357,2257,3873,1315,1056955,5428,0400000US05,2823970,4097,1391271,4784,376377,5997,28883,3073,21634,2419,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,05
132249,6818,264924,9799,237042,9078,27882,2926,1027977,16095,935844,15917,92133,6246,1054044,15643,970375,15052,83669,5163,1166830,10891,1080567,11787,86263,5475,1231640,18929,1044429,17502,187211,8151,210372,6988,109762,5873,100610,4803,12737436,23319,18221411,11177,5327953,21679,287612,8113,167036,6700,120576,6735,247822,9120,222305,8991,25517,2265,984145,14137,898184,14758,85961,4963,998110,13969,912445,12857,85665,5576,1091409,10836,1004859,11055,86550,4696,1431335,17848,1196334,17198,235001,8817,287520,8051,160688,6703,126832,5466,12893458,22283,0400000US06,36215114,13757,17993703,10624,5256267,22873,300480,9277,168231,7677,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,06
19160,2390,36199,2981,33892,2953,2307,862,133302,4766,122583,4602,10719,2013,141201,5148,129805,5559,11396,2295,143322,4635,135413,4732,7909,1368,149131,6485,125844,5809,23287,3122,33897,2838,21506,2551,12391,1873,1784480,8962,2450330,5297,694144,7883,43243,3294,25330,2803,17913,2247,31576,2714,28330,2604,3246,998,144674,5297,131979,4966,12695,2087,126168,5065,117647,5040,8521,1737,128842,3727,121117,3916,7725,1383,178632,5872,148341,5510,30291,2724,41009,3034,26414,2821,14595,1946,1756186,6586,0400000US08,4918469,5833,2468139,5465,683659,8355,46607,3436,27447,2709,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,08
12920,1599,21609,2376,19543,2327,2066,602,96017,4208,86874,3759,9143,1856,95520,4038,85920,4319,9600,1597,106296,3338,94118,3606,12178,1510,90378,4236,63035,4079,27343,2495,22203,2595,8684,1516,13519,2041,1226160,5765,1783901,3356,481280,4959,30074,2460,14039,1726,16035,1813,21406,2208,18611,2144,2795,840,87818,3495,79057,3462,8761,1461,90449,4055,82445,4359,8004,1373,103194,3117,94962,3349,8232,1374,115911,4476,78771,4201,37140,3116,32428,2403,14105,1487,18323,1928,1302621,5279,0400000US09,3471993,3905,1688092,3291,461932,6088,29909,2620,16989,2277,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,09
4001,1031,7607,1324,6242,1339,1365,487,23161,1847,20282,1783,2879,836,21563,1879,16712,1868,4851,1434,25072,2311,21834,2376,3238,937,23509,2115,18809,2143,4700,1185,5354,1061,2665,801,2689,830,311082,3430,451910,1523,123270,3613,6681,1240,3758,1074,2923,664,5830,967,4575,778,1255,503,21437,1896,18171,1876,3266,834,24810,2220,20697,2125,4113,1072,22166,1537,18518,1619,3648,1178,34346,2780,27886,2847,6460,1474,8000,1563,4168,1109,3832,971,328640,3263,0400000US10,877242,1796,425332,1827,114250,3270,7984,1267,3983,974,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,10
1868,703,4521,1137,4282,1132,239,211,9220,1056,7798,1109,1422,434,11032,1273,9019,1176,2013,567,12712,1671,10220,1706,2492,686,20546,2415,6189,1552,14357,2095,11223,1939,2172,721,9051,1734,206870,2781,315434,1223,85695,3478,5450,1154,4287,1068,1163,394,3649,1011,3257,1003,392,242,10180,1517,8460,1562,1720,614,10438,1583,8434,1526,2004,647,11854,1176,10039,1179,1815,528,31367,2789,9952,1620,21415,2299,12757,2056,2990,787,9767,1691,229739,3419,0400000US11,597078,1755,281644,1336,74774,3175,5520,1067,3652,824,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
72327,5132,111505,5994,93993,5984,17512,3033,452235,12014,404444,11295,47791,4197,472255,12660,419046,12166,53209,5853,485655,8827,436810,8847,48845,4057,527129,14266,418011,13598,109118,6886,97127,6754,54300,5091,42827,4776,6707497,18316,9433547,9045,2381671,19588,143559,7102,76340,5106,67219,5622,108480,5847,95268,5838,13212,2579,429929,10456,377022,10103,52907,4503,442422,13150,393603,13020,48819,4891,462688,8748,416634,9616,46054,4520,666794,16921,516665,13964,150129,8592,127799,6591,72831,5521,54968,4939,7051876,18887,0400000US12,18441948,8338,9008401,10401,2300904,17939,154998,7649,82671,5803,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,12
