GEO_ID,C01001A_001E,C01001A_001M,C01001A_002E,C01001A_002M,C01001A_003E,C01001A_003M,C01001A_004E,C01001A_004M,C01001A_005E,C01001A_005M,C01001A_006E,C01001A_006M,C01001A_007E,C01001A_007M,C01001A_008E,C01001A_008M,C01001A_009E,C01001A_009M,NAME,C01001A_001EA,C01001A_001MA,C01001A_002EA,C01001A_002MA,C01001A_003EA,C01001A_003MA,C01001A_004EA,C01001A_004MA,C01001A_005MA,C01001A_005EA,C01001A_006EA,C01001A_006MA,C01001A_007MA,C01001A_007EA,C01001A_008EA,C01001A_008MA,C01001A_009EA,C01001A_009MA,state
0400000US01,3318110,8630,1622668,5726,360717,2482,1027962,4678,233989,530,1695442,5921,350220,3695,1037902,2879,307320,1115,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,482698,2741,253207,1656,54162,864,176667,1196,22378,301,229491,1675,51560,1020,156206,991,21725,181,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5141027,23299,2548651,12469,607102,6919,1557468,8524,384081,1885,2592376,13624,573119,7825,1565046,7652,454211,1990,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2296248,7497,1133459,4452,261112,2927,703966,2738,168381,820,1162789,5016,245964,3142,704550,2954,212275,503,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23698393,65345,11838540,34309,2783397,16536,7627358,24322,1427785,4769,11859853,38445,2643558,18866,7401082,20980,1815213,5905,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4318187,17394,2165440,10622,500705,6167,1430067,6349,234668,1398,2152747,8835,470494,5080,1390719,5509,291534,1313,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2787171,11468,1356044,6338,290331,3430,868695,4357,197018,826,1431127,6412,275780,3448,888074,3833,267273,883,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,636680,4729,309585,2864,62697,1584,197439,1859,49449,292,327095,2439,61896,1258,202726,1475,62473,312,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,246505,3665,123838,2493,12955,862,100129,1889,10754,306,122667,1841,12229,876,98274,1377,12164,274,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14535897,31466,7126879,16918,1384473,8914,4402254,12446,1340152,3050,7409018,19550,1314730,10350,4447720,12900,1646568,4010,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5961961,19867,2964410,10688,696542,6652,1911936,6906,355932,1359,2997551,12090,647396,6745,1892126,7288,458029,1587,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,343352,3503,185285,2345,25235,1387,134285,1563,25765,287,158067,1999,24253,1240,107401,1343,26413,655,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
